
participant,condition,block,input,stimulus,region,triggered,timestamp,X,Y,Fixation
amy,1,0,gaze,training,-1,0,1448179063478,717.2545,383.7187,true
amy,1,0,gaze,training,-1,0,1448179063607,717.8336,379.3261,true
amy,1,0,gaze,training,-1,0,1448179063706,718.3575,378.0061,true
amy,1,0,gaze,training,-1,0,1448179063807,716.6746,383.4149,true
amy,1,0,gaze,training,-1,0,1448179063908,718.0929,386.7108,true
amy,1,0,gaze,training,-1,0,1448179064010,716.9636,390.0457,true
amy,1,0,gaze,training,-1,0,1448179064111,717.6181,394.7415,true
amy,1,0,gaze,training,-1,0,1448179064211,716.0185,406.0634,true
amy,1,0,gaze,training,0,1,1448179064312,217.6309,162.357,false
amy,1,0,gaze,training,-1,0,1448179064413,166.9289,179.3857,false
amy,1,0,gaze,training,0,1,1448179064514,192.7114,181.7674,false
amy,1,0,gaze,training,-1,0,1448179064614,164.6051,205.1164,false
amy,1,0,gaze,training,0,1,1448179064715,191.5819,161.16,false
amy,1,0,gaze,training,-1,0,1448179064815,88.4413,152.9067,false
amy,1,0,gaze,training,-1,0,1448179064916,157.4263,199.0812,false
amy,1,0,gaze,training,0,1,1448179065016,215.8215,147.5043,false
amy,1,0,gaze,training,-1,0,1448179065116,205.0339,275.0042,false
amy,1,0,gaze,training,1,1,1448179065218,219.537,437.3303,false
amy,1,0,gaze,training,1,0,1448179065318,218.8041,406.0367,false
amy,1,0,gaze,training,1,0,1448179065418,218.007,398.5046,true
amy,1,0,gaze,training,1,0,1448179065518,209.2474,398.6934,true
amy,1,0,gaze,training,1,0,1448179065619,214.8385,402.213,true
amy,1,0,gaze,training,1,0,1448179065719,214.3362,401.0724,true
amy,1,0,gaze,training,1,0,1448179065821,210.8051,397.3055,true
amy,1,0,gaze,training,-1,0,1448179065920,234.8577,609.1354,false
amy,1,0,gaze,training,-1,0,1448179066020,44.2588,809.8995,false
amy,1,0,gaze,training,-1,0,1448179066121,-31.1485,582.4713,false
amy,1,0,gaze,training,-1,0,1448179066222,14.609,1010.1132,false
amy,1,0,gaze,training,-1,0,1448179066322,153.6158,718.7271,false
