
participant,condition,block,input,stimulus,region,triggered,timestamp,X,Y,Fixation
amy,1,2,mouse,fish,-1,0,1448179165227,0,0,
amy,1,2,mouse,fish,-1,0,1448179165329,0,0,
amy,1,2,mouse,fish,-1,0,1448179165430,0,0,
amy,1,2,mouse,fish,-1,0,1448179165530,0,0,
amy,1,2,mouse,fish,-1,0,1448179165631,0,0,
amy,1,2,mouse,fish,-1,0,1448179165736,0,0,
amy,1,2,mouse,fish,-1,0,1448179165839,0,0,
amy,1,2,mouse,fish,0,1,1448179165940,263,121,
amy,1,2,mouse,fish,-1,0,1448179166040,44,0,
amy,1,2,mouse,fish,-1,0,1448179166140,29,0,
amy,1,2,mouse,fish,-1,0,1448179166243,74,62,
amy,1,2,mouse,fish,0,1,1448179166345,165,142,
amy,1,2,mouse,fish,0,0,1448179166445,174,145,
amy,1,2,mouse,fish,0,0,1448179166546,177,152,
amy,1,2,mouse,fish,-1,0,1448179166648,190,239,
amy,1,2,mouse,fish,1,1,1448179166749,231,382,
amy,1,2,mouse,fish,1,0,1448179166850,236,403,
amy,1,2,mouse,fish,1,0,1448179166951,236,403,
amy,1,2,mouse,fish,1,0,1448179167052,236,403,
amy,1,2,mouse,fish,1,0,1448179167153,236,403,
amy,1,2,mouse,fish,1,0,1448179167254,236,403,
amy,1,2,mouse,fish,-1,0,1448179167354,230,586,
amy,1,2,mouse,fish,2,1,1448179167454,228,719,
amy,1,2,mouse,fish,2,0,1448179167555,229,729,
amy,1,2,mouse,fish,2,0,1448179167656,229,729,
amy,1,2,mouse,fish,2,0,1448179167757,229,729,
amy,1,2,mouse,fish,-1,0,1448179167858,322,527,
amy,1,2,mouse,fish,-1,0,1448179167958,562,162,
amy,1,2,mouse,fish,3,1,1448179168059,600,120,
amy,1,2,mouse,fish,3,0,1448179168160,615,112,
amy,1,2,mouse,fish,3,0,1448179168261,622,114,
amy,1,2,mouse,fish,3,0,1448179168361,622,114,
amy,1,2,mouse,fish,3,0,1448179168462,622,122,
amy,1,2,mouse,fish,-1,0,1448179168562,643,217,
amy,1,2,mouse,fish,4,1,1448179168662,666,359,
amy,1,2,mouse,fish,4,0,1448179168763,672,383,
amy,1,2,mouse,fish,4,0,1448179168866,672,383,
amy,1,2,mouse,fish,4,0,1448179168967,672,383,
amy,1,2,mouse,fish,4,0,1448179169067,672,383,
amy,1,2,mouse,fish,4,0,1448179169167,669,432,
amy,1,2,mouse,fish,-1,0,1448179169269,667,548,
amy,1,2,mouse,fish,-1,0,1448179169370,670,602,
amy,1,2,mouse,fish,5,1,1448179169471,672,636,
amy,1,2,mouse,fish,5,0,1448179169573,673,700,
amy,1,2,mouse,fish,5,0,1448179169673,674,709,
amy,1,2,mouse,fish,5,0,1448179169776,675,709,
amy,1,2,mouse,fish,5,0,1448179169876,694,670,
amy,1,2,mouse,fish,-1,0,1448179169976,819,443,
amy,1,2,mouse,fish,-1,0,1448179170076,929,324,
amy,1,2,mouse,fish,-1,0,1448179170177,1005,249,
amy,1,2,mouse,fish,6,1,1448179170277,1072,182,
amy,1,2,mouse,fish,6,0,1448179170378,1099,144,
amy,1,2,mouse,fish,6,0,1448179170478,1099,144,
amy,1,2,mouse,fish,6,0,1448179170578,1099,144,
amy,1,2,mouse,fish,6,0,1448179170682,1099,144,
amy,1,2,mouse,fish,-1,0,1448179170782,1099,205,
amy,1,2,mouse,fish,-1,0,1448179170884,1099,305,
amy,1,2,mouse,fish,7,1,1448179170987,1099,373,
amy,1,2,mouse,fish,7,0,1448179171088,1099,413,
amy,1,2,mouse,fish,7,0,1448179171189,1099,416,
amy,1,2,mouse,fish,7,0,1448179171291,1099,416,
amy,1,2,mouse,fish,7,0,1448179171391,1098,425,
amy,1,2,mouse,fish,-1,0,1448179171492,1092,479,
amy,1,2,mouse,fish,-1,0,1448179171592,1089,551,
amy,1,2,mouse,fish,8,1,1448179171692,1085,636,
amy,1,2,mouse,fish,8,0,1448179171793,1082,675,
amy,1,2,mouse,fish,8,0,1448179171895,1081,680,
amy,1,2,mouse,fish,8,0,1448179171996,1081,680,
amy,1,2,mouse,fish,8,0,1448179172097,1081,680,
amy,1,2,mouse,fish,8,0,1448179172197,1081,680,
amy,1,2,mouse,fish,8,0,1448179172298,1081,680,
amy,1,2,mouse,fish,8,0,1448179172398,1081,680,
amy,1,2,mouse,fish,8,0,1448179172502,1081,680,
