
participant,condition,block,input,stimulus,region,triggered,timestamp,X,Y,Fixation
Anja,1,1,gaze,flags,-1,0,1449348195514,670.0677,264.9732,false
Anja,1,1,gaze,flags,-1,0,1449348195634,1219.7581,376.4282,false
Anja,1,1,gaze,flags,0,1,1449348195734,352.1506,169.3448,false
Anja,1,1,gaze,flags,0,0,1449348195834,329.3269,135.8142,false
Anja,1,1,gaze,flags,0,0,1449348195934,297.8584,114.6436,false
Anja,1,1,gaze,flags,0,0,1449348196035,501.4902,135.0391,false
Anja,1,1,gaze,flags,3,1,1449348196135,915.4017,197.513,false
Anja,1,1,gaze,flags,-1,0,1449348196234,681.5795,150.2393,false
Anja,1,1,gaze,flags,0,1,1449348196334,323.3916,110.8251,false
Anja,1,1,gaze,flags,0,0,1449348196435,335.284,127.6847,false
Anja,1,1,gaze,flags,0,0,1449348196535,333.6044,142.486,true
Anja,1,1,gaze,flags,0,0,1449348196634,330.7788,149.3146,true
Anja,1,1,gaze,flags,0,0,1449348196734,328.8244,149.7791,true
Anja,1,1,gaze,flags,0,0,1449348196836,327.7737,152.0426,true
Anja,1,1,gaze,flags,0,0,1449348196935,328.0894,153.4213,true
Anja,1,1,gaze,flags,0,0,1449348197035,328.3802,154.8516,true
Anja,1,1,gaze,flags,0,0,1449348197135,329.8986,158.1444,true
Anja,1,1,gaze,flags,0,0,1449348197235,330.2921,160.5457,true
Anja,1,1,gaze,flags,0,0,1449348197335,328.6654,163.489,true
Anja,1,1,gaze,flags,0,0,1449348197435,326.3248,164.176,true
Anja,1,1,gaze,flags,0,0,1449348197535,325.4181,160.8775,true
Anja,1,1,gaze,flags,0,0,1449348197637,323.8021,161.4004,true
Anja,1,1,gaze,flags,0,0,1449348197735,322.3394,159.9066,true
Anja,1,1,gaze,flags,0,0,1449348197835,321.8914,156.7321,true
Anja,1,1,gaze,flags,0,0,1449348197936,322.1607,152.2694,true
Anja,1,1,gaze,flags,0,0,1449348198036,322.1647,149.8501,true
Anja,1,1,gaze,flags,0,0,1449348198136,321.1309,145.7876,true
Anja,1,1,gaze,flags,0,0,1449348198236,321.5417,146.2402,true
Anja,1,1,gaze,flags,0,0,1449348198337,323.9658,145.3221,true
Anja,1,1,gaze,flags,0,0,1449348198437,324.5048,146.4043,true
Anja,1,1,gaze,flags,0,0,1449348198537,324.8279,144.1929,true
Anja,1,1,gaze,flags,0,0,1449348198637,324.2619,144.4136,true
Anja,1,1,gaze,flags,0,0,1449348198738,324.213,145.8616,true
Anja,1,1,gaze,flags,0,0,1449348198838,323.4691,146.0666,true
Anja,1,1,gaze,flags,1,1,1449348198940,300.5447,294.5989,false
Anja,1,1,gaze,flags,0,1,1449348199040,321.4177,230.0526,false
Anja,1,1,gaze,flags,3,1,1449348199142,847.8096,157.4631,false
Anja,1,1,gaze,flags,3,0,1449348199243,882.408,148.9778,false
Anja,1,1,gaze,flags,3,0,1449348199342,889.2321,161.3773,false
Anja,1,1,gaze,flags,3,0,1449348199442,888.8663,179.0871,false
Anja,1,1,gaze,flags,3,0,1449348199541,885.5653,184.2941,true
Anja,1,1,gaze,flags,3,0,1449348199642,886.4483,181.1165,true
Anja,1,1,gaze,flags,3,0,1449348199742,889.014,178.4285,true
Anja,1,1,gaze,flags,3,0,1449348199842,891.4889,176.1415,true
Anja,1,1,gaze,flags,3,0,1449348199941,892.9224,175.3698,true
Anja,1,1,gaze,flags,3,0,1449348200043,894.7159,181.4846,true
Anja,1,1,gaze,flags,3,0,1449348200142,893.799,179.5084,true
Anja,1,1,gaze,flags,3,0,1449348200242,894.0542,181.0938,true
Anja,1,1,gaze,flags,3,0,1449348200343,893.9501,183.1754,true
Anja,1,1,gaze,flags,3,0,1449348200442,896.7241,185.929,true
Anja,1,1,gaze,flags,3,0,1449348200543,901.4982,186.8011,true
Anja,1,1,gaze,flags,3,0,1449348200642,906.5488,179.9087,true
Anja,1,1,gaze,flags,6,1,1449348200743,1489.8925,169.8561,false
Anja,1,1,gaze,flags,6,0,1449348200844,1559.3984,185.4961,false
Anja,1,1,gaze,flags,6,0,1449348200943,1568.5408,188.2624,false
Anja,1,1,gaze,flags,6,0,1449348201044,1576.5587,193.5752,false
Anja,1,1,gaze,flags,6,0,1449348201144,1582.4247,191.2833,true
Anja,1,1,gaze,flags,6,0,1449348201244,1583.8044,190.927,true
Anja,1,1,gaze,flags,6,0,1449348201344,1583.0835,194.2871,true
Anja,1,1,gaze,flags,6,0,1449348201444,1582.873,193.3801,true
Anja,1,1,gaze,flags,6,0,1449348201543,1582.7462,195.3375,true
Anja,1,1,gaze,flags,6,0,1449348201644,1582.8832,195.6792,true
Anja,1,1,gaze,flags,6,0,1449348201744,1584.7063,198.192,true
Anja,1,1,gaze,flags,6,0,1449348201845,1586.4884,199.5738,true
Anja,1,1,gaze,flags,3,1,1449348201945,1122.6379,156.9443,false
Anja,1,1,gaze,flags,3,0,1449348202044,924.5325,163.5504,false
Anja,1,1,gaze,flags,3,0,1449348202145,908.2877,185.9184,false
Anja,1,1,gaze,flags,3,0,1449348202245,923.8483,179.5477,false
Anja,1,1,gaze,flags,3,0,1449348202346,906.9492,176.5876,true
Anja,1,1,gaze,flags,-1,0,1449348202444,0,0,false
Anja,1,1,gaze,flags,3,1,1449348202545,892.9335,178.1018,true
Anja,1,1,gaze,flags,3,0,1449348202646,890.8579,104.4567,false
Anja,1,1,gaze,flags,3,0,1449348202745,873.5363,102.4436,false
Anja,1,1,gaze,flags,3,0,1449348202846,873.0626,102.7622,true
Anja,1,1,gaze,flags,3,0,1449348202946,895.3066,110.2102,true
Anja,1,1,gaze,flags,3,0,1449348203045,914.8028,117.8614,true
Anja,1,1,gaze,flags,3,0,1449348203145,930.124,132.198,true
Anja,1,1,gaze,flags,3,0,1449348203246,944.5988,141.4616,true
Anja,1,1,gaze,flags,3,0,1449348203346,956.9749,145.6486,true
Anja,1,1,gaze,flags,6,1,1449348203448,1570.8052,182.9017,false
Anja,1,1,gaze,flags,6,0,1449348203546,1580.3801,192.1499,false
Anja,1,1,gaze,flags,6,0,1449348203646,1583.4092,204.3015,false
Anja,1,1,gaze,flags,6,0,1449348203746,1587.7264,202.9877,false
Anja,1,1,gaze,flags,6,0,1449348203847,1590.3286,201.1141,true
Anja,1,1,gaze,flags,6,0,1449348203947,1599.6705,201.243,true
Anja,1,1,gaze,flags,6,0,1449348204047,1603.6149,201.7886,true
Anja,1,1,gaze,flags,6,0,1449348204147,1603.3313,202.3258,true
Anja,1,1,gaze,flags,6,0,1449348204247,1603.3994,204.3218,true
Anja,1,1,gaze,flags,6,0,1449348204348,1602.9583,207.2075,true
