
participant,condition,block,input,stimulus,region,triggered,timestamp,X,Y,Fixation
Anja,1,2,mouse,fish,-1,0,1449348401773,0,0,
Anja,1,2,mouse,fish,-1,0,1449348401872,0,0,
Anja,1,2,mouse,fish,-1,0,1449348401971,0,0,
Anja,1,2,mouse,fish,-1,0,1449348402073,0,0,
Anja,1,2,mouse,fish,-1,0,1449348402173,0,0,
Anja,1,2,mouse,fish,-1,0,1449348402272,0,0,
Anja,1,2,mouse,fish,-1,0,1449348402374,0,0,
Anja,1,2,mouse,fish,-1,0,1449348402475,0,0,
Anja,1,2,mouse,fish,-1,0,1449348402573,0,0,
Anja,1,2,mouse,fish,-1,0,1449348402674,0,0,
Anja,1,2,mouse,fish,-1,0,1449348402775,0,0,
Anja,1,2,mouse,fish,-1,0,1449348402874,0,0,
Anja,1,2,mouse,fish,-1,0,1449348402975,0,0,
Anja,1,2,mouse,fish,-1,0,1449348403075,0,0,
Anja,1,2,mouse,fish,-1,0,1449348403176,0,0,
Anja,1,2,mouse,fish,-1,0,1449348403274,0,0,
Anja,1,2,mouse,fish,-1,0,1449348403375,0,0,
Anja,1,2,mouse,fish,-1,0,1449348403477,0,0,
Anja,1,2,mouse,fish,-1,0,1449348403575,0,0,
Anja,1,2,mouse,fish,-1,0,1449348403676,0,0,
Anja,1,2,mouse,fish,7,1,1449348403779,1562,437,
Anja,1,2,mouse,fish,-1,0,1449348403878,1526,423,
Anja,1,2,mouse,fish,-1,0,1449348403978,1526,423,
Anja,1,2,mouse,fish,-1,0,1449348404077,1423,435,
Anja,1,2,mouse,fish,-1,0,1449348404178,1389,437,
Anja,1,2,mouse,fish,-1,0,1449348404278,1389,437,
Anja,1,2,mouse,fish,-1,0,1449348404377,1389,437,
Anja,1,2,mouse,fish,-1,0,1449348404478,1106,338,
Anja,1,2,mouse,fish,0,1,1449348404578,347,160,
Anja,1,2,mouse,fish,-1,0,1449348404678,64,182,
Anja,1,2,mouse,fish,-1,0,1449348404779,39,200,
Anja,1,2,mouse,fish,-1,0,1449348404878,48,219,
Anja,1,2,mouse,fish,-1,0,1449348404978,159,209,
Anja,1,2,mouse,fish,0,1,1449348405079,306,170,
Anja,1,2,mouse,fish,0,0,1449348405179,325,154,
Anja,1,2,mouse,fish,0,0,1449348405279,331,142,
Anja,1,2,mouse,fish,0,0,1449348405379,331,141,
Anja,1,2,mouse,fish,0,0,1449348405480,331,141,
Anja,1,2,mouse,fish,0,0,1449348405579,331,141,
Anja,1,2,mouse,fish,0,0,1449348405680,331,141,
Anja,1,2,mouse,fish,0,0,1449348405779,331,141,
Anja,1,2,mouse,fish,0,0,1449348405879,331,141,
Anja,1,2,mouse,fish,0,0,1449348405980,331,141,
Anja,1,2,mouse,fish,0,0,1449348406079,331,141,
Anja,1,2,mouse,fish,0,0,1449348406180,331,141,
Anja,1,2,mouse,fish,0,0,1449348406280,331,141,
Anja,1,2,mouse,fish,0,0,1449348406379,331,141,
Anja,1,2,mouse,fish,0,0,1449348406480,331,141,
Anja,1,2,mouse,fish,-1,0,1449348406580,553,133,
Anja,1,2,mouse,fish,-1,0,1449348406680,1256,123,
Anja,1,2,mouse,fish,-1,0,1449348406780,1331,123,
Anja,1,2,mouse,fish,-1,0,1449348406880,1331,123,
Anja,1,2,mouse,fish,-1,0,1449348406980,1251,157,
Anja,1,2,mouse,fish,-1,0,1449348407079,1070,202,
Anja,1,2,mouse,fish,-1,0,1449348407180,961,232,
Anja,1,2,mouse,fish,-1,0,1449348407280,951,234,
Anja,1,2,mouse,fish,3,1,1449348407380,964,179,
Anja,1,2,mouse,fish,3,0,1449348407481,977,140,
Anja,1,2,mouse,fish,3,0,1449348407581,977,139,
Anja,1,2,mouse,fish,3,0,1449348407681,978,137,
Anja,1,2,mouse,fish,3,0,1449348407781,978,137,
Anja,1,2,mouse,fish,3,0,1449348407881,978,137,
Anja,1,2,mouse,fish,3,0,1449348407981,978,137,
Anja,1,2,mouse,fish,3,0,1449348408081,978,137,
Anja,1,2,mouse,fish,3,0,1449348408181,978,137,
Anja,1,2,mouse,fish,3,0,1449348408281,978,137,
Anja,1,2,mouse,fish,3,0,1449348408381,978,137,
Anja,1,2,mouse,fish,3,0,1449348408481,978,137,
Anja,1,2,mouse,fish,3,0,1449348408582,978,137,
Anja,1,2,mouse,fish,3,0,1449348408682,978,137,
Anja,1,2,mouse,fish,3,0,1449348408782,978,137,
Anja,1,2,mouse,fish,3,0,1449348408882,978,137,
Anja,1,2,mouse,fish,3,0,1449348408982,978,137,
Anja,1,2,mouse,fish,3,0,1449348409082,978,137,
Anja,1,2,mouse,fish,3,0,1449348409183,978,137,
Anja,1,2,mouse,fish,3,0,1449348409282,978,137,
Anja,1,2,mouse,fish,3,0,1449348409383,978,137,
Anja,1,2,mouse,fish,3,0,1449348409483,978,137,
Anja,1,2,mouse,fish,3,0,1449348409584,978,137,
Anja,1,2,mouse,fish,3,0,1449348409683,978,137,
Anja,1,2,mouse,fish,3,0,1449348409783,978,137,
Anja,1,2,mouse,fish,3,0,1449348409883,978,137,
Anja,1,2,mouse,fish,3,0,1449348409984,978,137,
Anja,1,2,mouse,fish,3,0,1449348410084,978,137,
Anja,1,2,mouse,fish,3,0,1449348410185,978,137,
Anja,1,2,mouse,fish,3,0,1449348410284,981,137,
Anja,1,2,mouse,fish,3,0,1449348410385,981,137,
Anja,1,2,mouse,fish,3,0,1449348410485,981,137,
Anja,1,2,mouse,fish,3,0,1449348410584,981,137,
Anja,1,2,mouse,fish,3,0,1449348410684,988,136,
Anja,1,2,mouse,fish,-1,0,1449348410785,1328,120,
Anja,1,2,mouse,fish,-1,0,1449348410884,1503,105,
Anja,1,2,mouse,fish,-1,0,1449348410985,1669,85,
Anja,1,2,mouse,fish,-1,0,1449348411085,1728,96,
Anja,1,2,mouse,fish,-1,0,1449348411186,1732,119,
Anja,1,2,mouse,fish,-1,0,1449348411286,1694,154,
Anja,1,2,mouse,fish,6,1,1449348411386,1630,167,
Anja,1,2,mouse,fish,6,0,1449348411486,1621,169,
Anja,1,2,mouse,fish,6,0,1449348411586,1621,169,
Anja,1,2,mouse,fish,6,0,1449348411686,1619,169,
Anja,1,2,mouse,fish,6,0,1449348411786,1619,169,
Anja,1,2,mouse,fish,6,0,1449348411886,1619,169,
Anja,1,2,mouse,fish,6,0,1449348411986,1619,169,
Anja,1,2,mouse,fish,6,0,1449348412086,1619,169,
Anja,1,2,mouse,fish,6,0,1449348412186,1619,169,
Anja,1,2,mouse,fish,6,0,1449348412286,1619,169,
Anja,1,2,mouse,fish,6,0,1449348412387,1619,169,
Anja,1,2,mouse,fish,6,0,1449348412486,1619,169,
Anja,1,2,mouse,fish,6,0,1449348412587,1619,169,
Anja,1,2,mouse,fish,6,0,1449348412686,1619,169,
Anja,1,2,mouse,fish,6,0,1449348412786,1619,169,
Anja,1,2,mouse,fish,6,0,1449348412887,1619,169,
Anja,1,2,mouse,fish,6,0,1449348412987,1619,169,
Anja,1,2,mouse,fish,6,0,1449348413087,1619,169,
Anja,1,2,mouse,fish,6,0,1449348413187,1619,169,
Anja,1,2,mouse,fish,6,0,1449348413287,1619,169,
Anja,1,2,mouse,fish,6,0,1449348413388,1619,169,
Anja,1,2,mouse,fish,6,0,1449348413488,1619,169,
Anja,1,2,mouse,fish,6,0,1449348413589,1619,169,
Anja,1,2,mouse,fish,6,0,1449348413689,1619,169,
Anja,1,2,mouse,fish,6,0,1449348413788,1619,169,
Anja,1,2,mouse,fish,6,0,1449348413888,1619,169,
Anja,1,2,mouse,fish,6,0,1449348413988,1619,169,
Anja,1,2,mouse,fish,6,0,1449348414088,1619,169,
Anja,1,2,mouse,fish,6,0,1449348414190,1619,169,
Anja,1,2,mouse,fish,6,0,1449348414290,1619,169,
Anja,1,2,mouse,fish,6,0,1449348414390,1619,169,
Anja,1,2,mouse,fish,6,0,1449348414489,1619,169,
Anja,1,2,mouse,fish,6,0,1449348414590,1619,169,
Anja,1,2,mouse,fish,6,0,1449348414689,1619,169,
Anja,1,2,mouse,fish,6,0,1449348414790,1619,169,
Anja,1,2,mouse,fish,6,0,1449348414889,1619,169,
Anja,1,2,mouse,fish,6,0,1449348414989,1623,177,
Anja,1,2,mouse,fish,6,0,1449348415090,1627,185,
Anja,1,2,mouse,fish,6,0,1449348415190,1627,185,
Anja,1,2,mouse,fish,-1,0,1449348415290,1649,303,
Anja,1,2,mouse,fish,-1,0,1449348415390,1689,581,
Anja,1,2,mouse,fish,-1,0,1449348415491,1689,625,
Anja,1,2,mouse,fish,-1,0,1449348415591,1682,668,
Anja,1,2,mouse,fish,-1,0,1449348415690,1665,620,
Anja,1,2,mouse,fish,-1,0,1449348415790,1639,510,
Anja,1,2,mouse,fish,7,1,1449348415890,1624,466,
Anja,1,2,mouse,fish,7,0,1449348415991,1622,438,
Anja,1,2,mouse,fish,7,0,1449348416091,1622,425,
Anja,1,2,mouse,fish,7,0,1449348416191,1622,424,
Anja,1,2,mouse,fish,7,0,1449348416291,1622,424,
Anja,1,2,mouse,fish,7,0,1449348416392,1621,424,
Anja,1,2,mouse,fish,7,0,1449348416491,1621,424,
Anja,1,2,mouse,fish,7,0,1449348416591,1621,424,
Anja,1,2,mouse,fish,7,0,1449348416692,1621,424,
Anja,1,2,mouse,fish,7,0,1449348416791,1621,424,
Anja,1,2,mouse,fish,7,0,1449348416892,1621,424,
Anja,1,2,mouse,fish,7,0,1449348416992,1621,424,
Anja,1,2,mouse,fish,7,0,1449348417093,1621,424,
Anja,1,2,mouse,fish,7,0,1449348417192,1621,424,
Anja,1,2,mouse,fish,7,0,1449348417292,1621,424,
Anja,1,2,mouse,fish,7,0,1449348417392,1621,424,
Anja,1,2,mouse,fish,7,0,1449348417492,1621,424,
Anja,1,2,mouse,fish,7,0,1449348417592,1621,424,
Anja,1,2,mouse,fish,7,0,1449348417693,1621,424,
Anja,1,2,mouse,fish,7,0,1449348417793,1621,424,
Anja,1,2,mouse,fish,7,0,1449348417894,1621,424,
Anja,1,2,mouse,fish,7,0,1449348417994,1621,424,
Anja,1,2,mouse,fish,7,0,1449348418095,1621,424,
