
participant,condition,block,input,stimulus,region,triggered,timestamp,X,Y,Fixation
Anja,1,3,gaze,mushrooms,4,1,1449348627781,1034.3223,297.5376,false
Anja,1,3,gaze,mushrooms,3,1,1449348627890,753.6998,167.2274,false
Anja,1,3,gaze,mushrooms,3,0,1449348627990,765.3919,164.957,false
Anja,1,3,gaze,mushrooms,1,1,1449348628090,337.9381,503.5302,false
Anja,1,3,gaze,mushrooms,1,0,1449348628190,341.6072,485.9832,false
Anja,1,3,gaze,mushrooms,3,1,1449348628291,778.9742,156.738,false
Anja,1,3,gaze,mushrooms,3,0,1449348628390,822.0539,153.9657,false
Anja,1,3,gaze,mushrooms,3,0,1449348628490,863.9822,128.7639,true
Anja,1,3,gaze,mushrooms,3,0,1449348628591,885.2191,133.199,true
Anja,1,3,gaze,mushrooms,3,0,1449348628690,897.8936,138.8456,true
Anja,1,3,gaze,mushrooms,-1,0,1449348628791,0,0,false
Anja,1,3,gaze,mushrooms,-1,0,1449348628890,0,0,false
Anja,1,3,gaze,mushrooms,-1,0,1449348628991,0,0,false
Anja,1,3,gaze,mushrooms,-1,0,1449348629092,0,0,false
Anja,1,3,gaze,mushrooms,-1,0,1449348629191,0,0,false
Anja,1,3,gaze,mushrooms,-1,0,1449348629291,0,0,false
Anja,1,3,gaze,mushrooms,-1,0,1449348629391,0,0,false
Anja,1,3,gaze,mushrooms,-1,0,1449348629492,0,0,false
Anja,1,3,gaze,mushrooms,-1,0,1449348629591,0,0,false
Anja,1,3,gaze,mushrooms,-1,0,1449348629691,0,0,false
Anja,1,3,gaze,mushrooms,-1,0,1449348629791,0,0,false
Anja,1,3,gaze,mushrooms,-1,0,1449348629891,0,0,false
Anja,1,3,gaze,mushrooms,-1,0,1449348629991,0,0,false
Anja,1,3,gaze,mushrooms,-1,0,1449348630091,0,0,false
Anja,1,3,gaze,mushrooms,-1,0,1449348630192,0,0,false
Anja,1,3,gaze,mushrooms,-1,0,1449348630292,0,0,false
Anja,1,3,gaze,mushrooms,-1,0,1449348630392,0,0,false
Anja,1,3,gaze,mushrooms,-1,0,1449348630491,0,0,false
Anja,1,3,gaze,mushrooms,-1,0,1449348630591,0,0,false
Anja,1,3,gaze,mushrooms,-1,0,1449348630691,0,0,false
Anja,1,3,gaze,mushrooms,-1,0,1449348630791,0,0,false
Anja,1,3,gaze,mushrooms,-1,0,1449348630893,0,0,false
Anja,1,3,gaze,mushrooms,-1,0,1449348630994,0,0,false
Anja,1,3,gaze,mushrooms,-1,0,1449348631094,0,0,false
Anja,1,3,gaze,mushrooms,-1,0,1449348631197,0,0,false
Anja,1,3,gaze,mushrooms,-1,0,1449348631297,0,0,false
Anja,1,3,gaze,mushrooms,-1,0,1449348631397,0,0,false
Anja,1,3,gaze,mushrooms,-1,0,1449348631497,0,0,false
Anja,1,3,gaze,mushrooms,-1,0,1449348631597,0,0,false
Anja,1,3,gaze,mushrooms,-1,0,1449348631697,0,0,false
Anja,1,3,gaze,mushrooms,-1,0,1449348631797,0,0,false
Anja,1,3,gaze,mushrooms,-1,0,1449348631898,0,0,false
Anja,1,3,gaze,mushrooms,-1,0,1449348631998,0,0,false
Anja,1,3,gaze,mushrooms,-1,0,1449348632098,0,0,false
Anja,1,3,gaze,mushrooms,-1,0,1449348632199,0,0,false
Anja,1,3,gaze,mushrooms,-1,0,1449348632298,0,0,false
Anja,1,3,gaze,mushrooms,-1,0,1449348632398,0,0,false
Anja,1,3,gaze,mushrooms,-1,0,1449348632499,0,0,false
Anja,1,3,gaze,mushrooms,-1,0,1449348632599,0,0,false
Anja,1,3,gaze,mushrooms,0,1,1449348632699,301.9396,-50.3497,false
Anja,1,3,gaze,mushrooms,-1,0,1449348632798,0,0,false
Anja,1,3,gaze,mushrooms,-1,0,1449348632899,252.9246,-78.4471,false
Anja,1,3,gaze,mushrooms,0,1,1449348632999,263.6859,-55.5669,false
Anja,1,3,gaze,mushrooms,0,0,1449348633099,256.5872,-44.3091,false
Anja,1,3,gaze,mushrooms,-1,0,1449348633199,-175.6131,17.8859,false
Anja,1,3,gaze,mushrooms,-1,0,1449348633298,137.6354,-24.582,false
Anja,1,3,gaze,mushrooms,0,1,1449348633400,305.7068,-4.9834,false
Anja,1,3,gaze,mushrooms,0,0,1449348633499,301.4429,-1.5475,false
Anja,1,3,gaze,mushrooms,0,0,1449348633599,293.5078,6.4264,true
Anja,1,3,gaze,mushrooms,0,0,1449348633699,284.1233,8.5084,true
