
participant,condition,block,input,stimulus,region,triggered,timestamp,X,Y,Fixation
Anja,1,4,mouse,viruses,-1,0,1449348773739,0,0,
Anja,1,4,mouse,viruses,-1,0,1449348773839,0,0,
Anja,1,4,mouse,viruses,-1,0,1449348773939,0,0,
Anja,1,4,mouse,viruses,-1,0,1449348774039,0,0,
Anja,1,4,mouse,viruses,-1,0,1449348774140,0,0,
Anja,1,4,mouse,viruses,-1,0,1449348774239,0,0,
Anja,1,4,mouse,viruses,-1,0,1449348774339,0,0,
Anja,1,4,mouse,viruses,-1,0,1449348774440,0,0,
Anja,1,4,mouse,viruses,-1,0,1449348774541,0,0,
Anja,1,4,mouse,viruses,-1,0,1449348774641,0,0,
Anja,1,4,mouse,viruses,-1,0,1449348774741,0,0,
Anja,1,4,mouse,viruses,-1,0,1449348774841,0,0,
Anja,1,4,mouse,viruses,-1,0,1449348774941,0,0,
Anja,1,4,mouse,viruses,-1,0,1449348775043,0,0,
Anja,1,4,mouse,viruses,-1,0,1449348775142,0,0,
Anja,1,4,mouse,viruses,-1,0,1449348775241,0,0,
Anja,1,4,mouse,viruses,-1,0,1449348775341,0,0,
Anja,1,4,mouse,viruses,-1,0,1449348775441,0,0,
Anja,1,4,mouse,viruses,-1,0,1449348775542,0,0,
Anja,1,4,mouse,viruses,-1,0,1449348775641,0,0,
Anja,1,4,mouse,viruses,-1,0,1449348775741,0,0,
Anja,1,4,mouse,viruses,-1,0,1449348775842,0,0,
Anja,1,4,mouse,viruses,-1,0,1449348775941,0,0,
Anja,1,4,mouse,viruses,-1,0,1449348776042,0,0,
Anja,1,4,mouse,viruses,-1,0,1449348776142,0,0,
Anja,1,4,mouse,viruses,-1,0,1449348776242,0,0,
Anja,1,4,mouse,viruses,-1,0,1449348776342,0,0,
Anja,1,4,mouse,viruses,-1,0,1449348776442,0,0,
Anja,1,4,mouse,viruses,-1,0,1449348776543,0,0,
Anja,1,4,mouse,viruses,-1,0,1449348776643,0,0,
Anja,1,4,mouse,viruses,-1,0,1449348776744,0,0,
Anja,1,4,mouse,viruses,-1,0,1449348776844,0,0,
Anja,1,4,mouse,viruses,-1,0,1449348776946,0,0,
Anja,1,4,mouse,viruses,-1,0,1449348777047,0,0,
Anja,1,4,mouse,viruses,-1,0,1449348777148,0,0,
Anja,1,4,mouse,viruses,-1,0,1449348777249,0,0,
Anja,1,4,mouse,viruses,-1,0,1449348777350,0,0,
Anja,1,4,mouse,viruses,-1,0,1449348777450,0,0,
Anja,1,4,mouse,viruses,-1,0,1449348777550,0,0,
Anja,1,4,mouse,viruses,-1,0,1449348777652,0,0,
Anja,1,4,mouse,viruses,-1,0,1449348777752,0,0,
Anja,1,4,mouse,viruses,-1,0,1449348777853,0,0,
Anja,1,4,mouse,viruses,-1,0,1449348777953,0,0,
Anja,1,4,mouse,viruses,-1,0,1449348778052,0,0,
Anja,1,4,mouse,viruses,-1,0,1449348778153,0,0,
Anja,1,4,mouse,viruses,-1,0,1449348778253,0,0,
Anja,1,4,mouse,viruses,-1,0,1449348778353,0,0,
Anja,1,4,mouse,viruses,-1,0,1449348778453,0,0,
Anja,1,4,mouse,viruses,-1,0,1449348778553,0,0,
Anja,1,4,mouse,viruses,-1,0,1449348778654,0,0,
Anja,1,4,mouse,viruses,7,1,1449348778770,1605,470,
Anja,1,4,mouse,viruses,7,0,1449348778863,1605,468,
Anja,1,4,mouse,viruses,7,0,1449348778962,1606,488,
Anja,1,4,mouse,viruses,7,0,1449348779063,1606,488,
Anja,1,4,mouse,viruses,7,0,1449348779166,1606,488,
Anja,1,4,mouse,viruses,7,0,1449348779265,1606,488,
Anja,1,4,mouse,viruses,7,0,1449348779365,1606,488,
Anja,1,4,mouse,viruses,7,0,1449348779465,1606,488,
Anja,1,4,mouse,viruses,7,0,1449348779565,1643,496,
Anja,1,4,mouse,viruses,-1,0,1449348779665,1661,458,
Anja,1,4,mouse,viruses,-1,0,1449348779764,1666,448,
Anja,1,4,mouse,viruses,-1,0,1449348779865,1671,440,
Anja,1,4,mouse,viruses,-1,0,1449348779965,1671,440,
Anja,1,4,mouse,viruses,-1,0,1449348780065,1671,440,
Anja,1,4,mouse,viruses,-1,0,1449348780165,1671,440,
Anja,1,4,mouse,viruses,-1,0,1449348780265,1671,440,
Anja,1,4,mouse,viruses,-1,0,1449348780366,1671,440,
Anja,1,4,mouse,viruses,-1,0,1449348780465,1671,440,
Anja,1,4,mouse,viruses,-1,0,1449348780565,1151,403,
Anja,1,4,mouse,viruses,-1,0,1449348780665,708,340,
Anja,1,4,mouse,viruses,-1,0,1449348780766,618,319,
Anja,1,4,mouse,viruses,-1,0,1449348780866,395,208,
Anja,1,4,mouse,viruses,-1,0,1449348780966,146,94,
Anja,1,4,mouse,viruses,-1,0,1449348781066,112,67,
Anja,1,4,mouse,viruses,-1,0,1449348781167,112,67,
Anja,1,4,mouse,viruses,-1,0,1449348781267,170,83,
Anja,1,4,mouse,viruses,-1,0,1449348781367,248,103,
Anja,1,4,mouse,viruses,-1,0,1449348781467,276,108,
Anja,1,4,mouse,viruses,0,1,1449348781567,319,120,
Anja,1,4,mouse,viruses,0,0,1449348781668,319,120,
Anja,1,4,mouse,viruses,0,0,1449348781768,319,120,
Anja,1,4,mouse,viruses,0,0,1449348781868,319,120,
Anja,1,4,mouse,viruses,0,0,1449348781968,319,120,
Anja,1,4,mouse,viruses,0,0,1449348782069,319,120,
Anja,1,4,mouse,viruses,0,0,1449348782170,319,120,
Anja,1,4,mouse,viruses,0,0,1449348782270,319,120,
Anja,1,4,mouse,viruses,0,0,1449348782370,319,120,
Anja,1,4,mouse,viruses,0,0,1449348782470,319,120,
Anja,1,4,mouse,viruses,0,0,1449348782570,319,120,
Anja,1,4,mouse,viruses,0,0,1449348782670,319,120,
Anja,1,4,mouse,viruses,0,0,1449348782770,319,120,
Anja,1,4,mouse,viruses,0,0,1449348782870,319,120,
Anja,1,4,mouse,viruses,0,0,1449348782970,319,120,
Anja,1,4,mouse,viruses,0,0,1449348783070,319,120,
Anja,1,4,mouse,viruses,0,0,1449348783170,319,120,
Anja,1,4,mouse,viruses,0,0,1449348783270,319,120,
Anja,1,4,mouse,viruses,0,0,1449348783371,319,120,
Anja,1,4,mouse,viruses,0,0,1449348783470,319,120,
Anja,1,4,mouse,viruses,0,0,1449348783570,319,120,
Anja,1,4,mouse,viruses,0,0,1449348783670,319,120,
Anja,1,4,mouse,viruses,0,0,1449348783770,319,120,
Anja,1,4,mouse,viruses,0,0,1449348783870,319,120,
Anja,1,4,mouse,viruses,0,0,1449348783971,319,120,
Anja,1,4,mouse,viruses,0,0,1449348784071,319,120,
Anja,1,4,mouse,viruses,0,0,1449348784170,319,120,
Anja,1,4,mouse,viruses,0,0,1449348784270,319,120,
Anja,1,4,mouse,viruses,0,0,1449348784371,319,120,
Anja,1,4,mouse,viruses,0,0,1449348784471,319,120,
Anja,1,4,mouse,viruses,-1,0,1449348784570,457,112,
Anja,1,4,mouse,viruses,-1,0,1449348784670,681,100,
Anja,1,4,mouse,viruses,-1,0,1449348784770,737,91,
Anja,1,4,mouse,viruses,-1,0,1449348784871,743,88,
Anja,1,4,mouse,viruses,-1,0,1449348784970,774,91,
Anja,1,4,mouse,viruses,3,1,1449348785071,919,120,
Anja,1,4,mouse,viruses,3,0,1449348785172,920,121,
Anja,1,4,mouse,viruses,3,0,1449348785272,920,121,
Anja,1,4,mouse,viruses,3,0,1449348785372,920,121,
Anja,1,4,mouse,viruses,3,0,1449348785472,920,121,
Anja,1,4,mouse,viruses,3,0,1449348785572,920,121,
Anja,1,4,mouse,viruses,3,0,1449348785673,920,121,
Anja,1,4,mouse,viruses,3,0,1449348785773,920,121,
Anja,1,4,mouse,viruses,3,0,1449348785873,920,121,
Anja,1,4,mouse,viruses,3,0,1449348785972,920,121,
Anja,1,4,mouse,viruses,3,0,1449348786073,920,121,
Anja,1,4,mouse,viruses,3,0,1449348786173,920,121,
Anja,1,4,mouse,viruses,3,0,1449348786273,920,121,
Anja,1,4,mouse,viruses,3,0,1449348786372,920,121,
Anja,1,4,mouse,viruses,3,0,1449348786473,920,121,
Anja,1,4,mouse,viruses,3,0,1449348786573,920,121,
Anja,1,4,mouse,viruses,3,0,1449348786673,920,121,
Anja,1,4,mouse,viruses,3,0,1449348786774,920,121,
Anja,1,4,mouse,viruses,3,0,1449348786873,920,121,
Anja,1,4,mouse,viruses,3,0,1449348786973,920,121,
Anja,1,4,mouse,viruses,3,0,1449348787075,920,121,
