
participant,condition,block,input,stimulus,region,triggered,timestamp,X,Y,Fixation
Anja,1,0,gaze,training,-1,0,1449348121194,0,0,
Anja,1,0,gaze,training,-1,0,1449348121294,0,0,false
Anja,1,0,gaze,training,4,1,1449348121396,1012.3549,417.7449,false
Anja,1,0,gaze,training,-1,0,1449348121495,605.9551,312.6906,false
Anja,1,0,gaze,training,-1,0,1449348121596,530.7977,342.608,false
Anja,1,0,gaze,training,4,1,1449348121697,993.7191,476.1947,false
Anja,1,0,gaze,training,4,0,1449348121796,968.609,497.0183,false
Anja,1,0,gaze,training,4,0,1449348121896,972.976,498.8048,true
Anja,1,0,gaze,training,4,0,1449348121996,976.4303,502.2638,true
Anja,1,0,gaze,training,4,0,1449348122097,980.6177,508.4764,true
Anja,1,0,gaze,training,4,0,1449348122198,980.5458,512.5442,true
Anja,1,0,gaze,training,4,0,1449348122297,979.1783,513.7276,true
Anja,1,0,gaze,training,4,0,1449348122398,977.6292,516.8326,true
Anja,1,0,gaze,training,4,0,1449348122499,975.0119,515.015,true
Anja,1,0,gaze,training,4,0,1449348122600,973.6803,510.5528,true
Anja,1,0,gaze,training,4,0,1449348122699,967.2177,503.9944,true
Anja,1,0,gaze,training,4,0,1449348122799,963.0343,496.4667,true
Anja,1,0,gaze,training,4,0,1449348122899,966.3741,489.6707,true
Anja,1,0,gaze,training,4,0,1449348122998,968.3293,487.187,true
Anja,1,0,gaze,training,4,0,1449348123100,970.4984,484.9563,true
Anja,1,0,gaze,training,4,0,1449348123199,973.3561,486.2992,true
Anja,1,0,gaze,training,4,0,1449348123300,977.0206,487.8546,true
Anja,1,0,gaze,training,4,0,1449348123401,971.7278,495.8392,true
Anja,1,0,gaze,training,4,0,1449348123500,967.7877,504.1406,true
Anja,1,0,gaze,training,-1,0,1449348123601,0,0,false
Anja,1,0,gaze,training,-1,0,1449348123701,0,0,false
Anja,1,0,gaze,training,4,1,1449348123801,1020.4097,520.8293,false
Anja,1,0,gaze,training,4,0,1449348123901,1007.0679,462.9173,false
Anja,1,0,gaze,training,4,0,1449348124002,979.7792,450.5356,false
Anja,1,0,gaze,training,4,0,1449348124102,962.6865,439.7567,false
Anja,1,0,gaze,training,4,0,1449348124201,961.279,445.0304,true
Anja,1,0,gaze,training,4,0,1449348124303,962.0544,445.1684,true
Anja,1,0,gaze,training,4,0,1449348124403,960.7167,448.7196,true
Anja,1,0,gaze,training,4,0,1449348124504,963.1031,450.2137,true
Anja,1,0,gaze,training,4,0,1449348124603,967.8491,454.7369,true
Anja,1,0,gaze,training,4,0,1449348124703,966.6213,458.3529,true
Anja,1,0,gaze,training,4,0,1449348124803,962.2454,465.6772,true
Anja,1,0,gaze,training,4,0,1449348124903,960.8547,478.4475,true
Anja,1,0,gaze,training,4,0,1449348125002,962.6962,481.9207,true
Anja,1,0,gaze,training,4,0,1449348125103,962.9681,488.1774,true
Anja,1,0,gaze,training,4,0,1449348125203,965.4542,493.1126,true
Anja,1,0,gaze,training,4,0,1449348125304,966.6582,494.1385,true
Anja,1,0,gaze,training,4,0,1449348125404,966.0447,496.1746,true
Anja,1,0,gaze,training,4,0,1449348125504,968.5633,497.0479,true
Anja,1,0,gaze,training,4,0,1449348125605,970.776,497.9235,true
Anja,1,0,gaze,training,4,0,1449348125704,975.8436,497.187,true
Anja,1,0,gaze,training,4,0,1449348125804,978.2933,499.1919,true
Anja,1,0,gaze,training,4,0,1449348125905,980.4305,504.8497,true
Anja,1,0,gaze,training,4,0,1449348126005,981.4131,505.7826,true
Anja,1,0,gaze,training,5,1,1449348126106,845.6084,677.9553,false
Anja,1,0,gaze,training,5,0,1449348126205,894.0391,600.8857,false
Anja,1,0,gaze,training,4,1,1449348126306,968.4678,451.9894,false
Anja,1,0,gaze,training,4,0,1449348126407,955.1923,314.457,false
Anja,1,0,gaze,training,4,0,1449348126506,960.0256,289.599,false
Anja,1,0,gaze,training,5,1,1449348126606,979.2468,564.5048,false
