
participant,condition,block,input,stimulus,region,triggered,timestamp,X,Y,Fixation
Heather+Cody,2,1,mouse,flags,-1,0,1449174966896,0,0,
Heather+Cody,2,1,mouse,flags,-1,0,1449174966997,0,0,
Heather+Cody,2,1,mouse,flags,-1,0,1449174967098,0,0,
Heather+Cody,2,1,mouse,flags,-1,0,1449174967197,0,0,
Heather+Cody,2,1,mouse,flags,-1,0,1449174967298,0,0,
Heather+Cody,2,1,mouse,flags,-1,0,1449174967398,0,0,
Heather+Cody,2,1,mouse,flags,-1,0,1449174967498,0,0,
Heather+Cody,2,1,mouse,flags,-1,0,1449174967598,0,0,
Heather+Cody,2,1,mouse,flags,-1,0,1449174967699,0,0,
Heather+Cody,2,1,mouse,flags,-1,0,1449174967799,0,0,
Heather+Cody,2,1,mouse,flags,-1,0,1449174967899,0,0,
Heather+Cody,2,1,mouse,flags,-1,0,1449174967999,0,0,
Heather+Cody,2,1,mouse,flags,-1,0,1449174968099,0,0,
Heather+Cody,2,1,mouse,flags,-1,0,1449174968200,0,0,
Heather+Cody,2,1,mouse,flags,-1,0,1449174968300,0,0,
Heather+Cody,2,1,mouse,flags,-1,0,1449174968400,0,0,
Heather+Cody,2,1,mouse,flags,-1,0,1449174968499,0,0,
Heather+Cody,2,1,mouse,flags,-1,0,1449174968600,0,0,
Heather+Cody,2,1,mouse,flags,-1,0,1449174968699,0,0,
Heather+Cody,2,1,mouse,flags,-1,0,1449174968800,0,0,
Heather+Cody,2,1,mouse,flags,-1,0,1449174968899,0,0,
Heather+Cody,2,1,mouse,flags,-1,0,1449174968999,0,0,
Heather+Cody,2,1,mouse,flags,-1,0,1449174969100,0,0,
Heather+Cody,2,1,mouse,flags,-1,0,1449174969199,0,0,
Heather+Cody,2,1,mouse,flags,-1,0,1449174969299,0,0,
Heather+Cody,2,1,mouse,flags,-1,0,1449174969401,0,0,
Heather+Cody,2,1,mouse,flags,-1,0,1449174969500,0,0,
Heather+Cody,2,1,mouse,flags,-1,0,1449174969601,618,450,
Heather+Cody,2,1,mouse,flags,-1,0,1449174969701,513,299,
Heather+Cody,2,1,mouse,flags,-1,0,1449174969800,481,211,
Heather+Cody,2,1,mouse,flags,-1,0,1449174969901,268,3,
Heather+Cody,2,1,mouse,flags,-1,0,1449174970001,220,85,
Heather+Cody,2,1,mouse,flags,-1,0,1449174970100,236,190,
Heather+Cody,2,1,mouse,flags,0,1,1449174970201,301,178,
Heather+Cody,2,1,mouse,flags,0,0,1449174970301,310,168,
Heather+Cody,2,1,mouse,flags,0,0,1449174970401,317,152,
Heather+Cody,2,1,mouse,flags,0,0,1449174970501,317,152,
Heather+Cody,2,1,mouse,flags,0,0,1449174970601,317,152,
Heather+Cody,2,1,mouse,flags,0,0,1449174970701,317,152,
Heather+Cody,2,1,mouse,flags,0,0,1449174970801,317,152,
Heather+Cody,2,1,mouse,flags,0,0,1449174970901,317,152,
Heather+Cody,2,1,mouse,flags,0,0,1449174971001,317,152,
Heather+Cody,2,1,mouse,flags,0,0,1449174971101,317,152,
Heather+Cody,2,1,mouse,flags,0,0,1449174971201,317,152,
Heather+Cody,2,1,mouse,flags,0,0,1449174971301,317,152,
Heather+Cody,2,1,mouse,flags,0,0,1449174971401,317,152,
Heather+Cody,2,1,mouse,flags,0,0,1449174971501,313,209,
Heather+Cody,2,1,mouse,flags,-1,0,1449174971601,323,288,
Heather+Cody,2,1,mouse,flags,-1,0,1449174971701,322,378,
Heather+Cody,2,1,mouse,flags,1,1,1449174971802,299,484,
Heather+Cody,2,1,mouse,flags,1,0,1449174971902,289,517,
Heather+Cody,2,1,mouse,flags,1,0,1449174972001,287,523,
Heather+Cody,2,1,mouse,flags,1,0,1449174972102,287,523,
Heather+Cody,2,1,mouse,flags,1,0,1449174972202,287,523,
Heather+Cody,2,1,mouse,flags,1,0,1449174972301,287,523,
Heather+Cody,2,1,mouse,flags,1,0,1449174972402,287,523,
Heather+Cody,2,1,mouse,flags,1,0,1449174972501,287,523,
Heather+Cody,2,1,mouse,flags,1,0,1449174972601,287,523,
Heather+Cody,2,1,mouse,flags,1,0,1449174972702,287,523,
Heather+Cody,2,1,mouse,flags,1,0,1449174972802,287,523,
Heather+Cody,2,1,mouse,flags,1,0,1449174972903,287,523,
Heather+Cody,2,1,mouse,flags,1,0,1449174973003,287,523,
Heather+Cody,2,1,mouse,flags,1,0,1449174973103,287,523,
Heather+Cody,2,1,mouse,flags,1,0,1449174973203,287,523,
Heather+Cody,2,1,mouse,flags,1,0,1449174973304,287,523,
Heather+Cody,2,1,mouse,flags,1,0,1449174973404,293,543,
Heather+Cody,2,1,mouse,flags,1,0,1449174973503,297,563,
Heather+Cody,2,1,mouse,flags,-1,0,1449174973603,297,628,
Heather+Cody,2,1,mouse,flags,-1,0,1449174973703,284,787,
Heather+Cody,2,1,mouse,flags,-1,0,1449174973804,268,914,
Heather+Cody,2,1,mouse,flags,-1,0,1449174973903,268,916,
Heather+Cody,2,1,mouse,flags,2,1,1449174974004,290,883,
Heather+Cody,2,1,mouse,flags,2,0,1449174974104,345,815,
Heather+Cody,2,1,mouse,flags,2,0,1449174974204,345,815,
Heather+Cody,2,1,mouse,flags,2,0,1449174974304,345,815,
Heather+Cody,2,1,mouse,flags,2,0,1449174974404,345,815,
Heather+Cody,2,1,mouse,flags,2,0,1449174974504,345,815,
Heather+Cody,2,1,mouse,flags,2,0,1449174974604,345,815,
Heather+Cody,2,1,mouse,flags,2,0,1449174974704,345,815,
Heather+Cody,2,1,mouse,flags,2,0,1449174974804,345,815,
Heather+Cody,2,1,mouse,flags,2,0,1449174974905,345,815,
Heather+Cody,2,1,mouse,flags,2,0,1449174975004,345,815,
Heather+Cody,2,1,mouse,flags,2,0,1449174975105,345,815,
Heather+Cody,2,1,mouse,flags,2,0,1449174975205,348,823,
Heather+Cody,2,1,mouse,flags,2,0,1449174975304,349,823,
Heather+Cody,2,1,mouse,flags,2,0,1449174975406,349,823,
Heather+Cody,2,1,mouse,flags,2,0,1449174975506,349,823,
Heather+Cody,2,1,mouse,flags,2,0,1449174975605,349,823,
Heather+Cody,2,1,mouse,flags,2,0,1449174975706,349,823,
Heather+Cody,2,1,mouse,flags,2,0,1449174975806,358,826,
Heather+Cody,2,1,mouse,flags,-1,0,1449174975906,372,826,
Heather+Cody,2,1,mouse,flags,-1,0,1449174976006,778,534,
Heather+Cody,2,1,mouse,flags,-1,0,1449174976106,1413,0,
Heather+Cody,2,1,mouse,flags,-1,0,1449174976206,1482,0,
Heather+Cody,2,1,mouse,flags,-1,0,1449174976306,1414,0,
Heather+Cody,2,1,mouse,flags,-1,0,1449174976406,1277,40,
Heather+Cody,2,1,mouse,flags,-1,0,1449174976506,1208,43,
Heather+Cody,2,1,mouse,flags,-1,0,1449174976606,1105,144,
Heather+Cody,2,1,mouse,flags,-1,0,1449174976706,1022,210,
Heather+Cody,2,1,mouse,flags,-1,0,1449174976806,1015,214,
Heather+Cody,2,1,mouse,flags,3,1,1449174976906,996,214,
Heather+Cody,2,1,mouse,flags,3,0,1449174977006,996,214,
Heather+Cody,2,1,mouse,flags,3,0,1449174977107,989,163,
Heather+Cody,2,1,mouse,flags,3,0,1449174977207,989,158,
Heather+Cody,2,1,mouse,flags,3,0,1449174977307,989,158,
Heather+Cody,2,1,mouse,flags,3,0,1449174977407,989,158,
Heather+Cody,2,1,mouse,flags,3,0,1449174977507,989,158,
Heather+Cody,2,1,mouse,flags,3,0,1449174977607,989,158,
Heather+Cody,2,1,mouse,flags,3,0,1449174977707,989,158,
Heather+Cody,2,1,mouse,flags,3,0,1449174977808,989,158,
Heather+Cody,2,1,mouse,flags,3,0,1449174977908,989,158,
Heather+Cody,2,1,mouse,flags,3,0,1449174978007,989,158,
Heather+Cody,2,1,mouse,flags,3,0,1449174978108,989,158,
Heather+Cody,2,1,mouse,flags,3,0,1449174978207,989,158,
Heather+Cody,2,1,mouse,flags,3,0,1449174978309,989,158,
Heather+Cody,2,1,mouse,flags,3,0,1449174978407,989,158,
Heather+Cody,2,1,mouse,flags,3,0,1449174978507,989,158,
Heather+Cody,2,1,mouse,flags,3,0,1449174978610,989,158,
Heather+Cody,2,1,mouse,flags,3,0,1449174978709,989,158,
Heather+Cody,2,1,mouse,flags,3,0,1449174978809,989,158,
Heather+Cody,2,1,mouse,flags,3,0,1449174978909,989,158,
Heather+Cody,2,1,mouse,flags,3,0,1449174979009,989,158,
Heather+Cody,2,1,mouse,flags,3,0,1449174979110,989,158,
Heather+Cody,2,1,mouse,flags,3,0,1449174979209,989,158,
Heather+Cody,2,1,mouse,flags,3,0,1449174979310,989,158,
Heather+Cody,2,1,mouse,flags,3,0,1449174979409,989,158,
Heather+Cody,2,1,mouse,flags,3,0,1449174979510,989,158,
Heather+Cody,2,1,mouse,flags,3,0,1449174979609,989,158,
Heather+Cody,2,1,mouse,flags,3,0,1449174979709,989,158,
Heather+Cody,2,1,mouse,flags,3,0,1449174979810,989,158,
