
participant,condition,block,input,stimulus,region,triggered,timestamp,X,Y,Fixation
Heather+Cody,2,2,gaze,fish,4,1,1449175169218,865.4333,363.848,false
Heather+Cody,2,2,gaze,fish,4,0,1449175169318,887.2576,357.2108,false
Heather+Cody,2,2,gaze,fish,4,0,1449175169417,868.8957,373.1216,false
Heather+Cody,2,2,gaze,fish,4,0,1449175169518,910.9612,324.2481,true
Heather+Cody,2,2,gaze,fish,4,0,1449175169618,929.381,304.0628,true
Heather+Cody,2,2,gaze,fish,3,1,1449175169718,982.4133,255.2549,false
Heather+Cody,2,2,gaze,fish,3,0,1449175169818,988.6302,269.0246,false
Heather+Cody,2,2,gaze,fish,-1,0,1449175169917,613.8917,235.4622,false
Heather+Cody,2,2,gaze,fish,0,1,1449175170019,361.8239,224.7966,false
Heather+Cody,2,2,gaze,fish,0,0,1449175170118,357.7803,235.0907,false
Heather+Cody,2,2,gaze,fish,0,0,1449175170219,392.3048,298.1161,false
Heather+Cody,2,2,gaze,fish,0,0,1449175170319,393.6144,289.5844,false
Heather+Cody,2,2,gaze,fish,2,1,1449175170420,295.9012,662.3093,false
Heather+Cody,2,2,gaze,fish,2,0,1449175170519,303.6656,662.3449,false
Heather+Cody,2,2,gaze,fish,2,0,1449175170620,304.5339,646.7208,true
Heather+Cody,2,2,gaze,fish,1,1,1449175170720,327.4337,635.9835,true
Heather+Cody,2,2,gaze,fish,1,0,1449175170820,338.3307,632.4864,true
Heather+Cody,2,2,gaze,fish,1,0,1449175170920,342.7433,626.1011,true
Heather+Cody,2,2,gaze,fish,1,0,1449175171020,349.375,623.1804,true
Heather+Cody,2,2,gaze,fish,1,0,1449175171120,353.5551,623.5843,true
Heather+Cody,2,2,gaze,fish,1,0,1449175171220,351.5222,618.3893,true
Heather+Cody,2,2,gaze,fish,1,0,1449175171321,344.6111,614.588,true
Heather+Cody,2,2,gaze,fish,0,1,1449175171421,382.8877,216.2919,false
Heather+Cody,2,2,gaze,fish,0,0,1449175171521,350.5534,272.665,false
Heather+Cody,2,2,gaze,fish,-1,0,1449175171621,1091.6199,-205.2391,false
Heather+Cody,2,2,gaze,fish,1,1,1449175171722,374.4868,334.2573,false
Heather+Cody,2,2,gaze,fish,-1,0,1449175171821,790.6165,-348.5658,false
Heather+Cody,2,2,gaze,fish,-1,0,1449175171921,0,0,false
Heather+Cody,2,2,gaze,fish,-1,0,1449175172021,0,0,false
Heather+Cody,2,2,gaze,fish,-1,0,1449175172121,1174.949,-648.0529,false
Heather+Cody,2,2,gaze,fish,-1,0,1449175172222,0,0,false
Heather+Cody,2,2,gaze,fish,-1,0,1449175172321,0,0,false
Heather+Cody,2,2,gaze,fish,0,1,1449175172422,268.9181,72.775,false
Heather+Cody,2,2,gaze,fish,0,0,1449175172521,236.806,219.0485,false
Heather+Cody,2,2,gaze,fish,0,0,1449175172622,260.7742,237.196,false
Heather+Cody,2,2,gaze,fish,-1,0,1449175172722,539.3861,268.4383,false
Heather+Cody,2,2,gaze,fish,0,1,1449175172822,478.4123,268.0367,false
Heather+Cody,2,2,gaze,fish,0,0,1449175172923,306.1003,209.4099,false
Heather+Cody,2,2,gaze,fish,0,0,1449175173023,300.3928,206.1322,false
Heather+Cody,2,2,gaze,fish,0,0,1449175173123,315.1083,208.3441,true
Heather+Cody,2,2,gaze,fish,0,0,1449175173223,330.2808,208.2069,true
Heather+Cody,2,2,gaze,fish,0,0,1449175173323,338.2008,209.3063,true
Heather+Cody,2,2,gaze,fish,0,0,1449175173423,342.4638,208.432,true
Heather+Cody,2,2,gaze,fish,1,1,1449175173523,273.8638,593.7798,false
Heather+Cody,2,2,gaze,fish,1,0,1449175173624,299.6394,590.5298,false
Heather+Cody,2,2,gaze,fish,1,0,1449175173724,295.7338,572.9102,true
Heather+Cody,2,2,gaze,fish,1,0,1449175173825,302.6674,562.405,true
Heather+Cody,2,2,gaze,fish,1,0,1449175173924,307.2708,560.1447,true
Heather+Cody,2,2,gaze,fish,1,0,1449175174025,316.3667,557.1039,true
Heather+Cody,2,2,gaze,fish,1,0,1449175174125,324.8855,554.6978,true
Heather+Cody,2,2,gaze,fish,1,0,1449175174224,328.5143,550.7227,true
Heather+Cody,2,2,gaze,fish,1,0,1449175174324,330.5565,546.9919,true
Heather+Cody,2,2,gaze,fish,1,0,1449175174425,333.0984,544.9694,true
Heather+Cody,2,2,gaze,fish,1,0,1449175174525,328.4169,540.7734,true
Heather+Cody,2,2,gaze,fish,1,0,1449175174624,322.1376,540.1398,true
Heather+Cody,2,2,gaze,fish,2,1,1449175174724,324.5455,913.5907,false
Heather+Cody,2,2,gaze,fish,2,0,1449175174825,323.7792,920.222,false
Heather+Cody,2,2,gaze,fish,2,0,1449175174925,329.7937,909.2577,true
Heather+Cody,2,2,gaze,fish,2,0,1449175175025,335.6326,904.4993,true
Heather+Cody,2,2,gaze,fish,2,0,1449175175126,338.6705,901.3472,true
Heather+Cody,2,2,gaze,fish,2,0,1449175175226,338.4933,899.4729,true
Heather+Cody,2,2,gaze,fish,2,0,1449175175325,339.8528,897.6738,true
Heather+Cody,2,2,gaze,fish,2,0,1449175175426,341.2166,896.1621,true
Heather+Cody,2,2,gaze,fish,2,0,1449175175526,342.6107,895.2176,true
Heather+Cody,2,2,gaze,fish,2,0,1449175175627,342.8758,894.1867,true
Heather+Cody,2,2,gaze,fish,5,1,1449175175727,994.1611,896.0032,false
Heather+Cody,2,2,gaze,fish,5,0,1449175175828,1003.1834,896.8965,false
Heather+Cody,2,2,gaze,fish,5,0,1449175175927,1005.9087,901.4419,false
Heather+Cody,2,2,gaze,fish,5,0,1449175176027,994.5001,885.2939,false
Heather+Cody,2,2,gaze,fish,5,0,1449175176128,975.8818,886.7518,true
Heather+Cody,2,2,gaze,fish,5,0,1449175176228,976.9091,884.0122,true
Heather+Cody,2,2,gaze,fish,5,0,1449175176329,985.306,878.306,true
Heather+Cody,2,2,gaze,fish,5,0,1449175176428,992.7975,872.8777,true
Heather+Cody,2,2,gaze,fish,5,0,1449175176528,1004.0662,867.4,true
Heather+Cody,2,2,gaze,fish,4,1,1449175176628,1023.7044,574.3853,false
Heather+Cody,2,2,gaze,fish,4,0,1449175176728,1008.8505,564.9956,false
Heather+Cody,2,2,gaze,fish,4,0,1449175176828,996.3944,579.4898,true
Heather+Cody,2,2,gaze,fish,4,0,1449175176929,998.6912,569.1274,true
Heather+Cody,2,2,gaze,fish,4,0,1449175177030,1006.4598,553.4991,true
Heather+Cody,2,2,gaze,fish,4,0,1449175177129,1009.7918,545.9918,true
Heather+Cody,2,2,gaze,fish,4,0,1449175177229,1013.7984,540.3969,true
Heather+Cody,2,2,gaze,fish,4,0,1449175177329,1020.4059,532.5593,true
Heather+Cody,2,2,gaze,fish,4,0,1449175177429,1023.8433,525.9153,true
Heather+Cody,2,2,gaze,fish,-1,0,1449175177530,53.213,980.6646,false
Heather+Cody,2,2,gaze,fish,4,1,1449175177629,987.4751,541.9919,false
Heather+Cody,2,2,gaze,fish,3,1,1449175177730,988.8103,221.7239,false
Heather+Cody,2,2,gaze,fish,3,0,1449175177830,980.0942,243.7496,false
Heather+Cody,2,2,gaze,fish,3,0,1449175177930,977.4641,242.1075,true
Heather+Cody,2,2,gaze,fish,3,0,1449175178029,976.3668,243.1285,true
Heather+Cody,2,2,gaze,fish,3,0,1449175178130,979.3065,245.5216,true
Heather+Cody,2,2,gaze,fish,3,0,1449175178231,981.9028,245.8939,true
