
participant,condition,block,input,stimulus,region,triggered,timestamp,X,Y,Fixation
Heather+Cody,2,0,gaze,training,4,1,1449174919955,904.9081,515.7495,false
Heather+Cody,2,0,gaze,training,3,1,1449174920054,856.9585,295.5109,false
Heather+Cody,2,0,gaze,training,3,0,1449174920154,837.8964,301.4799,false
Heather+Cody,2,0,gaze,training,4,1,1449174920254,978.8167,504.8652,false
Heather+Cody,2,0,gaze,training,4,0,1449174920354,975.7211,517.4625,false
Heather+Cody,2,0,gaze,training,3,1,1449174920454,963.303,170.8802,false
Heather+Cody,2,0,gaze,training,3,0,1449174920554,955.3953,170.7898,false
Heather+Cody,2,0,gaze,training,3,0,1449174920655,959.631,173.9936,true
Heather+Cody,2,0,gaze,training,4,1,1449174920756,923.5055,312.7895,false
Heather+Cody,2,0,gaze,training,3,1,1449174920855,941.2715,258.0762,false
Heather+Cody,2,0,gaze,training,3,0,1449174920956,940.7292,219.7152,true
Heather+Cody,2,0,gaze,training,3,0,1449174921056,951.5716,223.5404,false
Heather+Cody,2,0,gaze,training,3,0,1449174921155,950.2239,205.5712,false
Heather+Cody,2,0,gaze,training,4,1,1449174921257,963.8989,529.5507,false
Heather+Cody,2,0,gaze,training,4,0,1449174921356,950.4311,541.6177,false
Heather+Cody,2,0,gaze,training,3,1,1449174921456,960.2911,246.8798,false
Heather+Cody,2,0,gaze,training,3,0,1449174921556,961.3566,246.934,false
Heather+Cody,2,0,gaze,training,4,1,1449174921656,968.209,586.0571,false
Heather+Cody,2,0,gaze,training,4,0,1449174921756,955.9816,585.2639,false
Heather+Cody,2,0,gaze,training,4,0,1449174921855,953.9951,584.8495,true
Heather+Cody,2,0,gaze,training,4,0,1449174921956,950.7735,581.8101,true
Heather+Cody,2,0,gaze,training,-1,0,1449174922056,0,0,false
Heather+Cody,2,0,gaze,training,3,1,1449174922157,914.1293,255.8753,false
Heather+Cody,2,0,gaze,training,3,0,1449174922257,938.7595,254.5298,false
Heather+Cody,2,0,gaze,training,3,0,1449174922357,933.976,242.8175,false
Heather+Cody,2,0,gaze,training,3,0,1449174922457,931.8906,243.5561,false
Heather+Cody,2,0,gaze,training,3,0,1449174922557,932.4666,228.5411,true
