
participant,condition,block,input,stimulus,region,triggered,timestamp,X,Y,Fixation
Heather+Cody,2,0,mouse,training,-1,0,1449174841693,0,0,
Heather+Cody,2,0,mouse,training,-1,0,1449174841793,0,0,
Heather+Cody,2,0,mouse,training,-1,0,1449174841892,0,0,
Heather+Cody,2,0,mouse,training,-1,0,1449174841993,0,0,
Heather+Cody,2,0,mouse,training,-1,0,1449174842093,409,179,
Heather+Cody,2,0,mouse,training,-1,0,1449174842192,1367,713,
Heather+Cody,2,0,mouse,training,-1,0,1449174842293,1400,780,
Heather+Cody,2,0,mouse,training,-1,0,1449174842394,1426,940,
Heather+Cody,2,0,mouse,training,-1,0,1449174842494,1428,966,
Heather+Cody,2,0,mouse,training,-1,0,1449174842594,1352,970,
Heather+Cody,2,0,mouse,training,-1,0,1449174842693,1193,877,
Heather+Cody,2,0,mouse,training,-1,0,1449174842795,1129,871,
Heather+Cody,2,0,mouse,training,5,1,1449174842895,1000,850,
Heather+Cody,2,0,mouse,training,5,0,1449174842995,998,850,
Heather+Cody,2,0,mouse,training,5,0,1449174843096,987,843,
Heather+Cody,2,0,mouse,training,5,0,1449174843195,984,837,
Heather+Cody,2,0,mouse,training,5,0,1449174843296,984,837,
Heather+Cody,2,0,mouse,training,5,0,1449174843396,984,837,
Heather+Cody,2,0,mouse,training,5,0,1449174843496,984,837,
Heather+Cody,2,0,mouse,training,5,0,1449174843596,984,837,
Heather+Cody,2,0,mouse,training,5,0,1449174843696,984,837,
Heather+Cody,2,0,mouse,training,5,0,1449174843796,984,837,
Heather+Cody,2,0,mouse,training,5,0,1449174843896,984,837,
Heather+Cody,2,0,mouse,training,5,0,1449174843996,984,837,
Heather+Cody,2,0,mouse,training,5,0,1449174844096,984,837,
Heather+Cody,2,0,mouse,training,5,0,1449174844196,984,837,
Heather+Cody,2,0,mouse,training,5,0,1449174844296,991,787,
Heather+Cody,2,0,mouse,training,4,1,1449174844396,997,449,
Heather+Cody,2,0,mouse,training,-1,0,1449174844497,997,429,
Heather+Cody,2,0,mouse,training,-1,0,1449174844596,991,419,
Heather+Cody,2,0,mouse,training,-1,0,1449174844696,991,419,
Heather+Cody,2,0,mouse,training,-1,0,1449174844796,989,419,
Heather+Cody,2,0,mouse,training,4,1,1449174844897,978,449,
Heather+Cody,2,0,mouse,training,4,0,1449174844997,974,481,
Heather+Cody,2,0,mouse,training,4,0,1449174845097,974,498,
Heather+Cody,2,0,mouse,training,-1,0,1449174845197,999,616,
Heather+Cody,2,0,mouse,training,-1,0,1449174845296,1073,729,
Heather+Cody,2,0,mouse,training,-1,0,1449174845397,1120,760,
Heather+Cody,2,0,mouse,training,-1,0,1449174845496,1401,831,
Heather+Cody,2,0,mouse,training,-1,0,1449174845597,1485,832,
Heather+Cody,2,0,mouse,training,-1,0,1449174845697,1500,817,
Heather+Cody,2,0,mouse,training,8,1,1449174845796,1541,819,
Heather+Cody,2,0,mouse,training,8,0,1449174845897,1630,840,
Heather+Cody,2,0,mouse,training,8,0,1449174845997,1630,840,
Heather+Cody,2,0,mouse,training,8,0,1449174846098,1630,840,
Heather+Cody,2,0,mouse,training,8,0,1449174846198,1630,840,
Heather+Cody,2,0,mouse,training,8,0,1449174846297,1630,840,
Heather+Cody,2,0,mouse,training,8,0,1449174846399,1630,840,
Heather+Cody,2,0,mouse,training,8,0,1449174846498,1630,840,
Heather+Cody,2,0,mouse,training,8,0,1449174846598,1655,809,
Heather+Cody,2,0,mouse,training,-1,0,1449174846699,1687,652,
Heather+Cody,2,0,mouse,training,-1,0,1449174846798,1680,562,
Heather+Cody,2,0,mouse,training,-1,0,1449174846899,1675,494,
Heather+Cody,2,0,mouse,training,-1,0,1449174846998,1662,470,
Heather+Cody,2,0,mouse,training,-1,0,1449174847099,1661,470,
Heather+Cody,2,0,mouse,training,7,1,1449174847199,1639,462,
Heather+Cody,2,0,mouse,training,7,0,1449174847299,1594,453,
Heather+Cody,2,0,mouse,training,7,0,1449174847399,1594,453,
Heather+Cody,2,0,mouse,training,7,0,1449174847499,1594,453,
Heather+Cody,2,0,mouse,training,7,0,1449174847599,1594,453,
Heather+Cody,2,0,mouse,training,7,0,1449174847699,1594,453,
Heather+Cody,2,0,mouse,training,7,0,1449174847799,1594,453,
Heather+Cody,2,0,mouse,training,7,0,1449174847899,1594,453,
Heather+Cody,2,0,mouse,training,7,0,1449174847999,1594,453,
Heather+Cody,2,0,mouse,training,-1,0,1449174848099,1113,554,
Heather+Cody,2,0,mouse,training,-1,0,1449174848199,516,921,
Heather+Cody,2,0,mouse,training,-1,0,1449174848299,516,921,
Heather+Cody,2,0,mouse,training,-1,0,1449174848399,516,921,
Heather+Cody,2,0,mouse,training,-1,0,1449174848499,516,921,
Heather+Cody,2,0,mouse,training,-1,0,1449174848599,0,968,
Heather+Cody,2,0,mouse,training,-1,0,1449174848699,254,916,
Heather+Cody,2,0,mouse,training,-1,0,1449174848799,294,884,
Heather+Cody,2,0,mouse,training,-1,0,1449174848899,401,782,
Heather+Cody,2,0,mouse,training,-1,0,1449174848999,410,764,
Heather+Cody,2,0,mouse,training,-1,0,1449174849099,410,764,
Heather+Cody,2,0,mouse,training,2,1,1449174849200,340,768,
Heather+Cody,2,0,mouse,training,2,0,1449174849301,285,780,
Heather+Cody,2,0,mouse,training,2,0,1449174849400,285,780,
Heather+Cody,2,0,mouse,training,2,0,1449174849500,285,780,
Heather+Cody,2,0,mouse,training,2,0,1449174849600,285,780,
Heather+Cody,2,0,mouse,training,2,0,1449174849701,285,780,
Heather+Cody,2,0,mouse,training,2,0,1449174849800,289,780,
Heather+Cody,2,0,mouse,training,2,0,1449174849901,289,780,
Heather+Cody,2,0,mouse,training,2,0,1449174850001,289,780,
Heather+Cody,2,0,mouse,training,-1,0,1449174850100,383,717,
Heather+Cody,2,0,mouse,training,-1,0,1449174850201,1239,168,
Heather+Cody,2,0,mouse,training,-1,0,1449174850300,1240,168,
Heather+Cody,2,0,mouse,training,-1,0,1449174850401,1240,168,
Heather+Cody,2,0,mouse,training,-1,0,1449174850501,1169,188,
Heather+Cody,2,0,mouse,training,-1,0,1449174850601,1052,220,
Heather+Cody,2,0,mouse,training,-1,0,1449174850701,953,250,
Heather+Cody,2,0,mouse,training,-1,0,1449174850801,953,250,
Heather+Cody,2,0,mouse,training,-1,0,1449174850901,953,250,
Heather+Cody,2,0,mouse,training,-1,0,1449174851002,1092,277,
Heather+Cody,2,0,mouse,training,-1,0,1449174851101,1092,277,
Heather+Cody,2,0,mouse,training,-1,0,1449174851202,1136,332,
Heather+Cody,2,0,mouse,training,-1,0,1449174851301,1137,335,
Heather+Cody,2,0,mouse,training,-1,0,1449174851402,1137,335,
Heather+Cody,2,0,mouse,training,-1,0,1449174851501,1137,335,
Heather+Cody,2,0,mouse,training,-1,0,1449174851601,1140,332,
Heather+Cody,2,0,mouse,training,-1,0,1449174851702,1140,332,
Heather+Cody,2,0,mouse,training,-1,0,1449174851803,1140,332,
Heather+Cody,2,0,mouse,training,-1,0,1449174851903,1140,332,
Heather+Cody,2,0,mouse,training,-1,0,1449174852003,1140,332,
Heather+Cody,2,0,mouse,training,-1,0,1449174852103,1140,332,
Heather+Cody,2,0,mouse,training,-1,0,1449174852206,1140,332,
Heather+Cody,2,0,mouse,training,-1,0,1449174852303,1140,332,
Heather+Cody,2,0,mouse,training,-1,0,1449174852404,1140,332,
Heather+Cody,2,0,mouse,training,-1,0,1449174852504,1140,332,
Heather+Cody,2,0,mouse,training,-1,0,1449174852603,1140,332,
