
participant,condition,block,input,stimulus,region,triggered,timestamp,X,Y,Fixation
Kelly+Leyden,2,2,gaze,fish,3,1,1449176407816,992.9776,246.4071,true
Kelly+Leyden,2,2,gaze,fish,3,0,1449176407917,972.1596,241.8414,true
Kelly+Leyden,2,2,gaze,fish,3,0,1449176408017,958.1972,236.293,true
Kelly+Leyden,2,2,gaze,fish,3,0,1449176408117,959.2217,224.1378,true
Kelly+Leyden,2,2,gaze,fish,3,0,1449176408217,967.011,206.7643,true
Kelly+Leyden,2,2,gaze,fish,0,1,1449176408317,461.6826,109.6311,false
Kelly+Leyden,2,2,gaze,fish,0,0,1449176408417,288.0816,167.4928,false
Kelly+Leyden,2,2,gaze,fish,0,0,1449176408518,275.2185,177.7027,false
Kelly+Leyden,2,2,gaze,fish,0,0,1449176408617,301.997,223.5331,false
Kelly+Leyden,2,2,gaze,fish,1,1,1449176408718,362.0967,384.6934,false
Kelly+Leyden,2,2,gaze,fish,1,0,1449176408818,366.8324,400.3367,false
Kelly+Leyden,2,2,gaze,fish,0,1,1449176408918,339.1938,154.4806,false
Kelly+Leyden,2,2,gaze,fish,0,0,1449176409018,346.6407,193.5891,false
Kelly+Leyden,2,2,gaze,fish,0,0,1449176409118,354.661,205.1404,true
Kelly+Leyden,2,2,gaze,fish,0,0,1449176409218,349.857,206.1422,true
Kelly+Leyden,2,2,gaze,fish,0,0,1449176409317,350.7636,207.1774,true
Kelly+Leyden,2,2,gaze,fish,0,0,1449176409418,353.9219,210.8787,true
Kelly+Leyden,2,2,gaze,fish,0,0,1449176409518,359.2746,211.9361,true
Kelly+Leyden,2,2,gaze,fish,0,0,1449176409617,361.8986,208.1098,true
Kelly+Leyden,2,2,gaze,fish,0,0,1449176409718,364.9549,206.5173,true
Kelly+Leyden,2,2,gaze,fish,0,0,1449176409818,362.7994,198.7881,true
Kelly+Leyden,2,2,gaze,fish,0,0,1449176409918,354.962,194.432,true
Kelly+Leyden,2,2,gaze,fish,0,0,1449176410019,347.2536,190.1419,true
Kelly+Leyden,2,2,gaze,fish,0,0,1449176410119,347.1714,187.2713,true
Kelly+Leyden,2,2,gaze,fish,0,0,1449176410218,349.9996,188.483,true
Kelly+Leyden,2,2,gaze,fish,0,0,1449176410318,353.5181,188.8099,true
Kelly+Leyden,2,2,gaze,fish,0,0,1449176410419,352.8808,188.2739,true
Kelly+Leyden,2,2,gaze,fish,0,0,1449176410518,354.2314,186.2771,true
Kelly+Leyden,2,2,gaze,fish,0,0,1449176410619,357.4893,188.2503,true
Kelly+Leyden,2,2,gaze,fish,0,0,1449176410718,359.7525,186.8805,true
Kelly+Leyden,2,2,gaze,fish,0,0,1449176410819,362.6983,187.0555,true
Kelly+Leyden,2,2,gaze,fish,0,0,1449176410919,362.5144,187.6468,true
Kelly+Leyden,2,2,gaze,fish,0,0,1449176411019,361.0396,189.2091,true
Kelly+Leyden,2,2,gaze,fish,0,0,1449176411120,356.2631,190.3321,true
Kelly+Leyden,2,2,gaze,fish,0,0,1449176411219,353.9537,192.9322,true
Kelly+Leyden,2,2,gaze,fish,0,0,1449176411319,353.9684,192.0258,true
Kelly+Leyden,2,2,gaze,fish,3,1,1449176411420,996.0305,165.1897,false
Kelly+Leyden,2,2,gaze,fish,3,0,1449176411520,991.9467,194.2307,false
Kelly+Leyden,2,2,gaze,fish,3,0,1449176411620,989.5652,196.6958,true
Kelly+Leyden,2,2,gaze,fish,3,0,1449176411720,999.0342,194.4612,true
Kelly+Leyden,2,2,gaze,fish,3,0,1449176411821,1007.3652,183.9875,true
Kelly+Leyden,2,2,gaze,fish,3,0,1449176411921,1014.032,174.8315,true
Kelly+Leyden,2,2,gaze,fish,3,0,1449176412021,1019.48,169.6052,true
Kelly+Leyden,2,2,gaze,fish,3,0,1449176412121,1022.59,163.2422,true
Kelly+Leyden,2,2,gaze,fish,3,0,1449176412220,1026.4207,158.1756,true
Kelly+Leyden,2,2,gaze,fish,6,1,1449176412321,1669.6063,111.9415,false
Kelly+Leyden,2,2,gaze,fish,6,0,1449176412420,1664.9357,147.0618,false
Kelly+Leyden,2,2,gaze,fish,6,0,1449176412521,1663.1936,159.5028,false
Kelly+Leyden,2,2,gaze,fish,6,0,1449176412620,1664.7623,161.8834,false
Kelly+Leyden,2,2,gaze,fish,6,0,1449176412720,1659.6208,163.8245,true
Kelly+Leyden,2,2,gaze,fish,6,0,1449176412821,1659.5841,166.77,true
Kelly+Leyden,2,2,gaze,fish,6,0,1449176412920,1662.0504,166.3407,true
Kelly+Leyden,2,2,gaze,fish,6,0,1449176413021,1664.8916,167.9134,true
Kelly+Leyden,2,2,gaze,fish,6,0,1449176413121,1667.4489,169.7773,true
Kelly+Leyden,2,2,gaze,fish,7,1,1449176413221,1670.7865,478.4298,false
Kelly+Leyden,2,2,gaze,fish,7,0,1449176413321,1671.5299,498.734,false
Kelly+Leyden,2,2,gaze,fish,7,0,1449176413422,1679.8574,517.0189,true
Kelly+Leyden,2,2,gaze,fish,7,0,1449176413522,1713.8113,529.6265,false
Kelly+Leyden,2,2,gaze,fish,7,0,1449176413622,1708.1915,526.5594,false
Kelly+Leyden,2,2,gaze,fish,7,0,1449176413723,1706.6985,527.9647,true
Kelly+Leyden,2,2,gaze,fish,7,0,1449176413822,1708.2955,529.3638,true
Kelly+Leyden,2,2,gaze,fish,7,0,1449176413923,1708.0306,527.8624,true
Kelly+Leyden,2,2,gaze,fish,7,0,1449176414023,1708.2313,526.5338,true
Kelly+Leyden,2,2,gaze,fish,7,0,1449176414122,1708.0834,524.4573,true
Kelly+Leyden,2,2,gaze,fish,7,0,1449176414223,1707.5934,525.1666,true
Kelly+Leyden,2,2,gaze,fish,7,0,1449176414323,1707.9142,526.0616,true
Kelly+Leyden,2,2,gaze,fish,7,0,1449176414424,1694.5253,535.8747,true
Kelly+Leyden,2,2,gaze,fish,7,0,1449176414524,1683.0291,544.2013,true
Kelly+Leyden,2,2,gaze,fish,8,1,1449176414624,1677.3618,854.2445,false
Kelly+Leyden,2,2,gaze,fish,8,0,1449176414724,1680.5635,875.4841,false
Kelly+Leyden,2,2,gaze,fish,8,0,1449176414824,1682.1073,879.491,true
Kelly+Leyden,2,2,gaze,fish,8,0,1449176414925,1688.7441,882.6531,true
Kelly+Leyden,2,2,gaze,fish,8,0,1449176415025,1695.4854,882.7883,true
Kelly+Leyden,2,2,gaze,fish,8,0,1449176415124,1701.0834,882.7107,true
Kelly+Leyden,2,2,gaze,fish,8,0,1449176415225,1707.96,884.0422,true
Kelly+Leyden,2,2,gaze,fish,8,0,1449176415325,1707.799,883.1709,true
Kelly+Leyden,2,2,gaze,fish,8,0,1449176415424,1708.0309,884.3055,true
Kelly+Leyden,2,2,gaze,fish,8,0,1449176415525,1709.0313,882.6857,true
Kelly+Leyden,2,2,gaze,fish,8,0,1449176415625,1710.1761,882.503,true
Kelly+Leyden,2,2,gaze,fish,8,0,1449176415724,1711.0426,882.2738,true
Kelly+Leyden,2,2,gaze,fish,8,0,1449176415825,1710.9067,881.9381,true
Kelly+Leyden,2,2,gaze,fish,8,0,1449176415924,1712.7476,881.9022,true
Kelly+Leyden,2,2,gaze,fish,5,1,1449176416025,1011.7427,902.3687,false
Kelly+Leyden,2,2,gaze,fish,5,0,1449176416125,1017.5479,893.8034,false
Kelly+Leyden,2,2,gaze,fish,5,0,1449176416225,1003.8899,899.3821,false
Kelly+Leyden,2,2,gaze,fish,5,0,1449176416325,1006.5995,897.7979,false
Kelly+Leyden,2,2,gaze,fish,5,0,1449176416424,1022.7992,896.1849,true
Kelly+Leyden,2,2,gaze,fish,5,0,1449176416526,1030.6176,895.2997,true
Kelly+Leyden,2,2,gaze,fish,5,0,1449176416625,1038.108,894.1226,true
Kelly+Leyden,2,2,gaze,fish,5,0,1449176416725,1036.9133,893.1474,true
Kelly+Leyden,2,2,gaze,fish,5,0,1449176416825,1027.7269,891.9078,true
Kelly+Leyden,2,2,gaze,fish,5,0,1449176416925,1024.0051,890.7198,true
Kelly+Leyden,2,2,gaze,fish,5,0,1449176417026,1017.7387,889.7138,true
Kelly+Leyden,2,2,gaze,fish,4,1,1449176417126,1001.4384,517.5518,false
Kelly+Leyden,2,2,gaze,fish,4,0,1449176417226,1018.3631,510.0771,false
Kelly+Leyden,2,2,gaze,fish,4,0,1449176417327,1018.2458,517.5082,true
Kelly+Leyden,2,2,gaze,fish,4,0,1449176417426,1016.858,514.1907,true
Kelly+Leyden,2,2,gaze,fish,4,0,1449176417526,1028.9891,513.9838,true
Kelly+Leyden,2,2,gaze,fish,4,0,1449176417627,1037.0198,513.5366,true
Kelly+Leyden,2,2,gaze,fish,4,0,1449176417727,1044.9779,509.6595,true
Kelly+Leyden,2,2,gaze,fish,4,0,1449176417827,1050.2505,506.9625,true
Kelly+Leyden,2,2,gaze,fish,4,0,1449176417927,1053.9761,504.3943,true
Kelly+Leyden,2,2,gaze,fish,4,0,1449176418027,1057.6344,505.3315,true
Kelly+Leyden,2,2,gaze,fish,4,0,1449176418127,1059.4976,503.9326,true
Kelly+Leyden,2,2,gaze,fish,4,0,1449176418228,1058.6193,506.2868,true
Kelly+Leyden,2,2,gaze,fish,4,0,1449176418328,1058.5319,508.1361,true
Kelly+Leyden,2,2,gaze,fish,1,1,1449176418428,388.7358,584.3528,false
Kelly+Leyden,2,2,gaze,fish,1,0,1449176418528,312.6307,580.9659,false
Kelly+Leyden,2,2,gaze,fish,1,0,1449176418629,334.3879,537.2989,false
Kelly+Leyden,2,2,gaze,fish,1,0,1449176418728,325.4617,538.1733,false
Kelly+Leyden,2,2,gaze,fish,1,0,1449176418828,325.7484,541.5721,true
Kelly+Leyden,2,2,gaze,fish,1,0,1449176418929,323.8002,541.2477,true
Kelly+Leyden,2,2,gaze,fish,1,0,1449176419028,324.378,539.3538,true
Kelly+Leyden,2,2,gaze,fish,1,0,1449176419128,324.5466,539.9912,true
Kelly+Leyden,2,2,gaze,fish,1,0,1449176419229,330.6,543.9637,true
Kelly+Leyden,2,2,gaze,fish,1,0,1449176419329,335.3583,545.7938,true
Kelly+Leyden,2,2,gaze,fish,1,0,1449176419428,340.759,548.9374,true
Kelly+Leyden,2,2,gaze,fish,1,0,1449176419529,341.6055,551.9023,true
Kelly+Leyden,2,2,gaze,fish,1,0,1449176419629,339.2515,553.4722,true
Kelly+Leyden,2,2,gaze,fish,1,0,1449176419729,337.0875,553.8114,true
Kelly+Leyden,2,2,gaze,fish,1,0,1449176419829,332.3164,554.9569,true
Kelly+Leyden,2,2,gaze,fish,1,0,1449176419929,329.3636,554.934,true
