
participant,condition,block,input,stimulus,region,triggered,timestamp,X,Y,Fixation
Kelly+Leyden,2,4,gaze,viruses,4,1,1449176723960,972.6483,405.0745,false
Kelly+Leyden,2,4,gaze,viruses,4,0,1449176724058,970.601,380.2679,false
Kelly+Leyden,2,4,gaze,viruses,4,0,1449176724158,970.4253,388.2521,false
Kelly+Leyden,2,4,gaze,viruses,4,0,1449176724258,972.9379,410.3203,true
Kelly+Leyden,2,4,gaze,viruses,4,0,1449176724358,975.0847,447.3415,true
Kelly+Leyden,2,4,gaze,viruses,4,0,1449176724457,975.8558,445.5565,true
Kelly+Leyden,2,4,gaze,viruses,3,1,1449176724558,967.1932,147.4519,false
Kelly+Leyden,2,4,gaze,viruses,3,0,1449176724658,970.7715,164.211,true
Kelly+Leyden,2,4,gaze,viruses,4,1,1449176724758,1017.0454,523.9238,false
Kelly+Leyden,2,4,gaze,viruses,4,0,1449176724858,1005.2999,570.8558,false
Kelly+Leyden,2,4,gaze,viruses,3,1,1449176724959,981.8787,207.0202,false
Kelly+Leyden,2,4,gaze,viruses,3,0,1449176725059,974.0207,194.1774,false
Kelly+Leyden,2,4,gaze,viruses,4,1,1449176725159,993.9186,494.3195,false
Kelly+Leyden,2,4,gaze,viruses,4,0,1449176725260,997.2115,493.4528,false
Kelly+Leyden,2,4,gaze,viruses,4,0,1449176725359,993.1192,499.4915,true
Kelly+Leyden,2,4,gaze,viruses,4,0,1449176725459,991.9412,504.2664,true
Kelly+Leyden,2,4,gaze,viruses,4,0,1449176725560,995.4345,512.0056,true
Kelly+Leyden,2,4,gaze,viruses,4,0,1449176725660,995.9244,522.2436,true
Kelly+Leyden,2,4,gaze,viruses,4,0,1449176725760,999.3517,526.2263,true
Kelly+Leyden,2,4,gaze,viruses,3,1,1449176725860,981.6091,149.0128,false
Kelly+Leyden,2,4,gaze,viruses,3,0,1449176725960,987.7597,156.147,false
Kelly+Leyden,2,4,gaze,viruses,3,0,1449176726062,985.3184,164.8448,true
Kelly+Leyden,2,4,gaze,viruses,3,0,1449176726162,980.8246,174.4726,true
Kelly+Leyden,2,4,gaze,viruses,3,0,1449176726261,979.9124,179.4324,true
Kelly+Leyden,2,4,gaze,viruses,3,0,1449176726362,979.0051,183.7542,true
Kelly+Leyden,2,4,gaze,viruses,3,0,1449176726461,975.9556,186.368,true
Kelly+Leyden,2,4,gaze,viruses,3,0,1449176726562,973.648,187.0431,true
Kelly+Leyden,2,4,gaze,viruses,3,0,1449176726661,973.8545,185.7281,true
Kelly+Leyden,2,4,gaze,viruses,3,0,1449176726761,973.8154,182.8947,true
Kelly+Leyden,2,4,gaze,viruses,3,0,1449176726861,973.8631,178.3033,true
Kelly+Leyden,2,4,gaze,viruses,3,0,1449176726963,973.5797,171.1041,true
Kelly+Leyden,2,4,gaze,viruses,3,0,1449176727063,975.9362,168.2536,true
Kelly+Leyden,2,4,gaze,viruses,3,0,1449176727162,979.5688,171.1366,true
Kelly+Leyden,2,4,gaze,viruses,3,0,1449176727262,984.1664,169.967,true
Kelly+Leyden,2,4,gaze,viruses,3,0,1449176727363,989.4905,170.5142,true
Kelly+Leyden,2,4,gaze,viruses,-1,0,1449176727463,740.0718,103.9468,false
Kelly+Leyden,2,4,gaze,viruses,0,1,1449176727563,294.7619,160.3627,false
Kelly+Leyden,2,4,gaze,viruses,0,0,1449176727663,280.1873,132.4518,false
Kelly+Leyden,2,4,gaze,viruses,0,0,1449176727763,285.493,169.6107,false
Kelly+Leyden,2,4,gaze,viruses,0,0,1449176727863,296.3776,167.8747,true
Kelly+Leyden,2,4,gaze,viruses,0,0,1449176727963,302.3404,161.416,true
Kelly+Leyden,2,4,gaze,viruses,0,0,1449176728063,299.6956,160.4122,true
Kelly+Leyden,2,4,gaze,viruses,0,0,1449176728163,298.3827,163.6398,true
Kelly+Leyden,2,4,gaze,viruses,0,0,1449176728263,297.5337,163.5597,true
Kelly+Leyden,2,4,gaze,viruses,0,0,1449176728363,297.3107,162.3055,true
Kelly+Leyden,2,4,gaze,viruses,0,0,1449176728463,297.7858,160.5978,true
Kelly+Leyden,2,4,gaze,viruses,0,0,1449176728563,296.8381,158.0064,true
Kelly+Leyden,2,4,gaze,viruses,0,0,1449176728663,297.6579,158.2566,true
Kelly+Leyden,2,4,gaze,viruses,0,0,1449176728763,294.1367,155.9907,true
Kelly+Leyden,2,4,gaze,viruses,0,0,1449176728863,294.9767,169.8835,true
Kelly+Leyden,2,4,gaze,viruses,0,0,1449176728963,297.9165,181.7196,true
Kelly+Leyden,2,4,gaze,viruses,0,0,1449176729064,295.3583,185.5723,true
Kelly+Leyden,2,4,gaze,viruses,0,0,1449176729164,294.7184,185.0507,true
Kelly+Leyden,2,4,gaze,viruses,0,0,1449176729265,293.2726,184.1679,true
Kelly+Leyden,2,4,gaze,viruses,0,0,1449176729364,294.6593,183.4187,true
