
participant,condition,block,input,stimulus,region,triggered,timestamp,X,Y,Fixation
Kelly+Leyden,2,0,gaze,training,5,1,1449176061547,979.6199,553.1281,true
Kelly+Leyden,2,0,gaze,training,5,0,1449176061647,979.7829,552.4518,true
Kelly+Leyden,2,0,gaze,training,5,0,1449176061748,978.7252,550.3405,true
Kelly+Leyden,2,0,gaze,training,4,1,1449176061847,972.3824,536.528,true
Kelly+Leyden,2,0,gaze,training,4,0,1449176061947,968.7015,525.5123,true
Kelly+Leyden,2,0,gaze,training,4,0,1449176062048,971.1953,514.3635,true
Kelly+Leyden,2,0,gaze,training,4,0,1449176062147,975.3672,511.263,true
Kelly+Leyden,2,0,gaze,training,5,1,1449176062247,996.7686,843.1955,false
Kelly+Leyden,2,0,gaze,training,5,0,1449176062349,992.9478,856.7515,false
Kelly+Leyden,2,0,gaze,training,-1,0,1449176062449,668.9581,825.8278,false
Kelly+Leyden,2,0,gaze,training,-1,0,1449176062548,630.8766,816.1805,false
Kelly+Leyden,2,0,gaze,training,5,1,1449176062648,947.5737,849.6568,false
Kelly+Leyden,2,0,gaze,training,5,0,1449176062749,955.9526,850.3574,false
Kelly+Leyden,2,0,gaze,training,5,0,1449176062849,965.6064,850.8058,true
Kelly+Leyden,2,0,gaze,training,5,0,1449176062949,974.387,850.4717,true
Kelly+Leyden,2,0,gaze,training,5,0,1449176063049,976.4772,849.3448,true
Kelly+Leyden,2,0,gaze,training,4,1,1449176063149,969.0627,433.3072,false
Kelly+Leyden,2,0,gaze,training,4,0,1449176063248,974.2765,525.3984,false
Kelly+Leyden,2,0,gaze,training,4,0,1449176063350,941.7796,253.4601,false
Kelly+Leyden,2,0,gaze,training,4,0,1449176063450,942.4259,257.6253,false
Kelly+Leyden,2,0,gaze,training,4,0,1449176063550,943.9642,259.3624,true
Kelly+Leyden,2,0,gaze,training,4,0,1449176063650,947.9328,261.4354,true
Kelly+Leyden,2,0,gaze,training,4,0,1449176063751,951.9507,255.9678,true
Kelly+Leyden,2,0,gaze,training,4,0,1449176063851,957.0391,253.9235,true
Kelly+Leyden,2,0,gaze,training,4,0,1449176063950,962.8904,249.6513,true
Kelly+Leyden,2,0,gaze,training,4,0,1449176064051,964.8724,245.741,true
Kelly+Leyden,2,0,gaze,training,4,0,1449176064151,963.8324,249.7169,true
Kelly+Leyden,2,0,gaze,training,4,0,1449176064251,969.1868,454.6507,false
Kelly+Leyden,2,0,gaze,training,4,0,1449176064350,985.7227,315.1006,false
Kelly+Leyden,2,0,gaze,training,3,1,1449176064451,970.0564,210.2899,false
Kelly+Leyden,2,0,gaze,training,3,0,1449176064551,969.9758,207.4597,true
Kelly+Leyden,2,0,gaze,training,3,0,1449176064651,969.7543,212.3925,true
Kelly+Leyden,2,0,gaze,training,3,0,1449176064751,966.2243,216.5871,true
Kelly+Leyden,2,0,gaze,training,3,0,1449176064852,963.9638,219.6705,true
Kelly+Leyden,2,0,gaze,training,6,1,1449176064952,1632.8267,231.7087,false
Kelly+Leyden,2,0,gaze,training,6,0,1449176065052,1628.2386,234.7009,false
Kelly+Leyden,2,0,gaze,training,6,0,1449176065152,1627.3602,236.9662,true
Kelly+Leyden,2,0,gaze,training,7,1,1449176065253,1623.6478,241.8438,true
Kelly+Leyden,2,0,gaze,training,7,0,1449176065352,1622.5342,241.5191,true
Kelly+Leyden,2,0,gaze,training,6,1,1449176065452,1623.0634,240.6657,true
Kelly+Leyden,2,0,gaze,training,8,1,1449176065553,1686.0657,566.6898,false
Kelly+Leyden,2,0,gaze,training,7,1,1449176065652,1647.3115,520.1397,false
Kelly+Leyden,2,0,gaze,training,7,0,1449176065752,1644.0645,530.5684,true
Kelly+Leyden,2,0,gaze,training,7,0,1449176065853,1644.9606,524.8206,true
Kelly+Leyden,2,0,gaze,training,7,0,1449176065953,1636.0503,530.8121,true
Kelly+Leyden,2,0,gaze,training,7,0,1449176066054,1631.9291,535.9244,true
Kelly+Leyden,2,0,gaze,training,7,0,1449176066153,1632.6095,538.522,true
Kelly+Leyden,2,0,gaze,training,8,1,1449176066253,1629.1189,832.422,false
Kelly+Leyden,2,0,gaze,training,8,0,1449176066353,1640.2465,832.0947,false
Kelly+Leyden,2,0,gaze,training,8,0,1449176066453,1636.4988,833.7568,true
Kelly+Leyden,2,0,gaze,training,8,0,1449176066554,1633.2184,834.9653,true
Kelly+Leyden,2,0,gaze,training,8,0,1449176066654,1632.0918,836.0811,true
Kelly+Leyden,2,0,gaze,training,8,0,1449176066755,1629.1174,834.8544,true
Kelly+Leyden,2,0,gaze,training,8,0,1449176066854,1626.9895,829.6566,true
Kelly+Leyden,2,0,gaze,training,-1,0,1449176066954,2340.4556,444.5033,false
Kelly+Leyden,2,0,gaze,training,8,1,1449176067054,1628.8313,815.402,false
Kelly+Leyden,2,0,gaze,training,8,0,1449176067155,1607.2313,837.7019,false
Kelly+Leyden,2,0,gaze,training,-1,0,1449176067255,0,0,false
Kelly+Leyden,2,0,gaze,training,5,1,1449176067356,974.975,764.6453,false
Kelly+Leyden,2,0,gaze,training,-1,0,1449176067456,600.0821,739.7621,false
Kelly+Leyden,2,0,gaze,training,2,1,1449176067556,354.2723,715.7344,false
Kelly+Leyden,2,0,gaze,training,2,0,1449176067656,355.431,779.9238,false
Kelly+Leyden,2,0,gaze,training,2,0,1449176067756,354.3474,801.7102,true
Kelly+Leyden,2,0,gaze,training,2,0,1449176067856,360.0529,841.139,false
Kelly+Leyden,2,0,gaze,training,2,0,1449176067956,351.3708,816.5781,false
Kelly+Leyden,2,0,gaze,training,2,0,1449176068055,350.2539,807.7289,true
Kelly+Leyden,2,0,gaze,training,2,0,1449176068155,350.7953,796.7071,true
Kelly+Leyden,2,0,gaze,training,2,0,1449176068255,337.9171,643.2734,false
Kelly+Leyden,2,0,gaze,training,2,0,1449176068357,329.7439,616.0369,false
Kelly+Leyden,2,0,gaze,training,2,0,1449176068457,335.649,592.3495,true
Kelly+Leyden,2,0,gaze,training,2,0,1449176068557,337.6312,579.7193,true
Kelly+Leyden,2,0,gaze,training,2,0,1449176068657,335.2595,565.9615,true
Kelly+Leyden,2,0,gaze,training,2,0,1449176068757,333.7994,556.2874,true
Kelly+Leyden,2,0,gaze,training,2,0,1449176068857,334.4171,548.3076,true
Kelly+Leyden,2,0,gaze,training,1,1,1449176068958,334.9565,543.8267,true
Kelly+Leyden,2,0,gaze,training,1,0,1449176069058,333.4118,537.5892,true
Kelly+Leyden,2,0,gaze,training,1,0,1449176069158,333.0909,532.6422,true
Kelly+Leyden,2,0,gaze,training,1,0,1449176069258,331.0779,530.6611,true
Kelly+Leyden,2,0,gaze,training,1,0,1449176069358,331.6841,531.4449,true
Kelly+Leyden,2,0,gaze,training,1,0,1449176069459,336.4446,273.0628,false
