
participant,condition,block,input,stimulus,region,triggered,timestamp,X,Y,Fixation
MattMMIL,1,1,gaze,flags,3,1,1449172885638,993.8945,205.1808,true
MattMMIL,1,1,gaze,flags,3,0,1449172885738,988.374,207.8387,true
MattMMIL,1,1,gaze,flags,3,0,1449172885838,983.6935,225.6078,false
MattMMIL,1,1,gaze,flags,3,0,1449172885938,957.6529,212.6084,false
MattMMIL,1,1,gaze,flags,3,0,1449172886038,924.0114,191.6416,true
MattMMIL,1,1,gaze,flags,3,0,1449172886138,914.1313,182.2213,true
MattMMIL,1,1,gaze,flags,3,0,1449172886238,909.6731,170.1831,true
MattMMIL,1,1,gaze,flags,3,0,1449172886338,907.5303,159.319,true
MattMMIL,1,1,gaze,flags,3,0,1449172886437,908.9744,107.7534,false
MattMMIL,1,1,gaze,flags,3,0,1449172886537,909.7451,104.7447,false
MattMMIL,1,1,gaze,flags,3,0,1449172886637,908.7762,100.2351,true
MattMMIL,1,1,gaze,flags,3,0,1449172886737,905.8956,98.9526,true
MattMMIL,1,1,gaze,flags,3,0,1449172886839,906.0635,100.2529,true
MattMMIL,1,1,gaze,flags,0,1,1449172886939,260.3287,108.8586,false
MattMMIL,1,1,gaze,flags,0,0,1449172887039,283.6161,111.64,false
MattMMIL,1,1,gaze,flags,0,0,1449172887139,282.8004,109.4868,true
MattMMIL,1,1,gaze,flags,0,0,1449172887239,281.313,113.9687,true
MattMMIL,1,1,gaze,flags,0,0,1449172887339,278.5057,114.5688,true
MattMMIL,1,1,gaze,flags,0,0,1449172887439,277.2281,115.715,true
MattMMIL,1,1,gaze,flags,0,0,1449172887539,275.058,114.0379,true
MattMMIL,1,1,gaze,flags,0,0,1449172887639,273.2793,111.8779,true
MattMMIL,1,1,gaze,flags,0,0,1449172887739,272.5834,110.084,true
MattMMIL,1,1,gaze,flags,0,0,1449172887839,270.4097,106.3616,true
MattMMIL,1,1,gaze,flags,0,0,1449172887938,268.5742,103.7869,true
MattMMIL,1,1,gaze,flags,0,0,1449172888038,265.4589,98.6225,true
MattMMIL,1,1,gaze,flags,1,1,1449172888139,298.2032,521.9546,false
MattMMIL,1,1,gaze,flags,1,0,1449172888239,300.7927,522.8364,false
MattMMIL,1,1,gaze,flags,1,0,1449172888339,301.5136,530.8613,true
MattMMIL,1,1,gaze,flags,1,0,1449172888439,289.1434,497.7476,true
MattMMIL,1,1,gaze,flags,1,0,1449172888538,283.0837,473.3944,true
MattMMIL,1,1,gaze,flags,1,0,1449172888639,279.7798,462.6304,true
MattMMIL,1,1,gaze,flags,1,0,1449172888739,274.5844,450.3685,true
MattMMIL,1,1,gaze,flags,1,0,1449172888839,271.5548,441.8395,true
MattMMIL,1,1,gaze,flags,1,0,1449172888939,268.8698,435.1782,true
MattMMIL,1,1,gaze,flags,1,0,1449172889039,267.2346,427.2633,true
MattMMIL,1,1,gaze,flags,1,0,1449172889139,265.6191,423.9969,true
MattMMIL,1,1,gaze,flags,1,0,1449172889239,266.8145,423.4174,true
MattMMIL,1,1,gaze,flags,1,0,1449172889340,264.7057,435.6649,false
MattMMIL,1,1,gaze,flags,1,0,1449172889441,269.8509,435.3332,false
MattMMIL,1,1,gaze,flags,1,0,1449172889541,275.0338,436.092,true
MattMMIL,1,1,gaze,flags,1,0,1449172889640,276.7903,438.0002,true
MattMMIL,1,1,gaze,flags,1,0,1449172889741,274.6231,439.0556,true
MattMMIL,1,1,gaze,flags,1,0,1449172889841,276.3597,441.6714,true
