
participant,condition,block,input,stimulus,region,triggered,timestamp,X,Y,Fixation
MattMMIL,1,2,mouse,fish,-1,0,1449173138356,0,0,
MattMMIL,1,2,mouse,fish,-1,0,1449173138455,0,0,
MattMMIL,1,2,mouse,fish,-1,0,1449173138557,0,0,
MattMMIL,1,2,mouse,fish,-1,0,1449173138656,0,0,
MattMMIL,1,2,mouse,fish,-1,0,1449173138756,0,0,
MattMMIL,1,2,mouse,fish,-1,0,1449173138857,0,0,
MattMMIL,1,2,mouse,fish,-1,0,1449173138956,0,0,
MattMMIL,1,2,mouse,fish,-1,0,1449173139057,0,0,
MattMMIL,1,2,mouse,fish,-1,0,1449173139156,0,0,
MattMMIL,1,2,mouse,fish,-1,0,1449173139257,0,0,
MattMMIL,1,2,mouse,fish,-1,0,1449173139358,0,0,
MattMMIL,1,2,mouse,fish,-1,0,1449173139457,0,0,
MattMMIL,1,2,mouse,fish,-1,0,1449173139558,0,0,
MattMMIL,1,2,mouse,fish,-1,0,1449173139658,0,0,
MattMMIL,1,2,mouse,fish,-1,0,1449173139759,0,0,
MattMMIL,1,2,mouse,fish,-1,0,1449173139858,0,0,
MattMMIL,1,2,mouse,fish,-1,0,1449173139958,0,0,
MattMMIL,1,2,mouse,fish,-1,0,1449173140059,0,0,
MattMMIL,1,2,mouse,fish,-1,0,1449173140159,0,0,
MattMMIL,1,2,mouse,fish,-1,0,1449173140259,0,0,
MattMMIL,1,2,mouse,fish,-1,0,1449173140359,0,0,
MattMMIL,1,2,mouse,fish,-1,0,1449173140459,0,0,
MattMMIL,1,2,mouse,fish,-1,0,1449173140560,0,0,
MattMMIL,1,2,mouse,fish,-1,0,1449173140660,0,0,
MattMMIL,1,2,mouse,fish,-1,0,1449173140760,0,0,
MattMMIL,1,2,mouse,fish,-1,0,1449173140861,0,0,
MattMMIL,1,2,mouse,fish,-1,0,1449173140960,0,0,
MattMMIL,1,2,mouse,fish,-1,0,1449173141061,0,0,
MattMMIL,1,2,mouse,fish,-1,0,1449173141160,0,0,
MattMMIL,1,2,mouse,fish,-1,0,1449173141261,0,0,
MattMMIL,1,2,mouse,fish,-1,0,1449173141361,0,0,
MattMMIL,1,2,mouse,fish,-1,0,1449173141461,1049,490,
