
participant,condition,block,input,stimulus,region,triggered,timestamp,X,Y,Fixation
MattMMIL,1,3,gaze,mushrooms,4,1,1449173393985,986.3494,463.5138,true
MattMMIL,1,3,gaze,mushrooms,4,0,1449173394085,986.5695,461.5781,true
MattMMIL,1,3,gaze,mushrooms,4,0,1449173394186,985.6209,460.5909,true
MattMMIL,1,3,gaze,mushrooms,4,0,1449173394285,984.3282,462.1817,true
MattMMIL,1,3,gaze,mushrooms,4,0,1449173394386,983.0399,459.2075,true
MattMMIL,1,3,gaze,mushrooms,4,0,1449173394485,979.06,455.4826,true
MattMMIL,1,3,gaze,mushrooms,4,0,1449173394586,976.3085,453.5597,true
MattMMIL,1,3,gaze,mushrooms,4,0,1449173394685,973.2017,450.8375,true
MattMMIL,1,3,gaze,mushrooms,4,0,1449173394785,971.4093,449.5668,true
MattMMIL,1,3,gaze,mushrooms,4,0,1449173394886,969.2661,449.9474,true
MattMMIL,1,3,gaze,mushrooms,4,0,1449173394985,967.0731,455.0947,true
MattMMIL,1,3,gaze,mushrooms,4,0,1449173395085,966.938,459.2402,true
MattMMIL,1,3,gaze,mushrooms,4,0,1449173395185,966.7027,462.4417,true
MattMMIL,1,3,gaze,mushrooms,4,0,1449173395286,963.6334,467.42,true
MattMMIL,1,3,gaze,mushrooms,4,0,1449173395386,961.0892,467.7217,true
MattMMIL,1,3,gaze,mushrooms,3,1,1449173395486,935.5961,110.4311,false
MattMMIL,1,3,gaze,mushrooms,3,0,1449173395586,941.9509,128.9358,false
MattMMIL,1,3,gaze,mushrooms,3,0,1449173395687,942.4357,130.0923,true
MattMMIL,1,3,gaze,mushrooms,3,0,1449173395786,940.1165,121.2074,true
MattMMIL,1,3,gaze,mushrooms,3,0,1449173395888,936.9053,109.3572,true
MattMMIL,1,3,gaze,mushrooms,3,0,1449173395987,935.1718,97.747,true
MattMMIL,1,3,gaze,mushrooms,3,0,1449173396087,933.5375,87.648,true
MattMMIL,1,3,gaze,mushrooms,3,0,1449173396189,933.3345,77.3257,true
MattMMIL,1,3,gaze,mushrooms,3,0,1449173396288,932.8287,67.5598,true
MattMMIL,1,3,gaze,mushrooms,3,0,1449173396388,932.6169,59.3816,true
MattMMIL,1,3,gaze,mushrooms,3,0,1449173396488,932.1215,52.19,true
MattMMIL,1,3,gaze,mushrooms,3,0,1449173396588,930.6957,49.462,true
MattMMIL,1,3,gaze,mushrooms,3,0,1449173396688,928.6448,46.3706,true
MattMMIL,1,3,gaze,mushrooms,3,0,1449173396788,927.2058,44.6324,true
MattMMIL,1,3,gaze,mushrooms,-1,0,1449173396888,509.6113,-2.8739,false
MattMMIL,1,3,gaze,mushrooms,0,1,1449173396989,459.6488,13.7429,false
MattMMIL,1,3,gaze,mushrooms,0,0,1449173397090,266.5019,104.6838,false
MattMMIL,1,3,gaze,mushrooms,0,0,1449173397190,267.8862,106.8058,false
MattMMIL,1,3,gaze,mushrooms,0,0,1449173397289,268.0926,102.5788,true
