
participant,condition,block,input,stimulus,region,triggered,timestamp,X,Y,Fixation
MattMMIL,1,4,mouse,viruses,-1,0,1449173632830,0,0,
MattMMIL,1,4,mouse,viruses,-1,0,1449173632930,0,0,
MattMMIL,1,4,mouse,viruses,-1,0,1449173633030,0,0,
MattMMIL,1,4,mouse,viruses,-1,0,1449173633130,0,0,
MattMMIL,1,4,mouse,viruses,-1,0,1449173633230,0,0,
MattMMIL,1,4,mouse,viruses,-1,0,1449173633330,0,0,
MattMMIL,1,4,mouse,viruses,-1,0,1449173633430,0,0,
MattMMIL,1,4,mouse,viruses,-1,0,1449173633530,0,0,
MattMMIL,1,4,mouse,viruses,-1,0,1449173633630,0,0,
MattMMIL,1,4,mouse,viruses,-1,0,1449173633731,0,0,
MattMMIL,1,4,mouse,viruses,-1,0,1449173633830,0,0,
MattMMIL,1,4,mouse,viruses,-1,0,1449173633930,0,0,
MattMMIL,1,4,mouse,viruses,-1,0,1449173634030,0,0,
MattMMIL,1,4,mouse,viruses,-1,0,1449173634131,0,0,
MattMMIL,1,4,mouse,viruses,-1,0,1449173634231,0,0,
MattMMIL,1,4,mouse,viruses,-1,0,1449173634330,0,0,
MattMMIL,1,4,mouse,viruses,-1,0,1449173634431,0,0,
MattMMIL,1,4,mouse,viruses,-1,0,1449173634530,0,0,
MattMMIL,1,4,mouse,viruses,-1,0,1449173634630,1390,314,
MattMMIL,1,4,mouse,viruses,-1,0,1449173634731,1109,147,
MattMMIL,1,4,mouse,viruses,-1,0,1449173634830,957,57,
MattMMIL,1,4,mouse,viruses,-1,0,1449173634931,602,146,
MattMMIL,1,4,mouse,viruses,0,1,1449173635031,323,191,
MattMMIL,1,4,mouse,viruses,0,0,1449173635131,281,201,
MattMMIL,1,4,mouse,viruses,-1,0,1449173635231,222,165,
MattMMIL,1,4,mouse,viruses,-1,0,1449173635331,234,171,
MattMMIL,1,4,mouse,viruses,-1,0,1449173635430,234,171,
MattMMIL,1,4,mouse,viruses,-1,0,1449173635531,234,171,
MattMMIL,1,4,mouse,viruses,0,1,1449173635632,297,158,
MattMMIL,1,4,mouse,viruses,0,0,1449173635732,297,158,
MattMMIL,1,4,mouse,viruses,0,0,1449173635832,297,158,
MattMMIL,1,4,mouse,viruses,0,0,1449173635932,297,158,
MattMMIL,1,4,mouse,viruses,0,0,1449173636032,297,158,
MattMMIL,1,4,mouse,viruses,0,0,1449173636132,297,158,
MattMMIL,1,4,mouse,viruses,0,0,1449173636232,297,158,
MattMMIL,1,4,mouse,viruses,-1,0,1449173636332,598,103,
MattMMIL,1,4,mouse,viruses,-1,0,1449173636433,778,96,
MattMMIL,1,4,mouse,viruses,3,1,1449173636532,936,142,
MattMMIL,1,4,mouse,viruses,3,0,1449173636633,990,160,
MattMMIL,1,4,mouse,viruses,3,0,1449173636733,990,160,
MattMMIL,1,4,mouse,viruses,3,0,1449173636832,990,160,
MattMMIL,1,4,mouse,viruses,3,0,1449173636933,990,160,
MattMMIL,1,4,mouse,viruses,3,0,1449173637032,990,160,
MattMMIL,1,4,mouse,viruses,3,0,1449173637132,990,160,
MattMMIL,1,4,mouse,viruses,3,0,1449173637233,990,160,
MattMMIL,1,4,mouse,viruses,3,0,1449173637333,990,160,
MattMMIL,1,4,mouse,viruses,3,0,1449173637433,990,160,
MattMMIL,1,4,mouse,viruses,3,0,1449173637533,999,161,
MattMMIL,1,4,mouse,viruses,3,0,1449173637632,999,161,
MattMMIL,1,4,mouse,viruses,-1,0,1449173637733,1069,220,
MattMMIL,1,4,mouse,viruses,-1,0,1449173637832,1079,231,
MattMMIL,1,4,mouse,viruses,-1,0,1449173637933,1079,231,
MattMMIL,1,4,mouse,viruses,-1,0,1449173638033,1063,222,
MattMMIL,1,4,mouse,viruses,3,1,1449173638133,992,167,
MattMMIL,1,4,mouse,viruses,3,0,1449173638234,994,170,
MattMMIL,1,4,mouse,viruses,3,0,1449173638334,994,170,
MattMMIL,1,4,mouse,viruses,-1,0,1449173638433,1046,170,
MattMMIL,1,4,mouse,viruses,-1,0,1449173638533,1394,138,
MattMMIL,1,4,mouse,viruses,-1,0,1449173638633,1403,138,
MattMMIL,1,4,mouse,viruses,-1,0,1449173638734,1426,143,
MattMMIL,1,4,mouse,viruses,6,1,1449173638835,1595,170,
MattMMIL,1,4,mouse,viruses,6,0,1449173638935,1595,170,
MattMMIL,1,4,mouse,viruses,6,0,1449173639034,1595,170,
MattMMIL,1,4,mouse,viruses,6,0,1449173639135,1595,170,
MattMMIL,1,4,mouse,viruses,6,0,1449173639235,1595,170,
MattMMIL,1,4,mouse,viruses,6,0,1449173639334,1595,170,
MattMMIL,1,4,mouse,viruses,6,0,1449173639435,1595,170,
MattMMIL,1,4,mouse,viruses,6,0,1449173639535,1595,170,
MattMMIL,1,4,mouse,viruses,6,0,1449173639634,1595,170,
MattMMIL,1,4,mouse,viruses,6,0,1449173639735,1595,170,
MattMMIL,1,4,mouse,viruses,6,0,1449173639835,1595,170,
