
participant,condition,block,input,stimulus,region,triggered,timestamp,X,Y,Fixation
MattMMIL,1,0,gaze,training,4,1,1449172836977,955.7554,349.5471,false
MattMMIL,1,0,gaze,training,4,0,1449172837076,952.7795,331.8544,false
MattMMIL,1,0,gaze,training,4,0,1449172837176,949.106,342.3403,false
MattMMIL,1,0,gaze,training,4,0,1449172837276,978.1125,520.9371,false
MattMMIL,1,0,gaze,training,4,0,1449172837376,979.3138,520.8994,false
MattMMIL,1,0,gaze,training,4,0,1449172837476,975.8022,504.5819,true
MattMMIL,1,0,gaze,training,4,0,1449172837576,972.2292,497.3116,true
MattMMIL,1,0,gaze,training,4,0,1449172837677,971.72,489.5551,true
MattMMIL,1,0,gaze,training,4,0,1449172837777,970.0869,483.8898,true
MattMMIL,1,0,gaze,training,4,0,1449172837877,965.5375,468.1456,true
MattMMIL,1,0,gaze,training,4,0,1449172837977,962.0097,456.1552,true
MattMMIL,1,0,gaze,training,3,1,1449172838077,950.6766,133.8874,false
MattMMIL,1,0,gaze,training,3,0,1449172838177,952.4073,134.7901,false
MattMMIL,1,0,gaze,training,3,0,1449172838277,946.9166,140.1364,true
MattMMIL,1,0,gaze,training,3,0,1449172838377,948.1236,139.0663,true
MattMMIL,1,0,gaze,training,3,0,1449172838477,951.7086,129.1446,true
MattMMIL,1,0,gaze,training,-1,0,1449172838577,1353.178,105.6051,false
MattMMIL,1,0,gaze,training,6,1,1449172838678,1654.0929,105.5975,false
MattMMIL,1,0,gaze,training,6,0,1449172838778,1652.5103,95.9352,false
MattMMIL,1,0,gaze,training,6,0,1449172838877,1657.5935,101.38,false
MattMMIL,1,0,gaze,training,6,0,1449172838978,1656.3367,95.5439,false
MattMMIL,1,0,gaze,training,6,0,1449172839079,1657.4252,100.3295,true
MattMMIL,1,0,gaze,training,6,0,1449172839180,1656.6372,102.2653,true
MattMMIL,1,0,gaze,training,7,1,1449172839280,1668.5627,478.2938,false
MattMMIL,1,0,gaze,training,7,0,1449172839379,1659.1877,481.9157,false
MattMMIL,1,0,gaze,training,7,0,1449172839480,1654.9718,483.5626,true
MattMMIL,1,0,gaze,training,7,0,1449172839580,1654.8967,485.0399,true
MattMMIL,1,0,gaze,training,8,1,1449172839680,1677.3906,778.4037,false
MattMMIL,1,0,gaze,training,8,0,1449172839780,1674.0487,787.6801,true
MattMMIL,1,0,gaze,training,8,0,1449172839882,1672.7053,787.4966,true
MattMMIL,1,0,gaze,training,8,0,1449172839981,1669.7135,790.0456,true
MattMMIL,1,0,gaze,training,8,0,1449172840081,1668.687,791.5946,true
MattMMIL,1,0,gaze,training,5,1,1449172840181,1008.2079,845.0076,false
MattMMIL,1,0,gaze,training,5,0,1449172840281,991.8863,830.7485,false
MattMMIL,1,0,gaze,training,5,0,1449172840381,984.8339,845.1133,false
MattMMIL,1,0,gaze,training,5,0,1449172840481,984.6826,847.8152,false
MattMMIL,1,0,gaze,training,5,0,1449172840582,983.6525,845.5132,true
MattMMIL,1,0,gaze,training,-1,0,1449172840681,582.7308,847.7971,false
MattMMIL,1,0,gaze,training,2,1,1449172840781,299.3562,833.0332,false
