
participant,condition,block,input,stimulus,region,triggered,timestamp,X,Y,Fixation
MattMMIL,1,0,mouse,training,-1,0,1449172812839,1532,287,
MattMMIL,1,0,mouse,training,-1,0,1449172812938,1532,287,
MattMMIL,1,0,mouse,training,-1,0,1449172813038,1532,287,
MattMMIL,1,0,mouse,training,-1,0,1449172813138,1532,287,
MattMMIL,1,0,mouse,training,-1,0,1449172813238,1532,287,
MattMMIL,1,0,mouse,training,-1,0,1449172813338,1532,287,
MattMMIL,1,0,mouse,training,-1,0,1449172813438,1532,287,
MattMMIL,1,0,mouse,training,-1,0,1449172813538,1532,287,
MattMMIL,1,0,mouse,training,-1,0,1449172813639,1532,287,
MattMMIL,1,0,mouse,training,-1,0,1449172813738,1532,287,
MattMMIL,1,0,mouse,training,-1,0,1449172813838,1532,287,
MattMMIL,1,0,mouse,training,-1,0,1449172813938,1532,287,
MattMMIL,1,0,mouse,training,-1,0,1449172814038,1532,287,
MattMMIL,1,0,mouse,training,-1,0,1449172814139,1532,287,
MattMMIL,1,0,mouse,training,-1,0,1449172814239,1532,287,
MattMMIL,1,0,mouse,training,-1,0,1449172814338,1532,287,
MattMMIL,1,0,mouse,training,6,1,1449172814439,1563,194,
MattMMIL,1,0,mouse,training,-1,0,1449172814538,1577,115,
MattMMIL,1,0,mouse,training,-1,0,1449172814639,1581,105,
MattMMIL,1,0,mouse,training,-1,0,1449172814738,1579,108,
MattMMIL,1,0,mouse,training,-1,0,1449172814839,1347,145,
MattMMIL,1,0,mouse,training,-1,0,1449172814940,1279,150,
MattMMIL,1,0,mouse,training,-1,0,1449172815040,1107,155,
MattMMIL,1,0,mouse,training,3,1,1449172815140,1008,158,
MattMMIL,1,0,mouse,training,3,0,1449172815240,1003,159,
MattMMIL,1,0,mouse,training,3,0,1449172815340,999,158,
MattMMIL,1,0,mouse,training,3,0,1449172815440,976,153,
MattMMIL,1,0,mouse,training,-1,0,1449172815540,736,185,
MattMMIL,1,0,mouse,training,-1,0,1449172815639,493,198,
MattMMIL,1,0,mouse,training,-1,0,1449172815740,388,187,
MattMMIL,1,0,mouse,training,0,1,1449172815840,331,188,
MattMMIL,1,0,mouse,training,0,0,1449172815940,330,188,
MattMMIL,1,0,mouse,training,0,0,1449172816040,329,188,
MattMMIL,1,0,mouse,training,0,0,1449172816140,325,203,
MattMMIL,1,0,mouse,training,-1,0,1449172816240,302,455,
MattMMIL,1,0,mouse,training,1,1,1449172816341,310,506,
MattMMIL,1,0,mouse,training,1,0,1449172816440,299,553,
MattMMIL,1,0,mouse,training,1,0,1449172816541,294,558,
MattMMIL,1,0,mouse,training,1,0,1449172816642,293,552,
MattMMIL,1,0,mouse,training,1,0,1449172816742,293,552,
MattMMIL,1,0,mouse,training,-1,0,1449172816841,763,476,
MattMMIL,1,0,mouse,training,-1,0,1449172816941,877,482,
MattMMIL,1,0,mouse,training,-1,0,1449172817042,883,486,
MattMMIL,1,0,mouse,training,4,1,1449172817142,983,515,
MattMMIL,1,0,mouse,training,4,0,1449172817242,981,515,
MattMMIL,1,0,mouse,training,4,0,1449172817342,981,515,
MattMMIL,1,0,mouse,training,4,0,1449172817442,981,515,
MattMMIL,1,0,mouse,training,-1,0,1449172817542,1247,485,
MattMMIL,1,0,mouse,training,-1,0,1449172817642,1400,478,
MattMMIL,1,0,mouse,training,-1,0,1449172817743,1464,483,
MattMMIL,1,0,mouse,training,7,1,1449172817843,1598,489,
MattMMIL,1,0,mouse,training,7,0,1449172817942,1610,498,
MattMMIL,1,0,mouse,training,7,0,1449172818042,1613,496,
MattMMIL,1,0,mouse,training,7,0,1449172818142,1614,494,
MattMMIL,1,0,mouse,training,7,0,1449172818243,1612,500,
MattMMIL,1,0,mouse,training,7,0,1449172818343,1612,596,
MattMMIL,1,0,mouse,training,-1,0,1449172818442,1556,782,
