
participant,condition,block,input,stimulus,region,triggered,timestamp,X,Y,Fixation
Tim+B,2,1,mouse,flags,-1,0,1449182906937,0,0,
Tim+B,2,1,mouse,flags,-1,0,1449182907036,0,0,
Tim+B,2,1,mouse,flags,-1,0,1449182907136,0,0,
Tim+B,2,1,mouse,flags,-1,0,1449182907236,0,0,
Tim+B,2,1,mouse,flags,-1,0,1449182907336,0,0,
Tim+B,2,1,mouse,flags,-1,0,1449182907437,0,0,
Tim+B,2,1,mouse,flags,-1,0,1449182907536,0,0,
Tim+B,2,1,mouse,flags,-1,0,1449182907636,0,0,
Tim+B,2,1,mouse,flags,-1,0,1449182907736,0,0,
Tim+B,2,1,mouse,flags,-1,0,1449182907836,0,0,
Tim+B,2,1,mouse,flags,-1,0,1449182907937,0,0,
Tim+B,2,1,mouse,flags,-1,0,1449182908037,0,0,
Tim+B,2,1,mouse,flags,-1,0,1449182908137,0,0,
Tim+B,2,1,mouse,flags,-1,0,1449182908238,0,0,
Tim+B,2,1,mouse,flags,-1,0,1449182908339,101,612,
Tim+B,2,1,mouse,flags,-1,0,1449182908438,0,441,
Tim+B,2,1,mouse,flags,-1,0,1449182908538,0,338,
Tim+B,2,1,mouse,flags,-1,0,1449182908638,0,274,
Tim+B,2,1,mouse,flags,-1,0,1449182908738,152,240,
Tim+B,2,1,mouse,flags,-1,0,1449182908839,243,230,
Tim+B,2,1,mouse,flags,0,1,1449182908939,277,213,
Tim+B,2,1,mouse,flags,0,0,1449182909038,366,158,
Tim+B,2,1,mouse,flags,-1,0,1449182909139,416,142,
Tim+B,2,1,mouse,flags,-1,0,1449182909239,418,142,
Tim+B,2,1,mouse,flags,-1,0,1449182909339,418,142,
Tim+B,2,1,mouse,flags,-1,0,1449182909439,418,142,
Tim+B,2,1,mouse,flags,-1,0,1449182909540,401,153,
Tim+B,2,1,mouse,flags,-1,0,1449182909639,379,167,
Tim+B,2,1,mouse,flags,0,1,1449182909740,363,180,
Tim+B,2,1,mouse,flags,0,0,1449182909841,361,182,
Tim+B,2,1,mouse,flags,0,0,1449182909940,361,182,
Tim+B,2,1,mouse,flags,0,0,1449182910040,356,181,
Tim+B,2,1,mouse,flags,0,0,1449182910141,356,181,
Tim+B,2,1,mouse,flags,0,0,1449182910240,356,181,
Tim+B,2,1,mouse,flags,0,0,1449182910341,356,181,
Tim+B,2,1,mouse,flags,0,0,1449182910441,356,181,
Tim+B,2,1,mouse,flags,0,0,1449182910541,356,181,
Tim+B,2,1,mouse,flags,0,0,1449182910641,356,181,
Tim+B,2,1,mouse,flags,0,0,1449182910740,356,181,
Tim+B,2,1,mouse,flags,0,0,1449182910841,356,181,
Tim+B,2,1,mouse,flags,0,0,1449182910941,356,181,
Tim+B,2,1,mouse,flags,0,0,1449182911041,356,181,
Tim+B,2,1,mouse,flags,0,0,1449182911141,356,181,
Tim+B,2,1,mouse,flags,0,0,1449182911241,356,181,
Tim+B,2,1,mouse,flags,0,0,1449182911341,356,181,
Tim+B,2,1,mouse,flags,0,0,1449182911441,356,181,
Tim+B,2,1,mouse,flags,0,0,1449182911542,356,181,
Tim+B,2,1,mouse,flags,0,0,1449182911642,356,181,
Tim+B,2,1,mouse,flags,0,0,1449182911742,356,181,
Tim+B,2,1,mouse,flags,0,0,1449182911842,356,181,
Tim+B,2,1,mouse,flags,0,0,1449182911941,356,181,
Tim+B,2,1,mouse,flags,-1,0,1449182912042,465,179,
Tim+B,2,1,mouse,flags,-1,0,1449182912142,537,168,
Tim+B,2,1,mouse,flags,-1,0,1449182912242,630,182,
Tim+B,2,1,mouse,flags,-1,0,1449182912341,762,210,
Tim+B,2,1,mouse,flags,-1,0,1449182912443,801,215,
Tim+B,2,1,mouse,flags,-1,0,1449182912543,875,194,
Tim+B,2,1,mouse,flags,-1,0,1449182912643,899,176,
Tim+B,2,1,mouse,flags,3,1,1449182912743,921,170,
Tim+B,2,1,mouse,flags,3,0,1449182912843,941,171,
Tim+B,2,1,mouse,flags,3,0,1449182912943,941,171,
Tim+B,2,1,mouse,flags,3,0,1449182913043,941,171,
Tim+B,2,1,mouse,flags,3,0,1449182913143,941,171,
Tim+B,2,1,mouse,flags,3,0,1449182913244,941,171,
Tim+B,2,1,mouse,flags,3,0,1449182913344,941,171,
Tim+B,2,1,mouse,flags,3,0,1449182913443,941,171,
Tim+B,2,1,mouse,flags,3,0,1449182913543,941,171,
