
participant,condition,block,input,stimulus,region,triggered,timestamp,X,Y,Fixation
Tim+B,2,2,gaze,fish,3,1,1449183172055,865.603,259.1295,true
Tim+B,2,2,gaze,fish,3,0,1449183172155,861.5641,259.6456,true
Tim+B,2,2,gaze,fish,3,0,1449183172255,860.7279,258.3387,true
Tim+B,2,2,gaze,fish,4,1,1449183172355,959.2819,532.7971,false
Tim+B,2,2,gaze,fish,4,0,1449183172455,958.4885,508.3601,false
Tim+B,2,2,gaze,fish,4,0,1449183172555,958.117,506.5672,true
Tim+B,2,2,gaze,fish,4,0,1449183172655,957.191,509.2976,true
Tim+B,2,2,gaze,fish,4,0,1449183172755,969.1115,507.5765,true
Tim+B,2,2,gaze,fish,3,1,1449183172855,948.6378,136.6713,false
Tim+B,2,2,gaze,fish,3,0,1449183172955,955.4331,139.3748,false
Tim+B,2,2,gaze,fish,3,0,1449183173055,964.3942,144.3361,true
Tim+B,2,2,gaze,fish,3,0,1449183173155,969.8461,149.2749,true
Tim+B,2,2,gaze,fish,3,0,1449183173255,972.0221,153.1149,true
Tim+B,2,2,gaze,fish,3,0,1449183173356,977.8264,156.1704,true
Tim+B,2,2,gaze,fish,3,0,1449183173456,984.7065,158.207,true
Tim+B,2,2,gaze,fish,3,0,1449183173556,988.281,157.1145,true
Tim+B,2,2,gaze,fish,3,0,1449183173656,993.1896,158.8693,true
Tim+B,2,2,gaze,fish,3,0,1449183173756,998.1356,159.8537,true
Tim+B,2,2,gaze,fish,3,0,1449183173857,998.7939,161.0191,true
Tim+B,2,2,gaze,fish,3,0,1449183173957,998.4219,161.054,true
Tim+B,2,2,gaze,fish,3,0,1449183174057,998.3725,162.0799,true
Tim+B,2,2,gaze,fish,3,0,1449183174157,998.4942,162.7209,true
Tim+B,2,2,gaze,fish,0,1,1449183174257,340.2363,159.549,false
Tim+B,2,2,gaze,fish,0,0,1449183174358,301.1377,147.4764,false
Tim+B,2,2,gaze,fish,0,0,1449183174458,301.6233,152.3767,true
Tim+B,2,2,gaze,fish,0,0,1449183174559,302.3715,153.1725,true
Tim+B,2,2,gaze,fish,0,0,1449183174659,307.3929,149.1516,true
Tim+B,2,2,gaze,fish,0,0,1449183174759,309.1718,148.2762,true
Tim+B,2,2,gaze,fish,0,0,1449183174859,315.0272,144.9199,true
Tim+B,2,2,gaze,fish,0,0,1449183174959,316.6112,143.2028,true
Tim+B,2,2,gaze,fish,0,0,1449183175060,318.3039,142.2838,true
Tim+B,2,2,gaze,fish,0,0,1449183175159,321.0549,138.6041,true
Tim+B,2,2,gaze,fish,0,0,1449183175259,318.4067,131.1796,true
Tim+B,2,2,gaze,fish,0,0,1449183175358,311.7366,120.4907,true
Tim+B,2,2,gaze,fish,0,0,1449183175459,304.6049,107.6955,true
Tim+B,2,2,gaze,fish,0,0,1449183175559,296.1294,89.855,true
Tim+B,2,2,gaze,fish,0,0,1449183175660,490.3624,98.5648,false
Tim+B,2,2,gaze,fish,3,1,1449183175760,948.9051,133.1059,false
Tim+B,2,2,gaze,fish,3,0,1449183175861,951.0505,130.0686,false
Tim+B,2,2,gaze,fish,3,0,1449183175961,946.5037,133.3709,false
Tim+B,2,2,gaze,fish,3,0,1449183176061,973.5035,129.3006,true
Tim+B,2,2,gaze,fish,3,0,1449183176161,988.0468,131.9329,true
Tim+B,2,2,gaze,fish,3,0,1449183176261,995.0009,132.4472,true
Tim+B,2,2,gaze,fish,3,0,1449183176361,988.4741,131.2451,true
Tim+B,2,2,gaze,fish,3,0,1449183176461,984.0015,129.2556,true
Tim+B,2,2,gaze,fish,3,0,1449183176561,980.9606,129.3557,true
Tim+B,2,2,gaze,fish,3,0,1449183176661,979.8901,130.0061,true
Tim+B,2,2,gaze,fish,3,0,1449183176761,982.387,129.5023,true
Tim+B,2,2,gaze,fish,3,0,1449183176862,984.5704,129.8205,true
Tim+B,2,2,gaze,fish,3,0,1449183176961,981.8222,130.3125,true
Tim+B,2,2,gaze,fish,3,0,1449183177061,977.6187,130.0591,true
Tim+B,2,2,gaze,fish,3,0,1449183177161,975.8488,129.9353,true
Tim+B,2,2,gaze,fish,3,0,1449183177261,973.6289,131.9307,true
Tim+B,2,2,gaze,fish,6,1,1449183177361,1590.4091,137.3394,false
Tim+B,2,2,gaze,fish,6,0,1449183177461,1593.9731,144.5247,false
Tim+B,2,2,gaze,fish,6,0,1449183177562,1602.1929,152.9809,false
Tim+B,2,2,gaze,fish,6,0,1449183177663,1633.6837,138.4141,false
Tim+B,2,2,gaze,fish,6,0,1449183177763,1649.5945,134.431,true
Tim+B,2,2,gaze,fish,-1,0,1449183177862,1802.6776,347.2175,false
Tim+B,2,2,gaze,fish,-1,0,1449183177962,0,0,false
Tim+B,2,2,gaze,fish,6,1,1449183178063,1675.2771,161.102,false
Tim+B,2,2,gaze,fish,6,0,1449183178162,1690.6704,139.421,false
Tim+B,2,2,gaze,fish,6,0,1449183178263,1676.2466,137.2617,false
Tim+B,2,2,gaze,fish,6,0,1449183178363,1683.9204,135.6248,true
Tim+B,2,2,gaze,fish,6,0,1449183178463,1686.839,135.9068,true
Tim+B,2,2,gaze,fish,6,0,1449183178562,1688.0715,135.3741,true
Tim+B,2,2,gaze,fish,7,1,1449183178662,1691.2908,570.4375,false
Tim+B,2,2,gaze,fish,7,0,1449183178763,1693.3411,557.9622,false
Tim+B,2,2,gaze,fish,7,0,1449183178863,1699.9463,541.1317,true
Tim+B,2,2,gaze,fish,7,0,1449183178963,1703.6384,533.4549,true
Tim+B,2,2,gaze,fish,7,0,1449183179063,1708.7499,528.7241,true
Tim+B,2,2,gaze,fish,7,0,1449183179163,1713.8505,526.3015,true
Tim+B,2,2,gaze,fish,7,0,1449183179263,1718.546,522.8378,true
Tim+B,2,2,gaze,fish,7,0,1449183179363,1721.6606,519.6403,true
Tim+B,2,2,gaze,fish,7,0,1449183179464,1724.6259,515.6979,true
Tim+B,2,2,gaze,fish,4,1,1449183179564,1059.5957,497.0526,false
Tim+B,2,2,gaze,fish,4,0,1449183179664,1043.0216,501.2515,false
Tim+B,2,2,gaze,fish,4,0,1449183179765,1041.1294,494.1132,false
Tim+B,2,2,gaze,fish,4,0,1449183179865,1012.3644,487.2996,false
Tim+B,2,2,gaze,fish,4,0,1449183179965,1004.4256,485.919,true
Tim+B,2,2,gaze,fish,4,0,1449183180065,1004.3785,487.5264,true
