
participant,condition,block,input,stimulus,region,triggered,timestamp,X,Y,Fixation
Tim+B,2,3,mouse,mushrooms,-1,0,1449183338290,0,0,
Tim+B,2,3,mouse,mushrooms,-1,0,1449183338389,0,0,
Tim+B,2,3,mouse,mushrooms,-1,0,1449183338488,0,0,
Tim+B,2,3,mouse,mushrooms,-1,0,1449183338589,0,0,
Tim+B,2,3,mouse,mushrooms,-1,0,1449183338689,0,0,
Tim+B,2,3,mouse,mushrooms,-1,0,1449183338789,0,0,
Tim+B,2,3,mouse,mushrooms,-1,0,1449183338889,0,0,
Tim+B,2,3,mouse,mushrooms,-1,0,1449183338989,0,0,
Tim+B,2,3,mouse,mushrooms,-1,0,1449183339090,0,0,
Tim+B,2,3,mouse,mushrooms,-1,0,1449183339190,0,0,
Tim+B,2,3,mouse,mushrooms,-1,0,1449183339289,0,0,
Tim+B,2,3,mouse,mushrooms,-1,0,1449183339390,0,0,
Tim+B,2,3,mouse,mushrooms,-1,0,1449183339490,167,45,
Tim+B,2,3,mouse,mushrooms,-1,0,1449183339590,220,66,
Tim+B,2,3,mouse,mushrooms,-1,0,1449183339691,267,101,
Tim+B,2,3,mouse,mushrooms,0,1,1449183339791,321,143,
Tim+B,2,3,mouse,mushrooms,0,0,1449183339890,332,162,
Tim+B,2,3,mouse,mushrooms,0,0,1449183339992,342,176,
Tim+B,2,3,mouse,mushrooms,0,0,1449183340091,342,176,
Tim+B,2,3,mouse,mushrooms,0,0,1449183340192,342,176,
Tim+B,2,3,mouse,mushrooms,0,0,1449183340292,342,176,
Tim+B,2,3,mouse,mushrooms,0,0,1449183340392,342,176,
Tim+B,2,3,mouse,mushrooms,0,0,1449183340492,343,176,
Tim+B,2,3,mouse,mushrooms,0,0,1449183340593,344,176,
Tim+B,2,3,mouse,mushrooms,0,0,1449183340693,344,176,
Tim+B,2,3,mouse,mushrooms,0,0,1449183340792,344,176,
Tim+B,2,3,mouse,mushrooms,0,0,1449183340892,347,174,
Tim+B,2,3,mouse,mushrooms,0,0,1449183340993,350,173,
Tim+B,2,3,mouse,mushrooms,0,0,1449183341093,350,173,
Tim+B,2,3,mouse,mushrooms,0,0,1449183341193,350,173,
Tim+B,2,3,mouse,mushrooms,0,0,1449183341293,350,173,
Tim+B,2,3,mouse,mushrooms,0,0,1449183341393,345,173,
Tim+B,2,3,mouse,mushrooms,0,0,1449183341493,345,173,
Tim+B,2,3,mouse,mushrooms,-1,0,1449183341593,416,148,
Tim+B,2,3,mouse,mushrooms,-1,0,1449183341692,755,58,
Tim+B,2,3,mouse,mushrooms,-1,0,1449183341793,817,46,
Tim+B,2,3,mouse,mushrooms,-1,0,1449183341894,818,46,
Tim+B,2,3,mouse,mushrooms,-1,0,1449183341994,902,94,
Tim+B,2,3,mouse,mushrooms,-1,0,1449183342095,907,99,
Tim+B,2,3,mouse,mushrooms,3,1,1449183342195,914,119,
Tim+B,2,3,mouse,mushrooms,3,0,1449183342294,923,131,
Tim+B,2,3,mouse,mushrooms,3,0,1449183342395,928,137,
Tim+B,2,3,mouse,mushrooms,3,0,1449183342494,928,137,
Tim+B,2,3,mouse,mushrooms,3,0,1449183342595,928,137,
Tim+B,2,3,mouse,mushrooms,3,0,1449183342695,928,137,
Tim+B,2,3,mouse,mushrooms,3,0,1449183342794,928,137,
Tim+B,2,3,mouse,mushrooms,3,0,1449183342894,928,137,
