
participant,condition,block,input,stimulus,region,triggered,timestamp,X,Y,Fixation
Tim+B,2,4,gaze,viruses,-1,0,1449183489182,763.4627,287.297,false
Tim+B,2,4,gaze,viruses,-1,0,1449183489281,764.4368,284.9535,true
Tim+B,2,4,gaze,viruses,-1,0,1449183489381,764.4709,286.7973,true
Tim+B,2,4,gaze,viruses,3,1,1449183489482,967.4127,217.8789,false
Tim+B,2,4,gaze,viruses,3,0,1449183489581,868.2766,197.5928,false
Tim+B,2,4,gaze,viruses,0,1,1449183489682,271.3245,189.1878,false
Tim+B,2,4,gaze,viruses,0,0,1449183489782,269.9669,191.893,false
Tim+B,2,4,gaze,viruses,0,0,1449183489882,273.5378,182.9081,true
Tim+B,2,4,gaze,viruses,0,0,1449183489981,274.1036,181.371,true
Tim+B,2,4,gaze,viruses,0,0,1449183490082,276.7255,176.703,true
Tim+B,2,4,gaze,viruses,0,0,1449183490181,278.3136,171.5066,true
Tim+B,2,4,gaze,viruses,0,0,1449183490282,279.7686,167.666,true
Tim+B,2,4,gaze,viruses,0,0,1449183490382,281.6779,165.3066,true
Tim+B,2,4,gaze,viruses,0,0,1449183490482,281.4171,166.7023,true
Tim+B,2,4,gaze,viruses,0,0,1449183490582,281.1323,167.3208,true
Tim+B,2,4,gaze,viruses,0,0,1449183490682,280.7657,167.7687,true
Tim+B,2,4,gaze,viruses,0,0,1449183490783,279.2307,166.479,true
Tim+B,2,4,gaze,viruses,0,0,1449183490882,279.2215,164.4955,true
Tim+B,2,4,gaze,viruses,0,0,1449183490982,278.1204,163.1598,true
Tim+B,2,4,gaze,viruses,0,0,1449183491082,275.9073,161.2483,true
Tim+B,2,4,gaze,viruses,0,0,1449183491183,272.9876,159.7227,true
Tim+B,2,4,gaze,viruses,0,0,1449183491282,273.9395,155.8649,true
Tim+B,2,4,gaze,viruses,0,0,1449183491383,275.3966,152.8165,true
Tim+B,2,4,gaze,viruses,0,0,1449183491482,274.731,150.5363,true
Tim+B,2,4,gaze,viruses,0,0,1449183491583,275.8581,150.9059,true
Tim+B,2,4,gaze,viruses,1,1,1449183491683,288.8602,373.9149,false
Tim+B,2,4,gaze,viruses,1,0,1449183491784,309.5811,473.8076,false
Tim+B,2,4,gaze,viruses,1,0,1449183491884,309.0555,476.7297,true
