
participant,condition,block,input,stimulus,region,triggered,timestamp,X,Y,Fixation
Tim+B,2,0,gaze,training,4,1,1449182776050,859.6317,281.4839,false
Tim+B,2,0,gaze,training,-1,0,1449182776149,770.8697,309.2527,false
Tim+B,2,0,gaze,training,-1,0,1449182776249,782.6292,310.2805,false
Tim+B,2,0,gaze,training,4,1,1449182776350,950.5883,290.5973,false
Tim+B,2,0,gaze,training,4,0,1449182776449,954.6638,282.9895,false
Tim+B,2,0,gaze,training,4,0,1449182776549,954.1841,285.0084,true
Tim+B,2,0,gaze,training,4,0,1449182776650,951.694,283.4236,true
Tim+B,2,0,gaze,training,4,0,1449182776750,949.7772,277.2407,true
Tim+B,2,0,gaze,training,4,0,1449182776851,970.3307,513.1119,false
Tim+B,2,0,gaze,training,4,0,1449182776950,969.6616,492.7583,false
Tim+B,2,0,gaze,training,4,0,1449182777050,962.0552,491.8548,true
Tim+B,2,0,gaze,training,4,0,1449182777151,943.4386,253.3987,false
Tim+B,2,0,gaze,training,4,0,1449182777251,954.1753,253.7056,false
Tim+B,2,0,gaze,training,4,0,1449182777352,953.25,254.6855,true
Tim+B,2,0,gaze,training,4,0,1449182777452,952.1323,257.2526,true
Tim+B,2,0,gaze,training,4,0,1449182777552,949.4625,256.3945,true
Tim+B,2,0,gaze,training,4,0,1449182777652,949.5374,253.87,true
Tim+B,2,0,gaze,training,1,1,1449182777753,335.6122,269.9059,false
Tim+B,2,0,gaze,training,1,0,1449182777853,328.1175,254.9613,false
Tim+B,2,0,gaze,training,1,0,1449182777953,321.0729,248.8593,false
Tim+B,2,0,gaze,training,1,0,1449182778054,318.1845,247.0792,false
Tim+B,2,0,gaze,training,1,0,1449182778154,317.5307,250.1839,true
Tim+B,2,0,gaze,training,1,0,1449182778253,315.6804,256.2881,true
Tim+B,2,0,gaze,training,1,0,1449182778354,315.502,254.222,true
Tim+B,2,0,gaze,training,1,0,1449182778454,313.9449,251.8732,true
Tim+B,2,0,gaze,training,1,0,1449182778554,314.167,251.951,true
Tim+B,2,0,gaze,training,1,0,1449182778653,315.118,253.4974,true
Tim+B,2,0,gaze,training,1,0,1449182778754,315.3771,253.9783,true
Tim+B,2,0,gaze,training,1,0,1449182778854,315.3971,253.8091,true
Tim+B,2,0,gaze,training,1,0,1449182778955,314.577,253.2398,true
Tim+B,2,0,gaze,training,1,0,1449182779056,315.4371,250.7751,true
Tim+B,2,0,gaze,training,1,0,1449182779156,315.3011,249.6164,true
Tim+B,2,0,gaze,training,1,0,1449182779256,291.3721,385.6233,false
Tim+B,2,0,gaze,training,1,0,1449182779356,318.3285,530.3276,false
Tim+B,2,0,gaze,training,1,0,1449182779455,339.234,524.5527,false
Tim+B,2,0,gaze,training,2,1,1449182779557,305.3825,757.408,false
Tim+B,2,0,gaze,training,2,0,1449182779655,308.9583,775.2113,false
Tim+B,2,0,gaze,training,2,0,1449182779756,303.1235,808.7164,false
Tim+B,2,0,gaze,training,2,0,1449182779855,302.779,785.9836,true
Tim+B,2,0,gaze,training,2,0,1449182779955,305.4328,787.7171,true
Tim+B,2,0,gaze,training,2,0,1449182780056,306.7236,789.9435,true
Tim+B,2,0,gaze,training,2,0,1449182780156,309.2911,792.449,true
Tim+B,2,0,gaze,training,2,0,1449182780256,307.0219,796.3922,true
Tim+B,2,0,gaze,training,2,0,1449182780356,305.1555,797.4288,true
Tim+B,2,0,gaze,training,2,0,1449182780456,303.8551,799.2261,true
Tim+B,2,0,gaze,training,2,0,1449182780556,303.5605,801.9535,true
Tim+B,2,0,gaze,training,5,1,1449182780657,886.1176,807.0386,false
Tim+B,2,0,gaze,training,5,0,1449182780757,947.1879,815.4786,false
Tim+B,2,0,gaze,training,5,0,1449182780857,950.3811,829.8676,true
Tim+B,2,0,gaze,training,-1,0,1449182780957,0,0,false
Tim+B,2,0,gaze,training,-1,0,1449182781058,1179.6932,1150.0557,false
Tim+B,2,0,gaze,training,5,1,1449182781158,1016.5598,825.9907,false
Tim+B,2,0,gaze,training,5,0,1449182781258,971.1787,807.2247,false
Tim+B,2,0,gaze,training,5,0,1449182781358,989.1072,833.1688,false
Tim+B,2,0,gaze,training,5,0,1449182781459,991.9223,831.6635,true
Tim+B,2,0,gaze,training,5,0,1449182781559,984.6639,822.3826,true
Tim+B,2,0,gaze,training,5,0,1449182781659,980.3566,823.1594,true
Tim+B,2,0,gaze,training,5,0,1449182781759,979.545,815.2536,true
Tim+B,2,0,gaze,training,5,0,1449182781859,975.4886,819.4315,true
Tim+B,2,0,gaze,training,5,0,1449182781959,974.7562,818.6568,true
Tim+B,2,0,gaze,training,5,0,1449182782059,971.2581,817.3637,true
Tim+B,2,0,gaze,training,5,0,1449182782159,969.3898,816.5635,true
Tim+B,2,0,gaze,training,5,0,1449182782259,967.8225,814.869,true
Tim+B,2,0,gaze,training,8,1,1449182782359,1551.5273,839.3005,false
Tim+B,2,0,gaze,training,8,0,1449182782459,1581.715,859.0686,false
Tim+B,2,0,gaze,training,8,0,1449182782559,1578.6022,856.8354,false
Tim+B,2,0,gaze,training,8,0,1449182782659,1576.9858,857.5981,true
Tim+B,2,0,gaze,training,8,0,1449182782760,1585.6013,859.3858,true
Tim+B,2,0,gaze,training,8,0,1449182782860,1591.2006,859.3997,true
Tim+B,2,0,gaze,training,8,0,1449182782960,1595.2821,859.8034,true
Tim+B,2,0,gaze,training,8,0,1449182783060,1599.4167,859.4476,true
Tim+B,2,0,gaze,training,8,0,1449182783159,1603.0812,859.2094,true
Tim+B,2,0,gaze,training,8,0,1449182783260,1604.1726,859.5793,true
Tim+B,2,0,gaze,training,8,0,1449182783360,1608.0762,859.3286,true
Tim+B,2,0,gaze,training,-1,0,1449182783460,1361.962,682.3037,false
Tim+B,2,0,gaze,training,4,1,1449182783560,992.5835,513.2563,false
Tim+B,2,0,gaze,training,4,0,1449182783661,987.1093,511.2356,false
Tim+B,2,0,gaze,training,4,0,1449182783760,989.5496,515.3511,false
Tim+B,2,0,gaze,training,4,0,1449182783860,988.4284,525.806,true
Tim+B,2,0,gaze,training,4,0,1449182783961,980.5587,516.7878,true
Tim+B,2,0,gaze,training,4,0,1449182784061,976.196,505.3727,true
Tim+B,2,0,gaze,training,4,0,1449182784160,971.9998,501.0342,true
Tim+B,2,0,gaze,training,4,0,1449182784261,967.9783,496.1672,true
Tim+B,2,0,gaze,training,4,0,1449182784361,963.3687,492.6387,true
Tim+B,2,0,gaze,training,4,0,1449182784460,960.8915,490.6541,true
Tim+B,2,0,gaze,training,4,0,1449182784560,957.9302,486.1223,true
Tim+B,2,0,gaze,training,4,0,1449182784661,965.323,343.5894,false
Tim+B,2,0,gaze,training,4,0,1449182784762,964.3171,318.5145,false
Tim+B,2,0,gaze,training,4,0,1449182784861,959.8331,296.2528,true
Tim+B,2,0,gaze,training,4,0,1449182784960,957.2235,281.7611,true
Tim+B,2,0,gaze,training,4,0,1449182785061,952.6133,270.8398,true
Tim+B,2,0,gaze,training,4,0,1449182785161,951.3513,265.1887,true
Tim+B,2,0,gaze,training,4,0,1449182785261,949.8956,260.1578,true
Tim+B,2,0,gaze,training,4,0,1449182785361,948.0581,257.9055,true
Tim+B,2,0,gaze,training,4,0,1449182785461,947.5566,253.3984,true
Tim+B,2,0,gaze,training,4,0,1449182785562,947.4692,250.9646,true
Tim+B,2,0,gaze,training,4,0,1449182785661,947.8416,248.6828,true
Tim+B,2,0,gaze,training,3,1,1449182785761,948.1489,231.0186,true
Tim+B,2,0,gaze,training,3,0,1449182785861,947.5891,212.1916,true
Tim+B,2,0,gaze,training,3,0,1449182785961,947.4809,192.9043,true
Tim+B,2,0,gaze,training,3,0,1449182786062,945.4082,182.504,true
Tim+B,2,0,gaze,training,3,0,1449182786162,943.7441,185.7787,true
Tim+B,2,0,gaze,training,3,0,1449182786261,944.0961,193.2484,true
Tim+B,2,0,gaze,training,3,0,1449182786361,943.9023,201.8988,true
Tim+B,2,0,gaze,training,3,0,1449182786461,941.4489,210.3116,true
Tim+B,2,0,gaze,training,3,0,1449182786562,940.1827,219.0285,true
Tim+B,2,0,gaze,training,4,1,1449182786663,970.4805,474.4979,false
Tim+B,2,0,gaze,training,4,0,1449182786763,975.6395,478.8677,false
Tim+B,2,0,gaze,training,4,0,1449182786862,979.0643,484.6394,true
Tim+B,2,0,gaze,training,4,0,1449182786963,976.1387,494.6439,true
Tim+B,2,0,gaze,training,4,0,1449182787063,971.7696,495.2212,true
Tim+B,2,0,gaze,training,4,0,1449182787163,953.6382,290.0894,false
Tim+B,2,0,gaze,training,-1,0,1449182787264,0,0,false
Tim+B,2,0,gaze,training,4,1,1449182787364,990.3916,341.5656,false
