
participant,condition,block,input,stimulus,region,triggered,timestamp,X,Y,Fixation
Tim+B,2,0,mouse,training,-1,0,1449182648709,0,0,
Tim+B,2,0,mouse,training,-1,0,1449182648809,0,0,
Tim+B,2,0,mouse,training,-1,0,1449182648909,0,0,
Tim+B,2,0,mouse,training,-1,0,1449182649009,0,0,
Tim+B,2,0,mouse,training,-1,0,1449182649109,0,0,
Tim+B,2,0,mouse,training,-1,0,1449182649209,0,0,
Tim+B,2,0,mouse,training,-1,0,1449182649309,0,0,
Tim+B,2,0,mouse,training,-1,0,1449182649409,0,0,
Tim+B,2,0,mouse,training,-1,0,1449182649509,0,0,
Tim+B,2,0,mouse,training,-1,0,1449182649610,0,0,
Tim+B,2,0,mouse,training,-1,0,1449182649709,0,0,
Tim+B,2,0,mouse,training,-1,0,1449182649810,0,0,
Tim+B,2,0,mouse,training,-1,0,1449182649909,0,0,
Tim+B,2,0,mouse,training,-1,0,1449182650009,0,0,
Tim+B,2,0,mouse,training,-1,0,1449182650110,0,0,
Tim+B,2,0,mouse,training,-1,0,1449182650210,0,0,
Tim+B,2,0,mouse,training,-1,0,1449182650310,0,0,
Tim+B,2,0,mouse,training,-1,0,1449182650410,0,0,
Tim+B,2,0,mouse,training,-1,0,1449182650510,0,0,
Tim+B,2,0,mouse,training,-1,0,1449182650610,0,0,
Tim+B,2,0,mouse,training,-1,0,1449182650711,0,0,
Tim+B,2,0,mouse,training,-1,0,1449182650810,0,0,
Tim+B,2,0,mouse,training,-1,0,1449182650911,0,0,
Tim+B,2,0,mouse,training,-1,0,1449182651011,0,0,
Tim+B,2,0,mouse,training,-1,0,1449182651111,0,0,
Tim+B,2,0,mouse,training,-1,0,1449182651210,0,0,
Tim+B,2,0,mouse,training,-1,0,1449182651311,0,0,
Tim+B,2,0,mouse,training,-1,0,1449182651411,643,550,
Tim+B,2,0,mouse,training,-1,0,1449182651511,565,494,
Tim+B,2,0,mouse,training,-1,0,1449182651612,446,381,
Tim+B,2,0,mouse,training,-1,0,1449182651711,236,43,
Tim+B,2,0,mouse,training,-1,0,1449182651811,236,43,
Tim+B,2,0,mouse,training,-1,0,1449182651912,61,18,
Tim+B,2,0,mouse,training,-1,0,1449182652013,150,81,
Tim+B,2,0,mouse,training,-1,0,1449182652112,175,169,
Tim+B,2,0,mouse,training,-1,0,1449182652214,228,175,
Tim+B,2,0,mouse,training,0,1,1449182652313,278,193,
Tim+B,2,0,mouse,training,0,0,1449182652414,317,196,
Tim+B,2,0,mouse,training,0,0,1449182652513,321,194,
Tim+B,2,0,mouse,training,0,0,1449182652614,321,187,
Tim+B,2,0,mouse,training,0,0,1449182652714,321,187,
Tim+B,2,0,mouse,training,0,0,1449182652814,321,187,
Tim+B,2,0,mouse,training,0,0,1449182652914,321,187,
Tim+B,2,0,mouse,training,0,0,1449182653014,321,187,
Tim+B,2,0,mouse,training,0,0,1449182653115,321,187,
Tim+B,2,0,mouse,training,0,0,1449182653214,321,187,
