
participant,condition,block,input,stimulus,region,triggered,timestamp,X,Y,Fixation
Tricia,2,0,gaze,training,4,1,1449086440109,1256.9196,678.8138,false
Tricia,2,0,gaze,training,4,0,1449086440209,1245.7672,654.8269,false
Tricia,2,0,gaze,training,4,0,1449086440310,1239.8188,655.7541,true
Tricia,2,0,gaze,training,-1,0,1449086440410,665.344,512.5512,false
Tricia,2,0,gaze,training,-1,0,1449086440509,0,0,false
Tricia,2,0,gaze,training,-1,0,1449086440610,581.4497,418.4903,false
Tricia,2,0,gaze,training,0,1,1449086440708,525.6511,342.6052,false
Tricia,2,0,gaze,training,-1,0,1449086440809,1028.2125,589.046,false
Tricia,2,0,gaze,training,4,1,1449086440910,1222.0629,696.4449,false
Tricia,2,0,gaze,training,-1,0,1449086441010,894.6539,500.1602,false
Tricia,2,0,gaze,training,0,1,1449086441108,450.3811,307.9641,false
Tricia,2,0,gaze,training,0,0,1449086441211,474.6037,310.4206,false
Tricia,2,0,gaze,training,0,0,1449086441310,474.686,310.9183,false
Tricia,2,0,gaze,training,0,0,1449086441410,477.2019,309.6043,true
Tricia,2,0,gaze,training,0,0,1449086441512,479.0865,310.5336,true
Tricia,2,0,gaze,training,0,0,1449086441610,480.9647,310.4267,true
Tricia,2,0,gaze,training,3,1,1449086441711,1238.4595,268.7738,false
Tricia,2,0,gaze,training,3,0,1449086441809,1247.7538,286.6155,false
Tricia,2,0,gaze,training,3,0,1449086441912,1250.5315,298.9654,false
Tricia,2,0,gaze,training,3,0,1449086442009,1255.9454,291.4601,false
Tricia,2,0,gaze,training,3,0,1449086442110,1296.8434,299.6895,true
Tricia,2,0,gaze,training,3,0,1449086442208,1335.6475,308.4956,true
Tricia,2,0,gaze,training,3,0,1449086442310,1355.8279,313.5862,true
Tricia,2,0,gaze,training,7,1,1449086442410,1960.9714,571.4377,false
Tricia,2,0,gaze,training,7,0,1449086442509,1984.3885,566.2374,false
Tricia,2,0,gaze,training,7,0,1449086442611,2002.0813,568.076,true
Tricia,2,0,gaze,training,-1,0,1449086442710,1968.9014,875.1403,false
Tricia,2,0,gaze,training,-1,0,1449086442808,1984.4727,884.6219,false
Tricia,2,0,gaze,training,-1,0,1449086442910,1982.3862,887.6738,false
Tricia,2,0,gaze,training,-1,0,1449086443010,1981.5934,890.4672,true
Tricia,2,0,gaze,training,-1,0,1449086443111,1979.1632,893.8409,true
Tricia,2,0,gaze,training,-1,0,1449086443209,1975.514,896.4056,true
Tricia,2,0,gaze,training,4,1,1449086443310,1223.0699,743.5494,false
Tricia,2,0,gaze,training,-1,0,1449086443409,979.9792,701.7435,false
Tricia,2,0,gaze,training,-1,0,1449086443508,969.6807,698.9014,false
Tricia,2,0,gaze,training,4,1,1449086443609,1250.4058,732.8702,false
Tricia,2,0,gaze,training,4,0,1449086443712,1266.7695,736.283,false
Tricia,2,0,gaze,training,4,0,1449086443809,1286.6566,739.614,false
Tricia,2,0,gaze,training,4,0,1449086443910,1282.6429,731.742,false
Tricia,2,0,gaze,training,4,0,1449086444009,1291.0336,726.1147,true
Tricia,2,0,gaze,training,7,1,1449086444108,2031.6271,529.1859,false
Tricia,2,0,gaze,training,7,0,1449086444208,2030.3345,547.5291,false
Tricia,2,0,gaze,training,7,0,1449086444311,2033.017,552.6957,true
Tricia,2,0,gaze,training,7,0,1449086444409,2035.2687,559.4148,true
Tricia,2,0,gaze,training,7,0,1449086444508,2037.3228,561.1761,true
Tricia,2,0,gaze,training,7,0,1449086444610,2037.6674,561.9989,true
Tricia,2,0,gaze,training,7,0,1449086444709,2038.2156,560.9412,true
Tricia,2,0,gaze,training,7,0,1449086444808,2039.2198,558.8526,true
Tricia,2,0,gaze,training,7,0,1449086444910,2039.8859,558.4904,true
Tricia,2,0,gaze,training,7,0,1449086445009,2038.6565,556.2089,true
Tricia,2,0,gaze,training,7,0,1449086445109,2038.5959,556.1989,true
Tricia,2,0,gaze,training,7,0,1449086445208,2038.2638,558.751,true
Tricia,2,0,gaze,training,7,0,1449086445310,2038.1802,560.295,true
Tricia,2,0,gaze,training,7,0,1449086445410,2036.5236,561.5896,true
Tricia,2,0,gaze,training,7,0,1449086445508,2035.1147,563.9385,true
Tricia,2,0,gaze,training,7,0,1449086445610,2033.984,565.0643,true
Tricia,2,0,gaze,training,7,0,1449086445710,2033.6622,567.9676,true
Tricia,2,0,gaze,training,7,0,1449086445809,2032.9987,568.9192,true
Tricia,2,0,gaze,training,7,0,1449086445909,2033.62,573.4817,true
Tricia,2,0,gaze,training,7,0,1449086446009,2034.8635,572.4213,true
Tricia,2,0,gaze,training,7,0,1449086446109,2036.0248,570.9122,true
Tricia,2,0,gaze,training,7,0,1449086446208,2036.0393,580.6129,true
Tricia,2,0,gaze,training,7,0,1449086446311,2026.9052,582.0223,true
Tricia,2,0,gaze,training,-1,0,1449086446409,1714.9535,1221.3732,false
Tricia,2,0,gaze,training,-1,0,1449086446507,1827.5746,908.1176,false
Tricia,2,0,gaze,training,7,1,1449086446609,1987.5236,622.0155,false
Tricia,2,0,gaze,training,7,0,1449086446709,2094.2332,554.5225,false
Tricia,2,0,gaze,training,7,0,1449086446808,2081.2673,591.5879,true
Tricia,2,0,gaze,training,-1,0,1449086446909,0,0,false
Tricia,2,0,gaze,training,-1,0,1449086447009,0,0,false
Tricia,2,0,gaze,training,3,1,1449086447107,1360.2861,229.3727,false
Tricia,2,0,gaze,training,3,0,1449086447210,1286.6953,180.3581,false
Tricia,2,0,gaze,training,3,0,1449086447311,1310.9958,196.5904,false
Tricia,2,0,gaze,training,-1,0,1449086447411,1511.9418,557.0683,false
Tricia,2,0,gaze,training,-1,0,1449086447508,809.8132,412.0957,false
Tricia,2,0,gaze,training,-1,0,1449086447609,971.7927,338.8572,false
Tricia,2,0,gaze,training,-1,0,1449086447710,555.6218,-77.8407,false
Tricia,2,0,gaze,training,-1,0,1449086447807,0,0,false
Tricia,2,0,gaze,training,-1,0,1449086447909,1515.8923,162.0546,false
Tricia,2,0,gaze,training,-1,0,1449086448011,0,0,false
Tricia,2,0,gaze,training,-1,0,1449086448109,0,0,false
Tricia,2,0,gaze,training,-1,0,1449086448207,1496.2572,110.5735,false
Tricia,2,0,gaze,training,-1,0,1449086448309,0,0,false
Tricia,2,0,gaze,training,-1,0,1449086448408,0,0,false
Tricia,2,0,gaze,training,-1,0,1449086448508,0,0,false
