
participant,condition,block,input,stimulus,region,triggered,timestamp,X,Y,Fixation
Tricia,2,1,mouse,flags,-1,0,1449086517097,0,0,
Tricia,2,1,mouse,flags,-1,0,1449086517195,0,0,
Tricia,2,1,mouse,flags,-1,0,1449086517295,0,0,
Tricia,2,1,mouse,flags,-1,0,1449086517396,0,0,
Tricia,2,1,mouse,flags,-1,0,1449086517497,0,0,
Tricia,2,1,mouse,flags,-1,0,1449086517595,0,0,
Tricia,2,1,mouse,flags,-1,0,1449086517698,0,0,
Tricia,2,1,mouse,flags,-1,0,1449086517796,0,0,
Tricia,2,1,mouse,flags,-1,0,1449086517897,0,0,
Tricia,2,1,mouse,flags,-1,0,1449086517995,0,0,
Tricia,2,1,mouse,flags,-1,0,1449086518094,0,0,
Tricia,2,1,mouse,flags,-1,0,1449086518194,1587,633,
Tricia,2,1,mouse,flags,-1,0,1449086518294,1578,610,
Tricia,2,1,mouse,flags,-1,0,1449086518394,1567,594,
Tricia,2,1,mouse,flags,-1,0,1449086518494,1457,537,
Tricia,2,1,mouse,flags,-1,0,1449086518594,1315,497,
Tricia,2,1,mouse,flags,-1,0,1449086518696,1139,471,
Tricia,2,1,mouse,flags,-1,0,1449086518795,719,350,
Tricia,2,1,mouse,flags,0,1,1449086518896,379,236,
Tricia,2,1,mouse,flags,-1,0,1449086518994,309,214,
Tricia,2,1,mouse,flags,-1,0,1449086519094,345,221,
Tricia,2,1,mouse,flags,-1,0,1449086519198,360,223,
Tricia,2,1,mouse,flags,-1,0,1449086519297,360,223,
Tricia,2,1,mouse,flags,-1,0,1449086519399,360,223,
Tricia,2,1,mouse,flags,-1,0,1449086519497,360,223,
Tricia,2,1,mouse,flags,0,1,1449086519596,391,223,
Tricia,2,1,mouse,flags,0,0,1449086519697,450,224,
Tricia,2,1,mouse,flags,0,0,1449086519797,450,224,
Tricia,2,1,mouse,flags,0,0,1449086519895,450,224,
Tricia,2,1,mouse,flags,0,0,1449086519999,450,224,
Tricia,2,1,mouse,flags,0,0,1449086520096,450,224,
Tricia,2,1,mouse,flags,-1,0,1449086520194,817,264,
Tricia,2,1,mouse,flags,-1,0,1449086520294,1526,287,
Tricia,2,1,mouse,flags,-1,0,1449086520395,1572,287,
Tricia,2,1,mouse,flags,-1,0,1449086520493,1565,284,
Tricia,2,1,mouse,flags,-1,0,1449086520594,1445,265,
Tricia,2,1,mouse,flags,-1,0,1449086520695,1440,265,
Tricia,2,1,mouse,flags,-1,0,1449086520794,1434,265,
Tricia,2,1,mouse,flags,-1,0,1449086520895,1354,261,
Tricia,2,1,mouse,flags,-1,0,1449086520997,1354,261,
Tricia,2,1,mouse,flags,-1,0,1449086521097,1354,261,
Tricia,2,1,mouse,flags,-1,0,1449086521194,1354,261,
Tricia,2,1,mouse,flags,-1,0,1449086521294,1345,261,
Tricia,2,1,mouse,flags,3,1,1449086521396,1283,261,
Tricia,2,1,mouse,flags,3,0,1449086521497,1283,261,
Tricia,2,1,mouse,flags,3,0,1449086521596,1251,261,
Tricia,2,1,mouse,flags,3,0,1449086521698,1250,261,
Tricia,2,1,mouse,flags,3,0,1449086521798,1250,261,
Tricia,2,1,mouse,flags,3,0,1449086521895,1250,261,
Tricia,2,1,mouse,flags,3,0,1449086521998,1250,261,
Tricia,2,1,mouse,flags,3,0,1449086522094,1250,261,
Tricia,2,1,mouse,flags,3,0,1449086522194,1250,261,
Tricia,2,1,mouse,flags,3,0,1449086522297,1250,261,
Tricia,2,1,mouse,flags,3,0,1449086522394,1274,261,
Tricia,2,1,mouse,flags,-1,0,1449086522495,1619,267,
Tricia,2,1,mouse,flags,-1,0,1449086522593,1902,269,
Tricia,2,1,mouse,flags,-1,0,1449086522694,2008,269,
Tricia,2,1,mouse,flags,-1,0,1449086522795,2065,269,
Tricia,2,1,mouse,flags,-1,0,1449086522894,2065,269,
Tricia,2,1,mouse,flags,-1,0,1449086522994,2065,269,
Tricia,2,1,mouse,flags,-1,0,1449086523094,2065,269,
Tricia,2,1,mouse,flags,-1,0,1449086523193,2076,268,
Tricia,2,1,mouse,flags,6,1,1449086523294,2096,267,
Tricia,2,1,mouse,flags,6,0,1449086523394,2096,267,
Tricia,2,1,mouse,flags,6,0,1449086523494,2104,266,
Tricia,2,1,mouse,flags,6,0,1449086523597,2107,266,
Tricia,2,1,mouse,flags,6,0,1449086523694,2107,266,
Tricia,2,1,mouse,flags,6,0,1449086523794,2107,266,
Tricia,2,1,mouse,flags,6,0,1449086523894,2107,266,
Tricia,2,1,mouse,flags,6,0,1449086523997,2107,266,
Tricia,2,1,mouse,flags,6,0,1449086524094,2107,285,
Tricia,2,1,mouse,flags,-1,0,1449086524194,2123,458,
Tricia,2,1,mouse,flags,7,1,1449086524294,2125,669,
Tricia,2,1,mouse,flags,7,0,1449086524394,2138,734,
Tricia,2,1,mouse,flags,7,0,1449086524495,2139,751,
Tricia,2,1,mouse,flags,7,0,1449086524594,2139,751,
Tricia,2,1,mouse,flags,7,0,1449086524694,2139,751,
Tricia,2,1,mouse,flags,7,0,1449086524796,2139,751,
Tricia,2,1,mouse,flags,7,0,1449086524894,2139,751,
Tricia,2,1,mouse,flags,7,0,1449086524994,2139,751,
Tricia,2,1,mouse,flags,7,0,1449086525094,2139,751,
Tricia,2,1,mouse,flags,7,0,1449086525196,2139,751,
Tricia,2,1,mouse,flags,7,0,1449086525294,2139,751,
Tricia,2,1,mouse,flags,-1,0,1449086525394,1764,733,
Tricia,2,1,mouse,flags,-1,0,1449086525494,1214,665,
Tricia,2,1,mouse,flags,-1,0,1449086525594,1186,662,
Tricia,2,1,mouse,flags,-1,0,1449086525694,1181,662,
Tricia,2,1,mouse,flags,-1,0,1449086525793,1185,662,
Tricia,2,1,mouse,flags,-1,0,1449086525893,1195,663,
Tricia,2,1,mouse,flags,-1,0,1449086525994,1223,664,
Tricia,2,1,mouse,flags,-1,0,1449086526094,1226,665,
Tricia,2,1,mouse,flags,4,1,1449086526196,1232,682,
Tricia,2,1,mouse,flags,4,0,1449086526294,1236,690,
Tricia,2,1,mouse,flags,4,0,1449086526398,1236,692,
Tricia,2,1,mouse,flags,4,0,1449086526494,1236,692,
Tricia,2,1,mouse,flags,4,0,1449086526594,1236,692,
Tricia,2,1,mouse,flags,4,0,1449086526694,1236,692,
Tricia,2,1,mouse,flags,4,0,1449086526796,1236,692,
Tricia,2,1,mouse,flags,4,0,1449086526898,1227,691,
Tricia,2,1,mouse,flags,-1,0,1449086526994,1184,690,
Tricia,2,1,mouse,flags,-1,0,1449086527094,646,659,
Tricia,2,1,mouse,flags,-1,0,1449086527193,520,652,
Tricia,2,1,mouse,flags,-1,0,1449086527294,474,653,
Tricia,2,1,mouse,flags,-1,0,1449086527394,473,653,
