
participant,condition,block,input,stimulus,region,triggered,timestamp,X,Y,Fixation
Tricia,2,2,gaze,fish,-1,0,1449086607989,0,0,
Tricia,2,2,gaze,fish,-1,0,1449086608088,0,0,
Tricia,2,2,gaze,fish,-1,0,1449086608189,0,0,
Tricia,2,2,gaze,fish,-1,0,1449086608288,0,0,
Tricia,2,2,gaze,fish,-1,0,1449086608389,0,0,
Tricia,2,2,gaze,fish,-1,0,1449086608487,0,0,
Tricia,2,2,gaze,fish,-1,0,1449086608590,0,0,false
Tricia,2,2,gaze,fish,0,1,1449086608687,522.3663,300.6449,false
Tricia,2,2,gaze,fish,0,0,1449086608788,532.9022,307.0553,false
Tricia,2,2,gaze,fish,4,1,1449086608888,1316.146,726.5671,false
Tricia,2,2,gaze,fish,4,0,1449086608989,1306.5487,745.5219,false
Tricia,2,2,gaze,fish,4,0,1449086609090,1309.3174,752.7664,false
Tricia,2,2,gaze,fish,4,0,1449086609188,1280.3655,730.3253,true
Tricia,2,2,gaze,fish,4,0,1449086609287,1267.3562,711.5559,true
Tricia,2,2,gaze,fish,4,0,1449086609388,1274.3826,711.0974,true
Tricia,2,2,gaze,fish,4,0,1449086609489,1284.2634,711.6749,true
Tricia,2,2,gaze,fish,4,0,1449086609587,1294.0142,709.199,true
Tricia,2,2,gaze,fish,4,0,1449086609687,1304.9528,711.5753,true
Tricia,2,2,gaze,fish,4,0,1449086609788,1311.783,715.2038,true
Tricia,2,2,gaze,fish,4,0,1449086609887,1320.0566,717.0453,true
Tricia,2,2,gaze,fish,4,0,1449086609987,1326.8965,717.3807,true
Tricia,2,2,gaze,fish,4,0,1449086610087,1332.2527,719.8721,true
Tricia,2,2,gaze,fish,4,0,1449086610187,1339.5488,726.1723,true
Tricia,2,2,gaze,fish,4,0,1449086610287,1340.8616,730.5911,true
Tricia,2,2,gaze,fish,4,0,1449086610388,1340.884,731.5745,true
Tricia,2,2,gaze,fish,0,1,1449086610488,554.4025,274.7296,false
Tricia,2,2,gaze,fish,0,0,1449086610588,510.0537,276.5172,false
Tricia,2,2,gaze,fish,0,0,1449086610689,478.2062,282.7277,false
Tricia,2,2,gaze,fish,0,0,1449086610787,507.7529,284.4525,false
Tricia,2,2,gaze,fish,0,0,1449086610888,530.0031,286.3501,true
Tricia,2,2,gaze,fish,0,0,1449086610987,537.9708,287.4684,true
Tricia,2,2,gaze,fish,0,0,1449086611087,541.707,286.4919,true
Tricia,2,2,gaze,fish,0,0,1449086611187,547.6825,284.9903,true
Tricia,2,2,gaze,fish,0,0,1449086611288,553.0389,284.5019,true
Tricia,2,2,gaze,fish,3,1,1449086611387,1335.2454,301.746,false
Tricia,2,2,gaze,fish,3,0,1449086611487,1327.7545,303.436,false
Tricia,2,2,gaze,fish,3,0,1449086611588,1328.4536,302.8039,true
Tricia,2,2,gaze,fish,3,0,1449086611687,1331.1415,309.6035,true
Tricia,2,2,gaze,fish,3,0,1449086611788,1332.0405,311.7799,true
Tricia,2,2,gaze,fish,3,0,1449086611888,1335.5331,313.7643,true
Tricia,2,2,gaze,fish,3,0,1449086611988,1338.7507,316.2768,true
Tricia,2,2,gaze,fish,-1,0,1449086612088,1847.6017,503.8403,false
Tricia,2,2,gaze,fish,7,1,1449086612188,1999.9257,540.9196,false
Tricia,2,2,gaze,fish,7,0,1449086612289,2020.7581,545.7075,true
Tricia,2,2,gaze,fish,7,0,1449086612387,2040.3737,549.2656,true
Tricia,2,2,gaze,fish,7,0,1449086612487,2050.4087,551.0903,true
Tricia,2,2,gaze,fish,7,0,1449086612588,2103.1724,727.4501,false
Tricia,2,2,gaze,fish,7,0,1449086612687,2060.7302,858.2789,false
Tricia,2,2,gaze,fish,7,0,1449086612787,2041.4181,859.6249,false
Tricia,2,2,gaze,fish,-1,0,1449086612887,0,0,false
Tricia,2,2,gaze,fish,7,1,1449086612987,2052.0674,878.1001,true
Tricia,2,2,gaze,fish,7,0,1449086613089,2062.0193,886.2505,true
Tricia,2,2,gaze,fish,7,0,1449086613188,2026.6897,598.4957,false
Tricia,2,2,gaze,fish,7,0,1449086613287,2030.8757,554.2006,false
Tricia,2,2,gaze,fish,7,0,1449086613387,2053.8896,552.6071,true
Tricia,2,2,gaze,fish,7,0,1449086613488,2067.5842,550.8555,true
Tricia,2,2,gaze,fish,7,0,1449086613587,2080.5071,550.6934,true
Tricia,2,2,gaze,fish,7,0,1449086613687,2090.0327,551.4751,true
Tricia,2,2,gaze,fish,7,0,1449086613789,2094.927,552.9818,true
Tricia,2,2,gaze,fish,-1,0,1449086613887,0,0,false
Tricia,2,2,gaze,fish,-1,0,1449086613987,0,0,false
Tricia,2,2,gaze,fish,-1,0,1449086614089,1516.5238,526.3177,false
Tricia,2,2,gaze,fish,7,1,1449086614187,2111.7615,551.9381,false
Tricia,2,2,gaze,fish,7,0,1449086614287,2104.5852,544.8292,false
Tricia,2,2,gaze,fish,-1,0,1449086614388,1508.0837,915.7997,false
Tricia,2,2,gaze,fish,5,1,1449086614488,1266.9795,1378.3646,false
Tricia,2,2,gaze,fish,5,0,1449086614590,1264.259,1379.5649,false
Tricia,2,2,gaze,fish,-1,0,1449086614687,1246.916,1499.3527,false
Tricia,2,2,gaze,fish,-1,0,1449086614787,1251.8263,1501.7086,false
Tricia,2,2,gaze,fish,5,1,1449086614888,1100.0284,1229.674,false
Tricia,2,2,gaze,fish,-1,0,1449086614987,842.6563,973.7531,false
Tricia,2,2,gaze,fish,4,1,1449086615087,1267.7981,824.9406,false
Tricia,2,2,gaze,fish,4,0,1449086615190,1243.7893,796.8273,false
Tricia,2,2,gaze,fish,4,0,1449086615287,1270.4181,882.2701,false
Tricia,2,2,gaze,fish,-1,0,1449086615387,1290.8036,934.9391,true
Tricia,2,2,gaze,fish,5,1,1449086615490,1346.13,1204.4011,false
Tricia,2,2,gaze,fish,-1,0,1449086615588,0,0,false
Tricia,2,2,gaze,fish,5,1,1449086615688,1362.8232,1214.5343,false
Tricia,2,2,gaze,fish,5,0,1449086615787,1353.9963,1205.6553,true
Tricia,2,2,gaze,fish,5,0,1449086615888,1354.8813,1207.2944,true
Tricia,2,2,gaze,fish,5,0,1449086615987,1356.0829,1191.2252,true
Tricia,2,2,gaze,fish,8,1,1449086616089,2083.6897,1169.238,false
Tricia,2,2,gaze,fish,8,0,1449086616189,2072.9458,1208.7446,false
Tricia,2,2,gaze,fish,8,0,1449086616288,2083.2434,1205.1737,false
Tricia,2,2,gaze,fish,8,0,1449086616387,2081.6077,1212.2048,true
Tricia,2,2,gaze,fish,8,0,1449086616491,2084.7654,1218.438,true
Tricia,2,2,gaze,fish,8,0,1449086616591,2091.3401,1224.0197,true
Tricia,2,2,gaze,fish,8,0,1449086616687,2091.1921,1226.5354,true
Tricia,2,2,gaze,fish,-1,0,1449086616787,1761.8135,1160.1299,false
Tricia,2,2,gaze,fish,-1,0,1449086616887,774.609,1161.8965,false
Tricia,2,2,gaze,fish,2,1,1449086616988,607.6427,1181.2999,false
Tricia,2,2,gaze,fish,2,0,1449086617087,515.1392,1167.2333,false
Tricia,2,2,gaze,fish,2,0,1449086617190,513.6533,1161.9711,false
Tricia,2,2,gaze,fish,2,0,1449086617287,514.9305,1158.2657,true
Tricia,2,2,gaze,fish,2,0,1449086617387,532.0267,1166.1968,true
Tricia,2,2,gaze,fish,-1,0,1449086617489,0,0,false
Tricia,2,2,gaze,fish,-1,0,1449086617589,0,0,false
Tricia,2,2,gaze,fish,1,1,1449086617687,495.3529,713.1721,false
Tricia,2,2,gaze,fish,1,0,1449086617790,487.8652,715.235,false
Tricia,2,2,gaze,fish,1,0,1449086617887,509.3227,717.0594,false
Tricia,2,2,gaze,fish,1,0,1449086617987,508.2451,709.7481,false
Tricia,2,2,gaze,fish,1,0,1449086618088,508.4491,707.0644,true
Tricia,2,2,gaze,fish,1,0,1449086618189,520.011,707.5412,true
Tricia,2,2,gaze,fish,-1,0,1449086618287,1542.9749,555.9268,false
Tricia,2,2,gaze,fish,-1,0,1449086618387,1798.5243,558.1611,false
Tricia,2,2,gaze,fish,-1,0,1449086618488,1903.0449,556.3976,false
Tricia,2,2,gaze,fish,7,1,1449086618588,2052.0378,536.5695,false
Tricia,2,2,gaze,fish,7,0,1449086618687,2060.1431,545.8983,true
Tricia,2,2,gaze,fish,7,0,1449086618789,2058.1772,544.6487,true
Tricia,2,2,gaze,fish,7,0,1449086618889,2057.0613,544.1865,true
Tricia,2,2,gaze,fish,7,0,1449086618986,2072.4895,547.0487,true
Tricia,2,2,gaze,fish,7,0,1449086619087,2081.3728,548.1384,true
Tricia,2,2,gaze,fish,7,0,1449086619187,2091.6689,550.9323,true
Tricia,2,2,gaze,fish,7,0,1449086619287,2097.3152,552.6565,true
Tricia,2,2,gaze,fish,7,0,1449086619387,2098.1372,553.106,true
Tricia,2,2,gaze,fish,7,0,1449086619488,2100.9177,554.5108,true
Tricia,2,2,gaze,fish,7,0,1449086619590,2101.3083,554.6111,true
Tricia,2,2,gaze,fish,7,0,1449086619687,2100.7341,554.855,true
Tricia,2,2,gaze,fish,7,0,1449086619787,2100.7988,556.6102,true
Tricia,2,2,gaze,fish,-1,0,1449086619887,0,0,false
Tricia,2,2,gaze,fish,7,1,1449086619987,1962.262,626.5996,false
Tricia,2,2,gaze,fish,7,0,1449086620089,2025.2083,600.4578,false
Tricia,2,2,gaze,fish,7,0,1449086620190,2076.5188,585.9993,false
Tricia,2,2,gaze,fish,7,0,1449086620289,2091.8569,568.728,false
Tricia,2,2,gaze,fish,7,0,1449086620387,2094.208,564.3467,true
Tricia,2,2,gaze,fish,7,0,1449086620486,2093.658,564.4971,true
Tricia,2,2,gaze,fish,7,0,1449086620588,2094.1089,565.0389,true
Tricia,2,2,gaze,fish,7,0,1449086620687,2097.5427,568.6596,true
Tricia,2,2,gaze,fish,7,0,1449086620790,2099.2065,568.7235,true
Tricia,2,2,gaze,fish,7,0,1449086620891,2099.179,567.3426,true
Tricia,2,2,gaze,fish,7,0,1449086620988,2099.9746,566.226,true
Tricia,2,2,gaze,fish,7,0,1449086621086,2102.5361,566.7145,true
Tricia,2,2,gaze,fish,7,0,1449086621189,2103.5183,567.6952,true
Tricia,2,2,gaze,fish,7,0,1449086621289,2103.2766,566.4626,true
Tricia,2,2,gaze,fish,7,0,1449086621386,2102.8096,565.8286,true
Tricia,2,2,gaze,fish,7,0,1449086621489,2100.7786,566.486,true
Tricia,2,2,gaze,fish,-1,0,1449086621587,1794.7627,631.8644,false
Tricia,2,2,gaze,fish,-1,0,1449086621687,1725.1912,647.387,false
Tricia,2,2,gaze,fish,-1,0,1449086621786,1725.484,647.7922,true
Tricia,2,2,gaze,fish,-1,0,1449086621890,1752.2876,635.7864,true
Tricia,2,2,gaze,fish,7,1,1449086621987,2032.4534,544.3362,false
Tricia,2,2,gaze,fish,7,0,1449086622086,2066.3208,551.7867,false
Tricia,2,2,gaze,fish,7,0,1449086622188,2081.0244,553.0563,false
Tricia,2,2,gaze,fish,7,0,1449086622290,2089.1855,556.8058,true
Tricia,2,2,gaze,fish,7,0,1449086622387,2094.8958,557.5958,true
Tricia,2,2,gaze,fish,7,0,1449086622487,2096.6755,558.2885,true
Tricia,2,2,gaze,fish,7,0,1449086622587,2090.1548,555.8194,true
Tricia,2,2,gaze,fish,-1,0,1449086622687,0,0,false
Tricia,2,2,gaze,fish,-1,0,1449086622789,0,0,false
Tricia,2,2,gaze,fish,-1,0,1449086622888,749.9606,757.1116,false
Tricia,2,2,gaze,fish,-1,0,1449086622986,973.4677,692.9645,false
Tricia,2,2,gaze,fish,4,1,1449086623087,1194.1689,671.1935,false
Tricia,2,2,gaze,fish,4,0,1449086623190,1273.8389,699.6271,false
Tricia,2,2,gaze,fish,4,0,1449086623288,1283.0703,698.6881,true
Tricia,2,2,gaze,fish,0,1,1449086623387,492.9405,425.4169,false
Tricia,2,2,gaze,fish,0,0,1449086623486,472.6849,356.7864,false
Tricia,2,2,gaze,fish,0,0,1449086623589,509.2017,276.6382,false
Tricia,2,2,gaze,fish,0,0,1449086623687,520.5498,313.9058,false
Tricia,2,2,gaze,fish,-1,0,1449086623786,986.5476,426.1492,false
Tricia,2,2,gaze,fish,3,1,1449086623886,1337.5862,378.847,false
Tricia,2,2,gaze,fish,3,0,1449086623990,1327.502,341.1833,false
Tricia,2,2,gaze,fish,3,0,1449086624086,1312.4047,306.8882,false
Tricia,2,2,gaze,fish,3,0,1449086624186,1314.0637,307.4231,false
