
participant,condition,block,input,stimulus,region,triggered,timestamp,X,Y,Fixation
Tricia,2,3,mouse,mushrooms,-1,0,1449086711705,0,0,
Tricia,2,3,mouse,mushrooms,-1,0,1449086711804,0,0,
Tricia,2,3,mouse,mushrooms,-1,0,1449086711904,0,0,
Tricia,2,3,mouse,mushrooms,-1,0,1449086712003,0,0,
Tricia,2,3,mouse,mushrooms,-1,0,1449086712104,0,0,
Tricia,2,3,mouse,mushrooms,-1,0,1449086712204,1429,509,
Tricia,2,3,mouse,mushrooms,-1,0,1449086712304,881,375,
Tricia,2,3,mouse,mushrooms,-1,0,1449086712404,575,332,
Tricia,2,3,mouse,mushrooms,-1,0,1449086712504,569,331,
Tricia,2,3,mouse,mushrooms,-1,0,1449086712604,497,296,
Tricia,2,3,mouse,mushrooms,0,1,1449086712704,439,258,
Tricia,2,3,mouse,mushrooms,0,0,1449086712804,431,248,
Tricia,2,3,mouse,mushrooms,0,0,1449086712905,430,246,
Tricia,2,3,mouse,mushrooms,0,0,1449086713004,430,246,
Tricia,2,3,mouse,mushrooms,0,0,1449086713104,430,246,
Tricia,2,3,mouse,mushrooms,0,0,1449086713204,430,246,
Tricia,2,3,mouse,mushrooms,0,0,1449086713304,430,246,
Tricia,2,3,mouse,mushrooms,0,0,1449086713404,430,246,
Tricia,2,3,mouse,mushrooms,0,0,1449086713508,430,246,
Tricia,2,3,mouse,mushrooms,0,0,1449086713604,430,246,
Tricia,2,3,mouse,mushrooms,0,0,1449086713707,430,246,
Tricia,2,3,mouse,mushrooms,-1,0,1449086713804,529,271,
Tricia,2,3,mouse,mushrooms,-1,0,1449086713904,1030,347,
Tricia,2,3,mouse,mushrooms,-1,0,1449086714003,1342,384,
Tricia,2,3,mouse,mushrooms,-1,0,1449086714106,1384,381,
Tricia,2,3,mouse,mushrooms,-1,0,1449086714203,1353,354,
Tricia,2,3,mouse,mushrooms,-1,0,1449086714303,1312,325,
Tricia,2,3,mouse,mushrooms,-1,0,1449086714403,1311,324,
Tricia,2,3,mouse,mushrooms,-1,0,1449086714505,1302,312,
Tricia,2,3,mouse,mushrooms,-1,0,1449086714605,1287,298,
Tricia,2,3,mouse,mushrooms,-1,0,1449086714704,1287,294,
Tricia,2,3,mouse,mushrooms,-1,0,1449086714806,1287,294,
Tricia,2,3,mouse,mushrooms,3,1,1449086714904,1287,284,
Tricia,2,3,mouse,mushrooms,3,0,1449086715009,1287,274,
Tricia,2,3,mouse,mushrooms,3,0,1449086715106,1287,273,
Tricia,2,3,mouse,mushrooms,3,0,1449086715204,1287,273,
Tricia,2,3,mouse,mushrooms,3,0,1449086715307,1287,273,
Tricia,2,3,mouse,mushrooms,3,0,1449086715404,1287,273,
Tricia,2,3,mouse,mushrooms,3,0,1449086715507,1287,273,
Tricia,2,3,mouse,mushrooms,3,0,1449086715604,1287,273,
Tricia,2,3,mouse,mushrooms,3,0,1449086715707,1287,273,
Tricia,2,3,mouse,mushrooms,3,0,1449086715805,1287,273,
Tricia,2,3,mouse,mushrooms,3,0,1449086715908,1287,273,
Tricia,2,3,mouse,mushrooms,3,0,1449086716006,1287,273,
Tricia,2,3,mouse,mushrooms,3,0,1449086716104,1287,273,
Tricia,2,3,mouse,mushrooms,3,0,1449086716207,1287,273,
Tricia,2,3,mouse,mushrooms,3,0,1449086716305,1287,273,
Tricia,2,3,mouse,mushrooms,3,0,1449086716407,1287,273,
Tricia,2,3,mouse,mushrooms,3,0,1449086716503,1288,273,
Tricia,2,3,mouse,mushrooms,-1,0,1449086716603,1508,298,
Tricia,2,3,mouse,mushrooms,-1,0,1449086716703,1813,338,
Tricia,2,3,mouse,mushrooms,-1,0,1449086716804,1940,339,
Tricia,2,3,mouse,mushrooms,-1,0,1449086716904,2014,320,
Tricia,2,3,mouse,mushrooms,-1,0,1449086717004,2035,306,
Tricia,2,3,mouse,mushrooms,-1,0,1449086717103,2041,283,
Tricia,2,3,mouse,mushrooms,6,1,1449086717204,2084,242,
Tricia,2,3,mouse,mushrooms,6,0,1449086717307,2092,236,
Tricia,2,3,mouse,mushrooms,6,0,1449086717404,2097,234,
Tricia,2,3,mouse,mushrooms,6,0,1449086717506,2098,234,
Tricia,2,3,mouse,mushrooms,6,0,1449086717604,2098,234,
Tricia,2,3,mouse,mushrooms,6,0,1449086717708,2098,234,
Tricia,2,3,mouse,mushrooms,6,0,1449086717804,2098,234,
Tricia,2,3,mouse,mushrooms,6,0,1449086717904,2098,234,
Tricia,2,3,mouse,mushrooms,6,0,1449086718004,2098,234,
Tricia,2,3,mouse,mushrooms,6,0,1449086718108,2098,234,
Tricia,2,3,mouse,mushrooms,6,0,1449086718205,2098,234,
Tricia,2,3,mouse,mushrooms,6,0,1449086718304,2098,234,
Tricia,2,3,mouse,mushrooms,6,0,1449086718404,2098,236,
Tricia,2,3,mouse,mushrooms,6,0,1449086718504,2101,275,
Tricia,2,3,mouse,mushrooms,-1,0,1449086718604,2112,480,
Tricia,2,3,mouse,mushrooms,7,1,1449086718705,2114,692,
Tricia,2,3,mouse,mushrooms,-1,0,1449086718805,2095,818,
Tricia,2,3,mouse,mushrooms,-1,0,1449086718907,2095,823,
Tricia,2,3,mouse,mushrooms,-1,0,1449086719003,2099,792,
Tricia,2,3,mouse,mushrooms,-1,0,1449086719104,2103,772,
Tricia,2,3,mouse,mushrooms,-1,0,1449086719206,2103,769,
Tricia,2,3,mouse,mushrooms,-1,0,1449086719307,2104,769,
Tricia,2,3,mouse,mushrooms,-1,0,1449086719403,2105,768,
Tricia,2,3,mouse,mushrooms,7,1,1449086719504,2113,754,
Tricia,2,3,mouse,mushrooms,7,0,1449086719603,2118,736,
Tricia,2,3,mouse,mushrooms,7,0,1449086719706,2118,736,
Tricia,2,3,mouse,mushrooms,7,0,1449086719804,2118,736,
Tricia,2,3,mouse,mushrooms,7,0,1449086719904,2118,736,
Tricia,2,3,mouse,mushrooms,7,0,1449086720004,2118,736,
Tricia,2,3,mouse,mushrooms,-1,0,1449086720104,1879,708,
Tricia,2,3,mouse,mushrooms,-1,0,1449086720203,1155,606,
Tricia,2,3,mouse,mushrooms,-1,0,1449086720305,1056,593,
Tricia,2,3,mouse,mushrooms,-1,0,1449086720404,1057,593,
Tricia,2,3,mouse,mushrooms,-1,0,1449086720505,1143,649,
Tricia,2,3,mouse,mushrooms,-1,0,1449086720603,1161,660,
Tricia,2,3,mouse,mushrooms,-1,0,1449086720703,1173,662,
