
participant,condition,block,input,stimulus,region,triggered,timestamp,X,Y,Fixation
Tricia,2,4,gaze,viruses,3,1,1449086776480,1163.1685,288.3961,false
Tricia,2,4,gaze,viruses,3,0,1449086776577,1174.7162,281.2374,false
Tricia,2,4,gaze,viruses,3,0,1449086776676,1176.3409,294.3696,true
Tricia,2,4,gaze,viruses,-1,0,1449086776777,0,0,false
Tricia,2,4,gaze,viruses,3,1,1449086776876,1135.8691,298.3836,true
Tricia,2,4,gaze,viruses,-1,0,1449086776976,607.9493,367.5818,false
Tricia,2,4,gaze,viruses,0,1,1449086777076,539.4453,263.0376,false
Tricia,2,4,gaze,viruses,-1,0,1449086777177,780.9979,271.8654,false
Tricia,2,4,gaze,viruses,3,1,1449086777277,1231.5988,294.3815,false
Tricia,2,4,gaze,viruses,3,0,1449086777377,1224.9768,273.9817,false
Tricia,2,4,gaze,viruses,0,1,1449086777477,526.104,292.9748,false
Tricia,2,4,gaze,viruses,0,0,1449086777576,526.2518,286.9336,false
Tricia,2,4,gaze,viruses,0,0,1449086777676,530.0477,289.5823,true
Tricia,2,4,gaze,viruses,0,0,1449086777777,529.7443,293.6716,true
Tricia,2,4,gaze,viruses,0,0,1449086777878,521.7987,288.6428,true
Tricia,2,4,gaze,viruses,0,0,1449086777976,514.6255,284.7898,true
Tricia,2,4,gaze,viruses,0,0,1449086778078,511.8957,282.2318,true
Tricia,2,4,gaze,viruses,0,0,1449086778178,507.7641,281.9498,true
Tricia,2,4,gaze,viruses,0,0,1449086778276,503.3078,281.2147,true
Tricia,2,4,gaze,viruses,0,0,1449086778380,500.1251,279.1142,true
Tricia,2,4,gaze,viruses,0,0,1449086778480,493.0617,274.8581,true
Tricia,2,4,gaze,viruses,0,0,1449086778576,487.4005,272.5797,true
Tricia,2,4,gaze,viruses,0,0,1449086778677,491.2012,270.4359,true
Tricia,2,4,gaze,viruses,3,1,1449086778777,1233.9209,301.699,false
Tricia,2,4,gaze,viruses,3,0,1449086778879,1223.1509,292.6188,false
Tricia,2,4,gaze,viruses,3,0,1449086778978,1217.6926,289.3282,true
Tricia,2,4,gaze,viruses,3,0,1449086779077,1222.3656,289.9801,true
Tricia,2,4,gaze,viruses,3,0,1449086779179,1233.6543,291.9203,true
Tricia,2,4,gaze,viruses,3,0,1449086779276,1240.3899,291.8427,true
Tricia,2,4,gaze,viruses,3,0,1449086779376,1244.8546,292.1008,true
Tricia,2,4,gaze,viruses,3,0,1449086779476,1247.6453,292.261,true
Tricia,2,4,gaze,viruses,3,0,1449086779576,1251.9369,292.0624,true
Tricia,2,4,gaze,viruses,-1,0,1449086779676,1927.1035,515.5914,false
Tricia,2,4,gaze,viruses,-1,0,1449086779777,1976.9303,511.0248,false
Tricia,2,4,gaze,viruses,7,1,1449086779878,2042.71,516.056,false
Tricia,2,4,gaze,viruses,-1,0,1449086779976,2036.0404,498.6958,false
Tricia,2,4,gaze,viruses,7,1,1449086780079,2040.151,500.5605,false
Tricia,2,4,gaze,viruses,-1,0,1449086780177,2036.6318,499.8463,true
Tricia,2,4,gaze,viruses,7,1,1449086780277,2059.2764,872.687,false
Tricia,2,4,gaze,viruses,7,0,1449086780379,2064.7205,867.0732,false
Tricia,2,4,gaze,viruses,7,0,1449086780476,2058.8936,871.0044,true
Tricia,2,4,gaze,viruses,7,0,1449086780576,2059.0869,871.8516,true
Tricia,2,4,gaze,viruses,7,0,1449086780677,2057.8162,868.7881,true
Tricia,2,4,gaze,viruses,7,0,1449086780779,2055.2864,868.1368,true
Tricia,2,4,gaze,viruses,7,0,1449086780876,2052.2002,869.7878,true
Tricia,2,4,gaze,viruses,7,0,1449086780977,2048.3667,871.3071,true
Tricia,2,4,gaze,viruses,-1,0,1449086781077,1990.3807,510.7104,false
Tricia,2,4,gaze,viruses,-1,0,1449086781177,1996.4297,502.7849,false
Tricia,2,4,gaze,viruses,-1,0,1449086781277,1996.6943,503.121,false
Tricia,2,4,gaze,viruses,7,1,1449086781377,2025.1387,510.5588,true
Tricia,2,4,gaze,viruses,7,0,1449086781480,2032.5248,535.1536,true
Tricia,2,4,gaze,viruses,7,0,1449086781577,2041.5068,538.2186,true
Tricia,2,4,gaze,viruses,7,0,1449086781676,2051.0237,535.5286,true
Tricia,2,4,gaze,viruses,7,0,1449086781778,2056.6643,534.5505,true
Tricia,2,4,gaze,viruses,7,0,1449086781876,2093.0742,836.1664,false
Tricia,2,4,gaze,viruses,7,0,1449086781976,2091.5811,835.8386,false
Tricia,2,4,gaze,viruses,7,0,1449086782077,2004.8809,572.736,false
Tricia,2,4,gaze,viruses,-1,0,1449086782180,2022.6454,504.0222,false
Tricia,2,4,gaze,viruses,7,1,1449086782276,2033.5342,506.9976,true
Tricia,2,4,gaze,viruses,-1,0,1449086782378,2016.2759,507.6824,true
Tricia,2,4,gaze,viruses,-1,0,1449086782477,2009.6903,503.3149,true
Tricia,2,4,gaze,viruses,-1,0,1449086782576,0,0,false
Tricia,2,4,gaze,viruses,-1,0,1449086782676,2060.5129,475.8394,false
Tricia,2,4,gaze,viruses,-1,0,1449086782777,2060.6682,481.6193,false
Tricia,2,4,gaze,viruses,7,1,1449086782877,2052.6187,495.8609,false
Tricia,2,4,gaze,viruses,-1,0,1449086782977,2022.9469,495.3246,false
Tricia,2,4,gaze,viruses,-1,0,1449086783077,2030.788,486.1343,true
Tricia,2,4,gaze,viruses,-1,0,1449086783176,1755.1418,568.1311,false
Tricia,2,4,gaze,viruses,4,1,1449086783277,1380.2024,644.6301,false
Tricia,2,4,gaze,viruses,4,0,1449086783377,1271.5645,598.6831,false
Tricia,2,4,gaze,viruses,-1,0,1449086783479,1201.2175,486.8407,false
Tricia,2,4,gaze,viruses,4,1,1449086783577,1078.6047,621.9781,false
Tricia,2,4,gaze,viruses,4,0,1449086783677,1396.5065,602.9113,false
Tricia,2,4,gaze,viruses,4,0,1449086783778,1344.7147,620.5218,false
Tricia,2,4,gaze,viruses,4,0,1449086783880,1305.7502,573.432,false
Tricia,2,4,gaze,viruses,4,0,1449086783977,1313.1613,591.8546,false
Tricia,2,4,gaze,viruses,-1,0,1449086784077,1017.5597,559.744,false
Tricia,2,4,gaze,viruses,-1,0,1449086784176,0,0,false
Tricia,2,4,gaze,viruses,-1,0,1449086784277,0,0,false
Tricia,2,4,gaze,viruses,-1,0,1449086784376,0,0,false
Tricia,2,4,gaze,viruses,-1,0,1449086784476,740.155,548.9766,false
Tricia,2,4,gaze,viruses,1,1,1449086784578,512.5412,503.5246,false
Tricia,2,4,gaze,viruses,1,0,1449086784676,456.912,575.8099,false
Tricia,2,4,gaze,viruses,1,0,1449086784777,434.844,598.5303,true
Tricia,2,4,gaze,viruses,1,0,1449086784876,439.3694,586.6176,true
Tricia,2,4,gaze,viruses,1,0,1449086784976,413.6494,597.6781,true
Tricia,2,4,gaze,viruses,-1,0,1449086785076,0,0,false
Tricia,2,4,gaze,viruses,1,1,1449086785177,388.9322,604.3876,true
Tricia,2,4,gaze,viruses,1,0,1449086785276,395.5386,598.4315,true
Tricia,2,4,gaze,viruses,1,0,1449086785376,387.4286,602.0261,true
Tricia,2,4,gaze,viruses,-1,0,1449086785480,0,0,false
Tricia,2,4,gaze,viruses,1,1,1449086785576,385.2244,594.4008,true
Tricia,2,4,gaze,viruses,1,0,1449086785677,411.5778,593.5124,true
Tricia,2,4,gaze,viruses,1,0,1449086785776,425.7229,596.9498,true
Tricia,2,4,gaze,viruses,1,0,1449086785879,447.5757,599.6849,true
Tricia,2,4,gaze,viruses,2,1,1449086785977,463.6055,1027.1622,false
Tricia,2,4,gaze,viruses,2,0,1449086786076,469.1265,1016.74,false
Tricia,2,4,gaze,viruses,2,0,1449086786179,477.0182,1028.7548,false
Tricia,2,4,gaze,viruses,2,0,1449086786277,491.9907,983.8555,true
Tricia,2,4,gaze,viruses,2,0,1449086786377,483.7292,1009.2133,true
Tricia,2,4,gaze,viruses,2,0,1449086786476,473.4834,1032.0778,true
Tricia,2,4,gaze,viruses,2,0,1449086786577,443.2342,1102.5127,false
Tricia,2,4,gaze,viruses,2,0,1449086786676,440.5156,1117.2007,false
Tricia,2,4,gaze,viruses,2,0,1449086786776,439.0996,1124.2128,true
Tricia,2,4,gaze,viruses,2,0,1449086786876,435.9763,1118.4208,true
Tricia,2,4,gaze,viruses,2,0,1449086786976,437.844,1118.204,true
Tricia,2,4,gaze,viruses,2,0,1449086787077,437.4294,1118.5647,true
Tricia,2,4,gaze,viruses,-1,0,1449086787179,0,0,false
Tricia,2,4,gaze,viruses,-1,0,1449086787278,0,0,false
Tricia,2,4,gaze,viruses,-1,0,1449086787380,0,0,false
Tricia,2,4,gaze,viruses,5,1,1449086787479,1256.0436,1031.8553,false
Tricia,2,4,gaze,viruses,5,0,1449086787577,1328.8386,1111.9226,false
Tricia,2,4,gaze,viruses,5,0,1449086787676,1309.8403,1109.2638,false
Tricia,2,4,gaze,viruses,5,0,1449086787777,1299.8113,1094.0342,true
Tricia,2,4,gaze,viruses,5,0,1449086787876,1295.3763,1089.0087,true
Tricia,2,4,gaze,viruses,5,0,1449086787976,1309.1842,1072.5223,true
Tricia,2,4,gaze,viruses,5,0,1449086788076,1351.6154,1075.0177,true
Tricia,2,4,gaze,viruses,5,0,1449086788176,1365.9037,1066.549,true
Tricia,2,4,gaze,viruses,-1,0,1449086788277,0,0,false
Tricia,2,4,gaze,viruses,-1,0,1449086788376,0,0,false
Tricia,2,4,gaze,viruses,-1,0,1449086788478,0,0,false
Tricia,2,4,gaze,viruses,-1,0,1449086788577,0,0,false
Tricia,2,4,gaze,viruses,-1,0,1449086788676,0,0,false
Tricia,2,4,gaze,viruses,5,1,1449086788776,1365.548,1062.5475,true
Tricia,2,4,gaze,viruses,8,1,1449086788877,2083.0459,1146.9839,false
Tricia,2,4,gaze,viruses,8,0,1449086788978,2043.7976,1173.9614,false
Tricia,2,4,gaze,viruses,8,0,1449086789076,2024.7771,1195.4814,false
Tricia,2,4,gaze,viruses,8,0,1449086789177,2113.2363,1190.3446,false
Tricia,2,4,gaze,viruses,8,0,1449086789276,2102.6641,1177.9597,true
Tricia,2,4,gaze,viruses,8,0,1449086789376,2090.022,1190.1936,true
Tricia,2,4,gaze,viruses,8,0,1449086789478,2082.9722,1195.5153,true
Tricia,2,4,gaze,viruses,8,0,1449086789576,2077.5669,1201.1383,true
Tricia,2,4,gaze,viruses,8,0,1449086789676,2073.5823,1203.2301,true
Tricia,2,4,gaze,viruses,8,0,1449086789779,2072.3572,1205.8838,true
Tricia,2,4,gaze,viruses,-1,0,1449086789876,1440.2385,861.3875,false
Tricia,2,4,gaze,viruses,4,1,1449086789976,1270.9246,740.5466,false
Tricia,2,4,gaze,viruses,4,0,1449086790076,1274.5824,725.6732,true
Tricia,2,4,gaze,viruses,4,0,1449086790177,1275.3185,726.4409,true
Tricia,2,4,gaze,viruses,-1,0,1449086790278,543.2621,502.3774,false
Tricia,2,4,gaze,viruses,-1,0,1449086790376,551.2075,509.5633,false
Tricia,2,4,gaze,viruses,0,1,1449086790480,475.9816,223.6242,false
Tricia,2,4,gaze,viruses,0,0,1449086790577,484.8737,302.0807,false
Tricia,2,4,gaze,viruses,0,0,1449086790676,484.1751,307.0029,true
Tricia,2,4,gaze,viruses,0,0,1449086790778,483.6974,306.8238,true
Tricia,2,4,gaze,viruses,0,0,1449086790876,483.8383,308.0202,true
Tricia,2,4,gaze,viruses,0,0,1449086790978,483.2893,310.9106,true
Tricia,2,4,gaze,viruses,0,0,1449086791076,483.9573,312.5258,true
Tricia,2,4,gaze,viruses,0,0,1449086791176,484.3266,313.1817,true
Tricia,2,4,gaze,viruses,0,0,1449086791278,490.2567,309.0942,true
Tricia,2,4,gaze,viruses,0,0,1449086791376,486.9272,292.4334,true
Tricia,2,4,gaze,viruses,0,0,1449086791478,488.6172,287.5857,true
Tricia,2,4,gaze,viruses,-1,0,1449086791579,0,0,false
Tricia,2,4,gaze,viruses,3,1,1449086791676,1283.1931,421.1453,false
Tricia,2,4,gaze,viruses,3,0,1449086791776,1282.9312,322.0612,false
Tricia,2,4,gaze,viruses,3,0,1449086791876,1280.2301,301.9935,false
Tricia,2,4,gaze,viruses,3,0,1449086791979,1281.7942,308.1598,true
Tricia,2,4,gaze,viruses,3,0,1449086792076,1281.5752,298.3533,true
Tricia,2,4,gaze,viruses,3,0,1449086792176,1282.0267,292.2548,true
Tricia,2,4,gaze,viruses,3,0,1449086792278,1282.941,285.8351,true
Tricia,2,4,gaze,viruses,3,0,1449086792377,1281.986,278.541,true
Tricia,2,4,gaze,viruses,3,0,1449086792478,1280.7676,273.7551,true
Tricia,2,4,gaze,viruses,-1,0,1449086792579,663.3416,521.7139,false
