
participant,condition,block,input,stimulus,region,triggered,timestamp,X,Y,Fixation
Tricia,2,0,mouse,training,-1,0,1449086380935,0,0,
Tricia,2,0,mouse,training,-1,0,1449086381038,0,0,
Tricia,2,0,mouse,training,-1,0,1449086381137,0,0,
Tricia,2,0,mouse,training,-1,0,1449086381238,0,0,
Tricia,2,0,mouse,training,-1,0,1449086381336,0,0,
Tricia,2,0,mouse,training,-1,0,1449086381434,0,0,
Tricia,2,0,mouse,training,-1,0,1449086381535,0,0,
Tricia,2,0,mouse,training,-1,0,1449086381638,0,0,
Tricia,2,0,mouse,training,-1,0,1449086381738,0,0,
Tricia,2,0,mouse,training,-1,0,1449086381835,1317,542,
Tricia,2,0,mouse,training,-1,0,1449086381938,1243,544,
Tricia,2,0,mouse,training,-1,0,1449086382035,1243,544,
Tricia,2,0,mouse,training,-1,0,1449086382139,1243,544,
Tricia,2,0,mouse,training,-1,0,1449086382234,1243,545,
Tricia,2,0,mouse,training,-1,0,1449086382335,899,430,
Tricia,2,0,mouse,training,0,1,1449086382435,472,263,
Tricia,2,0,mouse,training,0,0,1449086382534,408,244,
Tricia,2,0,mouse,training,0,0,1449086382636,373,236,
Tricia,2,0,mouse,training,0,0,1449086382736,375,238,
Tricia,2,0,mouse,training,0,0,1449086382837,381,238,
Tricia,2,0,mouse,training,0,0,1449086382937,381,238,
Tricia,2,0,mouse,training,0,0,1449086383037,387,238,
Tricia,2,0,mouse,training,0,0,1449086383135,482,242,
Tricia,2,0,mouse,training,-1,0,1449086383235,591,252,
Tricia,2,0,mouse,training,-1,0,1449086383335,663,252,
Tricia,2,0,mouse,training,-1,0,1449086383434,748,255,
Tricia,2,0,mouse,training,-1,0,1449086383535,840,256,
Tricia,2,0,mouse,training,-1,0,1449086383634,1017,262,
Tricia,2,0,mouse,training,-1,0,1449086383735,1409,275,
Tricia,2,0,mouse,training,-1,0,1449086383836,1562,279,
Tricia,2,0,mouse,training,-1,0,1449086383935,1550,279,
Tricia,2,0,mouse,training,-1,0,1449086384034,1372,260,
Tricia,2,0,mouse,training,-1,0,1449086384137,1370,260,
Tricia,2,0,mouse,training,-1,0,1449086384236,1359,260,
