
participant,condition,block,input,stimulus,region,triggered,timestamp,X,Y,Fixation
amy,1,1,gaze,flags,-1,0,1448179118403,717.2935,389.3786,true
amy,1,1,gaze,flags,-1,0,1448179118502,716.4249,388.5527,true
amy,1,1,gaze,flags,-1,0,1448179118604,716.316,386.9875,true
amy,1,1,gaze,flags,-1,0,1448179118705,712.088,385.532,true
amy,1,1,gaze,flags,-1,0,1448179118805,716.8524,383.5107,true
amy,1,1,gaze,flags,-1,0,1448179118906,725.2822,377.0444,true
amy,1,1,gaze,flags,-1,0,1448179119009,734.5558,374.3635,true
amy,1,1,gaze,flags,0,1,1448179119111,253.1887,121.7524,false
amy,1,1,gaze,flags,0,0,1448179119211,231.5761,165.5399,false
amy,1,1,gaze,flags,0,0,1448179119312,223.3745,176.2256,false
amy,1,1,gaze,flags,0,0,1448179119413,230.6003,174.998,true
amy,1,1,gaze,flags,0,0,1448179119513,233.5366,169.6452,true
amy,1,1,gaze,flags,-1,0,1448179119614,0,0,false
amy,1,1,gaze,flags,-1,0,1448179119714,-11.8146,199.3122,false
amy,1,1,gaze,flags,-1,0,1448179119817,142.3097,186.5986,false
amy,1,1,gaze,flags,-1,0,1448179119917,20.3928,118.3298,false
amy,1,1,gaze,flags,0,1,1448179120017,217.6872,145.1624,false
amy,1,1,gaze,flags,0,0,1448179120117,207.9117,153.4293,false
amy,1,1,gaze,flags,0,0,1448179120217,217.6137,155.1553,false
amy,1,1,gaze,flags,0,0,1448179120318,220.2682,178.3849,false
amy,1,1,gaze,flags,0,0,1448179120420,213.4133,161.5459,true
amy,1,1,gaze,flags,3,1,1448179120520,630.4601,141.1015,false
amy,1,1,gaze,flags,3,0,1448179120621,640.0677,122.8838,false
amy,1,1,gaze,flags,3,0,1448179120722,636.0507,122.4101,true
amy,1,1,gaze,flags,3,0,1448179120822,636.7977,127.9069,true
amy,1,1,gaze,flags,3,0,1448179120922,703.4146,156.4189,false
amy,1,1,gaze,flags,3,0,1448179121022,703.6538,145.5167,false
amy,1,1,gaze,flags,3,0,1448179121123,698.2883,127.6559,true
amy,1,1,gaze,flags,3,0,1448179121223,705.245,126.0154,true
amy,1,1,gaze,flags,3,0,1448179121323,709.03,116.248,true
amy,1,1,gaze,flags,-1,0,1448179121423,710.814,113.6832,true
amy,1,1,gaze,flags,3,1,1448179121524,710.4942,116.411,true
amy,1,1,gaze,flags,-1,0,1448179121626,710.7683,115.3596,true
amy,1,1,gaze,flags,3,1,1448179121727,710.2919,118.4418,true
amy,1,1,gaze,flags,3,0,1448179121827,708.3284,121.7816,true
amy,1,1,gaze,flags,-1,0,1448179121928,904.859,128.7352,false
amy,1,1,gaze,flags,-1,0,1448179122028,1170.6902,152.4794,false
amy,1,1,gaze,flags,-1,0,1448179122129,1210.8387,137.7015,false
amy,1,1,gaze,flags,-1,0,1448179122229,1193.668,142.0277,false
amy,1,1,gaze,flags,-1,0,1448179122330,1194.3341,143.557,false
amy,1,1,gaze,flags,-1,0,1448179122430,1196.7556,138.6971,true
amy,1,1,gaze,flags,-1,0,1448179122531,1194.241,138.8919,true
amy,1,1,gaze,flags,-1,0,1448179122632,1190.454,142.8425,true
amy,1,1,gaze,flags,-1,0,1448179122732,1198.7605,142.9403,true
amy,1,1,gaze,flags,-1,0,1448179122832,1204.3497,136.7641,true
amy,1,1,gaze,flags,-1,0,1448179122933,708.2445,101.8962,false
amy,1,1,gaze,flags,3,1,1448179123034,685.2922,98.1519,false
amy,1,1,gaze,flags,3,0,1448179123134,677.7117,118.4991,true
amy,1,1,gaze,flags,3,0,1448179123234,680.5096,125.8531,true
amy,1,1,gaze,flags,3,0,1448179123335,676.3194,130.6301,true
amy,1,1,gaze,flags,3,0,1448179123435,681.7355,133.7075,true
amy,1,1,gaze,flags,3,0,1448179123535,690.9379,134.521,true
