
participant,condition,block,input,stimulus,region,triggered,timestamp,X,Y,Fixation
amy,1,3,gaze,mushrooms,-1,0,1448179188062,0,0,false
amy,1,3,gaze,mushrooms,-1,0,1448179188162,0,0,false
amy,1,3,gaze,mushrooms,-1,0,1448179188262,763.9763,269.015,false
amy,1,3,gaze,mushrooms,-1,0,1448179188363,670.6239,307.3838,false
amy,1,3,gaze,mushrooms,-1,0,1448179188464,0,0,false
amy,1,3,gaze,mushrooms,-1,0,1448179188565,0,0,false
amy,1,3,gaze,mushrooms,0,1,1448179188665,170.0332,138.6061,false
amy,1,3,gaze,mushrooms,-1,0,1448179188766,140.8115,211.8688,false
amy,1,3,gaze,mushrooms,-1,0,1448179188867,0,0,false
amy,1,3,gaze,mushrooms,-1,0,1448179188967,0,0,false
amy,1,3,gaze,mushrooms,-1,0,1448179189068,0,0,false
amy,1,3,gaze,mushrooms,0,1,1448179189169,191.9475,136.8289,false
amy,1,3,gaze,mushrooms,-1,0,1448179189269,104.5879,340.4392,false
amy,1,3,gaze,mushrooms,-1,0,1448179189370,132.4039,297.0223,false
amy,1,3,gaze,mushrooms,0,1,1448179189470,183.7837,132.8921,false
amy,1,3,gaze,mushrooms,0,0,1448179189570,179.7717,132.3258,false
amy,1,3,gaze,mushrooms,0,0,1448179189670,187.8969,138.4022,true
amy,1,3,gaze,mushrooms,0,0,1448179189771,187.8304,151.6491,true
amy,1,3,gaze,mushrooms,1,1,1448179189871,233.6081,426.5551,false
amy,1,3,gaze,mushrooms,1,0,1448179189971,235.138,463.8728,false
amy,1,3,gaze,mushrooms,-1,0,1448179190072,237.9292,470.4772,false
amy,1,3,gaze,mushrooms,-1,0,1448179190172,244.5907,468.7517,true
amy,1,3,gaze,mushrooms,-1,0,1448179190273,244.048,465.5925,true
amy,1,3,gaze,mushrooms,-1,0,1448179190374,238.2725,489.0479,false
amy,1,3,gaze,mushrooms,-1,0,1448179190476,222.6246,471.124,false
amy,1,3,gaze,mushrooms,-1,0,1448179190575,233.773,488.5434,false
amy,1,3,gaze,mushrooms,-1,0,1448179190676,221.5875,484.4673,false
amy,1,3,gaze,mushrooms,-1,0,1448179190776,0,0,false
amy,1,3,gaze,mushrooms,-1,0,1448179190877,0,0,false
amy,1,3,gaze,mushrooms,-1,0,1448179190978,221.3714,489.0441,true
amy,1,3,gaze,mushrooms,-1,0,1448179191079,223.155,481.2407,true
amy,1,3,gaze,mushrooms,4,1,1448179191180,606.2478,379.2275,false
amy,1,3,gaze,mushrooms,4,0,1448179191282,688.2188,406.2325,false
amy,1,3,gaze,mushrooms,4,0,1448179191383,686.2463,421.1479,true
amy,1,3,gaze,mushrooms,4,0,1448179191483,689.6835,423.1721,true
amy,1,3,gaze,mushrooms,4,0,1448179191584,687.0824,421.798,true
amy,1,3,gaze,mushrooms,4,0,1448179191684,688.4882,415.1026,true
amy,1,3,gaze,mushrooms,4,0,1448179191785,689.0204,411.3773,true
amy,1,3,gaze,mushrooms,4,0,1448179191886,687.9092,402.3517,true
amy,1,3,gaze,mushrooms,4,0,1448179191987,689.7366,396.0905,true
amy,1,3,gaze,mushrooms,4,0,1448179192088,692.9544,393.575,true
amy,1,3,gaze,mushrooms,4,0,1448179192189,696.4915,387.3238,true
amy,1,3,gaze,mushrooms,4,0,1448179192290,696.3801,383.7083,true
amy,1,3,gaze,mushrooms,-1,0,1448179192391,152.1842,796.6195,false
amy,1,3,gaze,mushrooms,-1,0,1448179192491,197.5109,784.7241,false
amy,1,3,gaze,mushrooms,-1,0,1448179192592,200.8742,778.2277,true
amy,1,3,gaze,mushrooms,-1,0,1448179192692,210.9716,778.9211,true
amy,1,3,gaze,mushrooms,-1,0,1448179192793,215.0144,774.0475,true
amy,1,3,gaze,mushrooms,-1,0,1448179192893,218.4458,768.3825,true
amy,1,3,gaze,mushrooms,-1,0,1448179192994,143.8251,800.0086,false
amy,1,3,gaze,mushrooms,-1,0,1448179193094,0,0,false
amy,1,3,gaze,mushrooms,-1,0,1448179193195,0,0,false
amy,1,3,gaze,mushrooms,-1,0,1448179193299,114.4992,750.1072,false
amy,1,3,gaze,mushrooms,-1,0,1448179193402,-89.3851,745.56,false
amy,1,3,gaze,mushrooms,-1,0,1448179193502,-143.326,834.3083,false
amy,1,3,gaze,mushrooms,-1,0,1448179193602,-5.0551,670.0533,false
amy,1,3,gaze,mushrooms,-1,0,1448179193703,-13.6705,755.4468,false
amy,1,3,gaze,mushrooms,-1,0,1448179193804,0,0,false
