
participant,condition,block,input,stimulus,region,triggered,timestamp,X,Y,Fixation
amy,1,4,mouse,viruses,-1,0,1448179240732,0,0,
amy,1,4,mouse,viruses,-1,0,1448179240832,0,0,
amy,1,4,mouse,viruses,-1,0,1448179240932,0,0,
amy,1,4,mouse,viruses,-1,0,1448179241035,0,0,
amy,1,4,mouse,viruses,-1,0,1448179241135,0,0,
amy,1,4,mouse,viruses,-1,0,1448179241236,0,0,
amy,1,4,mouse,viruses,-1,0,1448179241338,0,0,
amy,1,4,mouse,viruses,-1,0,1448179241438,0,0,
amy,1,4,mouse,viruses,-1,0,1448179241543,0,0,
amy,1,4,mouse,viruses,-1,0,1448179241643,0,0,
amy,1,4,mouse,viruses,-1,0,1448179241746,0,0,
amy,1,4,mouse,viruses,-1,0,1448179241847,0,0,
amy,1,4,mouse,viruses,-1,0,1448179241948,0,0,
amy,1,4,mouse,viruses,-1,0,1448179242049,0,0,
amy,1,4,mouse,viruses,-1,0,1448179242153,0,0,
amy,1,4,mouse,viruses,-1,0,1448179242253,531,250,
amy,1,4,mouse,viruses,-1,0,1448179242354,457,173,
amy,1,4,mouse,viruses,-1,0,1448179242456,352,37,
amy,1,4,mouse,viruses,-1,0,1448179242557,303,15,
amy,1,4,mouse,viruses,0,1,1448179242659,242,115,
amy,1,4,mouse,viruses,0,0,1448179242761,220,152,
amy,1,4,mouse,viruses,0,0,1448179242864,215,160,
amy,1,4,mouse,viruses,0,0,1448179242967,215,160,
amy,1,4,mouse,viruses,0,0,1448179243068,215,160,
amy,1,4,mouse,viruses,0,0,1448179243168,215,160,
amy,1,4,mouse,viruses,0,0,1448179243269,215,160,
amy,1,4,mouse,viruses,0,0,1448179243369,215,160,
amy,1,4,mouse,viruses,0,0,1448179243469,215,160,
amy,1,4,mouse,viruses,0,0,1448179243570,215,160,
amy,1,4,mouse,viruses,0,0,1448179243671,215,160,
amy,1,4,mouse,viruses,0,0,1448179243773,215,176,
amy,1,4,mouse,viruses,-1,0,1448179243874,253,338,
amy,1,4,mouse,viruses,1,1,1448179243975,257,371,
amy,1,4,mouse,viruses,1,0,1448179244075,257,373,
amy,1,4,mouse,viruses,1,0,1448179244176,257,373,
amy,1,4,mouse,viruses,1,0,1448179244276,257,373,
amy,1,4,mouse,viruses,1,0,1448179244377,257,373,
amy,1,4,mouse,viruses,1,0,1448179244478,257,385,
amy,1,4,mouse,viruses,-1,0,1448179244579,248,553,
amy,1,4,mouse,viruses,2,1,1448179244680,246,654,
amy,1,4,mouse,viruses,2,0,1448179244780,234,686,
amy,1,4,mouse,viruses,2,0,1448179244881,220,708,
amy,1,4,mouse,viruses,2,0,1448179244981,219,708,
amy,1,4,mouse,viruses,2,0,1448179245082,219,708,
amy,1,4,mouse,viruses,-1,0,1448179245183,335,534,
amy,1,4,mouse,viruses,-1,0,1448179245283,519,298,
amy,1,4,mouse,viruses,3,1,1448179245383,630,159,
amy,1,4,mouse,viruses,3,0,1448179245483,657,127,
amy,1,4,mouse,viruses,3,0,1448179245586,660,121,
amy,1,4,mouse,viruses,3,0,1448179245686,660,121,
amy,1,4,mouse,viruses,3,0,1448179245790,660,121,
amy,1,4,mouse,viruses,3,0,1448179245899,660,138,
amy,1,4,mouse,viruses,-1,0,1448179246000,658,246,
amy,1,4,mouse,viruses,-1,0,1448179246100,655,333,
amy,1,4,mouse,viruses,4,1,1448179246202,652,408,
amy,1,4,mouse,viruses,4,0,1448179246304,652,415,
amy,1,4,mouse,viruses,4,0,1448179246405,652,415,
amy,1,4,mouse,viruses,4,0,1448179246505,652,415,
amy,1,4,mouse,viruses,4,0,1448179246606,652,415,
amy,1,4,mouse,viruses,4,0,1448179246707,652,433,
amy,1,4,mouse,viruses,-1,0,1448179246807,652,557,
amy,1,4,mouse,viruses,-1,0,1448179246908,654,606,
amy,1,4,mouse,viruses,5,1,1448179247009,655,630,
amy,1,4,mouse,viruses,5,0,1448179247111,655,659,
amy,1,4,mouse,viruses,5,0,1448179247212,655,673,
amy,1,4,mouse,viruses,5,0,1448179247314,655,673,
amy,1,4,mouse,viruses,5,0,1448179247415,655,673,
amy,1,4,mouse,viruses,5,0,1448179247515,655,673,
amy,1,4,mouse,viruses,-1,0,1448179247616,731,574,
amy,1,4,mouse,viruses,-1,0,1448179247716,914,398,
amy,1,4,mouse,viruses,-1,0,1448179247817,981,314,
amy,1,4,mouse,viruses,-1,0,1448179247917,1037,220,
amy,1,4,mouse,viruses,6,1,1448179248018,1077,143,
amy,1,4,mouse,viruses,6,0,1448179248122,1082,123,
amy,1,4,mouse,viruses,6,0,1448179248223,1082,123,
amy,1,4,mouse,viruses,6,0,1448179248325,1082,123,
amy,1,4,mouse,viruses,6,0,1448179248425,1082,123,
amy,1,4,mouse,viruses,6,0,1448179248526,1082,123,
amy,1,4,mouse,viruses,6,0,1448179248627,1082,123,
amy,1,4,mouse,viruses,6,0,1448179248727,1082,157,
amy,1,4,mouse,viruses,-1,0,1448179248828,1090,276,
amy,1,4,mouse,viruses,7,1,1448179248929,1094,405,
amy,1,4,mouse,viruses,7,0,1448179249030,1094,420,
amy,1,4,mouse,viruses,7,0,1448179249130,1094,420,
amy,1,4,mouse,viruses,7,0,1448179249234,1094,420,
amy,1,4,mouse,viruses,7,0,1448179249336,1094,420,
amy,1,4,mouse,viruses,7,0,1448179249436,1094,422,
amy,1,4,mouse,viruses,-1,0,1448179249538,1094,533,
amy,1,4,mouse,viruses,8,1,1448179249640,1094,638,
amy,1,4,mouse,viruses,8,0,1448179249742,1099,687,
amy,1,4,mouse,viruses,8,0,1448179249844,1100,691,
amy,1,4,mouse,viruses,8,0,1448179249944,1100,691,
amy,1,4,mouse,viruses,8,0,1448179250045,1100,691,
amy,1,4,mouse,viruses,8,0,1448179250145,1100,691,
amy,1,4,mouse,viruses,8,0,1448179250246,1100,691,
amy,1,4,mouse,viruses,8,0,1448179250346,1100,691,
amy,1,4,mouse,viruses,8,0,1448179250446,1100,691,
amy,1,4,mouse,viruses,8,0,1448179250548,1100,691,
amy,1,4,mouse,viruses,8,0,1448179250649,1100,691,
amy,1,4,mouse,viruses,8,0,1448179250749,1100,691,
amy,1,4,mouse,viruses,8,0,1448179250850,1100,691,
amy,1,4,mouse,viruses,8,0,1448179250951,1100,691,
